CÓDIGO,C.P.,POBLACION,PROVINCIA,CERCANIAS,FEVE,AVE,numero_estaciones
31412,15008,coruna_a,coruna_a,NO,NO,SI,2
5129,15569,cerdido,coruna_a,NO,SI,NO,2
31303,32570,maside,ourense,NO,NO,NO,1
31205,32540,gudina_a,ourense,NO,NO,NO,1
20213,32350,rua_a,ourense,NO,NO,NO,1
13118,48970,basauri,bizkaia,SI,NO,NO,3
31107,49591,riofrio_de_aliste,zamora,NO,NO,NO,3
15205,33650,mieres,asturias,SI,SI,NO,11
5207,33492,carreno,asturias,NO,SI,NO,7
5957,30399,cartagena,murcia,NO,SI,NO,12
5320,33828,candamo,asturias,NO,SI,NO,3
5604,39011,santander,cantabria,NO,SI,NO,8
72400,8820,prat_de_llobregat_el,barcelona,SI,NO,NO,2
54505,29140,malaga,malaga,SI,NO,NO,8
51205,11407,jerez_de_la_frontera,cadiz,SI,NO,NO,2
98305,28042,madrid,madrid,SI,NO,NO,39
81102,26160,agoncillo,rioja_la,NO,NO,NO,1
69009,3837,agres,alicante,NO,NO,NO,1
5409,33392,gijon,asturias,NO,SI,NO,11
14114,34800,aguilar_de_campoo,palencia,NO,NO,NO,2
78505,8256,aguilar_de_segarra,barcelona,NO,NO,NO,1
7004,30880,aguilas,murcia,SI,NO,NO,2
7007,30880,aguilas,murcia,SI,NO,NO,2
69007,46890,agullent,valencia,NO,NO,NO,1
11212,1200,salvatierra,araba,NO,NO,NO,1
60911,3005,alicante,alicante,SI,NO,SI,3
81210,50630,alagon,zaragoza,NO,NO,NO,1
14112,34480,alar_del_rey,palencia,NO,NO,NO,1
60600,2001,albacete,albacete,NO,NO,SI,1
69006,46860,albaida,valencia,NO,NO,NO,1
65005,46550,albuixech,valencia,SI,NO,NO,1
65308,12570,alcala_de_xivert,castellon,NO,NO,NO,1
70103,28807,alcala_de_henares,madrid,SI,NO,NO,3
70107,28807,alcala_de_henares,madrid,SI,NO,NO,3
81105,26509,alcanadre,rioja_la,NO,NO,NO,1
6008,30820,alcantarilla,murcia,SI,NO,NO,1
60400,13600,alcazar_de_san_juan,ciudad_real,NO,NO,NO,2
19003,28100,san_sebastian_de_los_reyes,madrid,SI,NO,NO,1
69011,3804,alcoy,alicante,NO,NO,NO,1
