,Comunidad Autónoma,Provincia,Municipio,Cod ESP,Cobertura Media
0,pais vasco,araba/alava,alegria-dulantzi,1001000100,65.0
1,pais vasco,araba/alava,amurrio,1002000100,62.75
2,pais vasco,araba/alava,aramaio,1003000100,62.22
3,pais vasco,araba/alava,artziniega,1004000100,62.86
4,pais vasco,araba/alava,arminon,1006000100,66.67
5,pais vasco,araba/alava,arratzua-ubarrundia,1008000100,63.41
6,pais vasco,araba/alava,asparrena,1009000100,58.0
7,pais vasco,araba/alava,ayala/aiara,1010000100,59.9
8,pais vasco,araba/alava,banos de ebro/manueta,1011000100,60.0
9,pais vasco,araba/alava,barrundia,1013000100,56.79
10,pais vasco,araba/alava,berantevilla,1014000100,55.31
11,pais vasco,araba/alava,bernedo,1016000100,52.88
12,pais vasco,araba/alava,campezo/kanpezu,1017000100,57.0
13,pais vasco,araba/alava,zigoitia,1018000100,60.56
14,pais vasco,araba/alava,kripan,1019000100,60.0
15,pais vasco,araba/alava,kuartango,1020000100,56.75
16,pais vasco,araba/alava,elburgo/burgelu,1021000100,65.0
17,pais vasco,araba/alava,elciego,1022000100,70.0
18,pais vasco,araba/alava,elvillar/bilar,1023000100,80.0
19,pais vasco,araba/alava,iruraiz-gauna,1027000100,60.0
20,pais vasco,araba/alava,labastida/bastida,1028000100,90.0
21,pais vasco,araba/alava,lagran,1030000100,18.33
22,pais vasco,araba/alava,laguardia,1031000100,90.0
23,pais vasco,araba/alava,lanciego/lantziego,1032000100,85.83
24,pais vasco,araba/alava,lapuebla de labarca,1033000100,90.0
25,pais vasco,araba/alava,leza,1034000100,90.0
26,pais vasco,araba/alava,laudio/llodio,1036000100,100.0
27,pais vasco,araba/alava,arraia-maeztu,1037000200,56.72
28,pais vasco,araba/alava,moreda de alava/moreda araba,1039000100,47.5
29,pais vasco,araba/alava,navaridas,1041000100,90.0
30,pais vasco,araba/alava,okondo,1042000100,75.83
31,pais vasco,araba/alava,oyon-oion,1043000100,80.83
32,pais vasco,araba/alava,penacerrada-urizaharra,1044000100,22.5
33,pais vasco,araba/alava,erriberagoitia/ribera alta,1046000100,60.5
34,pais vasco,araba/alava,ribera baja/erribera beitia,1047000100,65.0
35,pais vasco,araba/alava,anana,1049000100,42.5
36,pais vasco,araba/alava,salvatierra/agurain,1051000100,62.0
37,pais vasco,araba/alava,samaniego,1052000100,60.0
38,pais vasco,araba/alava,san millan/donemiliaga,1053000100,59.17
39,pais vasco,araba/alava,urkabustaiz,1054000100,63.0
40,pais vasco,araba/alava,valdegovia/gaubea,1055000100,51.5
41,pais vasco,araba/alava,harana/valle de arana,1056000100,47.5
42,pais vasco,araba/alava,villabuena de alava/eskuernaga,1057000100,80.0
43,pais vasco,araba/alava,legutio,1058000100,68.0
44,pais vasco,araba/alava,vitoria-gasteiz,1059000100,73.35
45,pais vasco,araba/alava,yecora/iekora,1060000100,60.0
46,pais vasco,araba/alava,zalduondo,1061000100,60.0
47,pais vasco,araba/alava,zambrana,1062000100,46.88
48,pais vasco,araba/alava,zuia,1063000100,56.15
49,pais vasco,araba/alava,iruna oka/iruna de oca,1901000100,66.0
50,pais vasco,araba/alava,lantaron,1902000100,56.88
51,castilla-la mancha,albacete,abengibre,2001000100,70.0
52,castilla-la mancha,albacete,alatoz,2002000100,20.0
53,castilla-la mancha,albacete,albacete,2003000100,59.31
54,castilla-la mancha,albacete,albatana,2004000100,47.5
55,castilla-la mancha,albacete,alborea,2005000100,87.5
56,castilla-la mancha,albacete,alcadozo,2006000100,32.14
57,castilla-la mancha,albacete,alcala del jucar,2007000100,46.79
58,castilla-la mancha,albacete,alcaraz,2008000100,37.5
59,castilla-la mancha,albacete,almansa,2009000100,100.0
60,castilla-la mancha,albacete,alpera,2010000100,100.0
61,castilla-la mancha,albacete,ayna,2011000100,37.73
62,castilla-la mancha,albacete,balazote,2012000100,100.0
63,castilla-la mancha,albacete,balsa de ves,2013000100,50.63
