,Municipio,bus_based_companies_count
0,barcelona,5
1,caceres,3
2,jaen,3
3,soria,3
4,salamanca,3
5,albolote,2
6,sevilla,2
7,puertollano,2
8,alicante,2
9,bilbao,2
10,a coruna,2
11,castellon,2
12,huelva,2
13,madrid,2
14,valencia,2
15,malaga,2
16,melon,1
17,bollullos de la mitacion,1
18,arande del duero,1
19,boo de pielagos,1
20,terrassa,1
21,ubeda,1
22,pentasa,1
23,barros,1
24,fuensanta de martos,1
25,arganda del rey,1
26,almeria,1
27,merida,1
28,albacete,1
29,albal,1
30,donostia,1
31,marbella,1
32,coslada,1
33,zaragoza,1
34,sta. cruz de bezana,1
35,badajoz,1
36,arevalo,1
37,lleida,1
38,paradela,1
39,monet del valles,1
40,sariego,1
41,silleda,1
42,logrono,1
43,lugo,1
44,llodio,1
45,burgos,1
46,avila,1
47,suances,1
48,gipuzkoa,1
49,punta umbria,1
50,lorca,1
51,pozuelo de alarcon,1
52,los gallardos,1
53,catarroja,1
54,guadix,1
55,cabranes,1
56,cuarte de huerva,1
57,agramunt,1
58,extremadura,1
59,el burgo de ebro,1
60,getafe,1
61,arroyo de san servan,1
62,amorebieta,1
63,campanillas,1
64,sama de langreo,1
65,alcala de guadaira,1
66,monesterio,1
67,pinofranqueado,1
68,vilches,1
69,biota,1
70,vitoria,1
71,leganes,1
72,sant boi de llobregat,1
73,alcala la real,1
74,montehermoso,1
75,brenes,1
76,santander,1
