poblacion,numero_estaciones,ave,cercanias,feve
madrid,39,SI,SI,NO
siero,17,NO,SI,SI
oviedo,15,NO,SI,SI
bilbao,14,NO,SI,SI
cartagena,12,NO,NO,SI
gijon,11,NO,SI,SI
mieres,11,NO,SI,SI
llanes,11,NO,NO,SI
cudillero,11,NO,NO,SI
sevilla,10,SI,SI,NO
barcelona,10,SI,SI,NO
aller,9,NO,NO,SI
langreo,9,NO,SI,SI
naron,9,NO,NO,SI
malaga,8,SI,SI,NO
santander,8,NO,SI,SI
san_martin_del_rey_aurelio,7,NO,SI,SI
ortigueira,7,NO,NO,SI
torrelavega,7,NO,SI,SI
donostia,7,NO,SI,NO
valdes,7,NO,NO,SI
carreno,7,NO,NO,SI
lena,7,NO,SI,NO
zalla,7,NO,NO,SI
guenes,7,NO,NO,SI
garrafe_de_torio,6,NO,NO,SI
aviles,6,NO,SI,SI
castrillon,6,NO,SI,SI
pravia,6,NO,NO,SI
parres,6,NO,NO,SI
corvera_de_asturias,6,NO,SI,SI
foz,5,NO,NO,SI
leon,5,SI,NO,SI
ribadesella,5,NO,NO,SI
torremolinos,5,NO,SI,NO
nava,5,NO,NO,SI
getafe,5,NO,SI,NO
matallana_de_torio,5,NO,NO,SI
villaquilambre,5,NO,NO,SI
zaragoza,5,SI,SI,NO
castropol,5,NO,NO,SI
cadiz,5,SI,SI,NO
pielagos,5,NO,SI,SI
montcada_i_reixac,5,NO,SI,NO
valencia,5,SI,SI,NO
calamocha,4,NO,NO,NO
astillero_el,4,NO,SI,SI
llanera,4,NO,SI,NO
lorca,4,NO,SI,NO
camargo,4,NO,SI,SI
cabezon_de_la_sal,4,NO,NO,SI
amurrio,4,NO,SI,NO
ribadeo,4,NO,NO,SI
requena,4,SI,SI,NO
xove,4,NO,NO,SI
union_la,4,NO,NO,SI
espinosa_de_los_monteros,4,NO,NO,SI
fuengirola,4,NO,SI,NO
pilona,4,NO,NO,SI
redondela,4,SI,NO,NO
grado,4,NO,NO,SI
medio_cudeyo,4,NO,NO,SI
valle_de_mena,4,NO,NO,SI
oza_cesuras,3,NO,NO,NO
puerto_real,3,NO,SI,NO
moeche,3,NO,NO,SI
alora,3,NO,SI,NO
valderrueda,3,NO,NO,SI
sabadell,3,NO,SI,NO
ercina_la,3,NO,NO,SI
antequera,3,SI,NO,NO
leganes,3,NO,SI,NO
vicedo_o,3,NO,NO,SI
espinar_el,3,NO,NO,NO
tui,3,NO,NO,NO
san_sadurnino,3,NO,NO,SI
ortuella,3,NO,SI,NO
rozas_de_madrid_las,3,NO,SI,NO
barcena_de_cicero,3,NO,NO,SI
soto_del_barco,3,NO,NO,SI
reocin,3,NO,NO,SI
villena,3,SI,NO,NO
ribera_de_arriba,3,NO,SI,SI
arrankudiaga,3,NO,SI,NO
candamo,3,NO,NO,SI
alicante,3,SI,SI,NO
basauri,3,NO,SI,NO
penas_de_riglos_las,3,NO,NO,NO
navia,3,NO,NO,SI
elche,3,NO,SI,NO
cervo,3,NO,NO,SI
viveiro,3,NO,NO,SI
riofrio_de_aliste,3,NO,NO,NO
laudio,3,NO,SI,NO
merindad_de_valdeporres,3,NO,NO,SI
crecente,3,NO,NO,NO
alcala_de_henares,3,NO,SI,NO
alcorcon,3,NO,SI,NO
sestao,3,NO,SI,NO
calanas,3,NO,NO,NO
coana,3,NO,NO,SI
prado_de_la_guzpena,3,NO,NO,SI
bunol,3,NO,SI,NO
vecilla_la,3,NO,NO,SI
vegaquemada,3,NO,NO,SI
corrales_de_buelna_los,3,NO,SI,NO
calatayud,2,SI,NO,NO
terrassa,2,NO,SI,NO
cistierna,2,NO,NO,SI
barakaldo,2,NO,SI,NO
betanzos,2,NO,NO,NO
torre_del_bierzo,2,NO,NO,NO
arrigorriaga,2,NO,SI,NO
vacarisses,2,NO,SI,NO
aguilar_de_campoo,2,NO,NO,NO
otero_de_herreros,2,NO,NO,NO
fuenlabrada,2,NO,SI,NO
benalmadena,2,NO,SI,NO
ourense,2,SI,NO,NO
medinaceli,2,NO,NO,NO
santibanez_de_la_pena,2,NO,NO,SI
bonar,2,NO,NO,SI
mollet_del_valles,2,NO,SI,NO
cuenca,2,SI,NO,NO
sober,2,NO,NO,NO
ampuero,2,NO,NO,SI
calaf,2,NO,NO,NO
rubia,2,NO,NO,NO
alpedrete,2,NO,SI,NO
alcazar_de_san_juan,2,NO,NO,NO
mores,2,NO,NO,NO
xirivella,2,NO,SI,NO
dos_hermanas,2,NO,SI,NO
rozas_de_valdearroyo_las,2,NO,NO,SI
fene,2,NO,NO,NO
figueres,2,SI,NO,NO
pola_de_gordon_la,2,NO,NO,NO
pozuelo_de_alarcon,2,NO,SI,NO
sitges,2,NO,SI,NO
cabeza_del_buey,2,NO,NO,NO
segovia,2,SI,NO,NO
san_fernando,2,NO,SI,NO
sagunto,2,NO,SI,NO
guardo,2,NO,NO,SI
masnou_el,2,NO,SI,NO
monzon_de_campos,2,NO,NO,NO
valle_de_valdebezana,2,NO,NO,SI
galapagar,2,NO,SI,NO
pontevedra,2,SI,NO,NO
mino,2,NO,NO,NO
calafell,2,NO,SI,NO
miengo,2,NO,NO,SI
espinosa_de_henares,2,NO,NO,NO
cerdido,2,NO,NO,SI
tolosa,2,NO,SI,NO
montgat,2,NO,SI,NO
alp,2,NO,SI,NO
irun,2,NO,SI,NO
jimena_de_la_frontera,2,NO,NO,NO
ribamontan_al_monte,2,NO,NO,SI
segorbe,2,NO,SI,NO
tocina,2,NO,SI,NO
huete,2,NO,NO,NO
cartama,2,NO,SI,NO
tortosa,2,NO,NO,NO
utiel,2,NO,SI,NO
escorial_el,2,NO,SI,NO
franqueses_del_valles_les,2,NO,SI,NO
caldearenas,2,NO,NO,NO
vigo,2,NO,NO,NO
tarragona,2,SI,NO,NO
abanto_y_ciervana_abanto_zierbena,2,NO,SI,NO
andoain,2,NO,SI,NO
cambre,2,NO,NO,NO
guitiriz,2,NO,NO,NO
montijo,2,NO,NO,NO
reinosa,2,NO,SI,NO
cercedilla,2,NO,SI,NO
puerto_de_santa_maria_el,2,NO,SI,NO
altsasu,2,NO,NO,NO
torrejon_de_ardoz,2,NO,SI,NO
panton,2,NO,NO,NO
vendrell_el,2,NO,SI,NO
santa_cruz_de_bezana,2,NO,NO,SI
barreiros,2,NO,NO,SI
caceres,2,NO,NO,NO
polanco,2,NO,NO,SI
hernani,2,NO,SI,NO
sollana,2,NO,SI,NO
torre_pacheco,2,NO,NO,NO
prat_de_llobregat_el,2,NO,SI,NO
aguilas,2,NO,SI,NO
arbo,2,NO,NO,NO
laviana,2,NO,NO,SI
hospitalet_de_llobregat_l_,2,NO,SI,NO
valle_de_trapaga_trapagaran,2,NO,SI,NO
magaz_de_cepeda,2,NO,NO,NO
rinconada_la,2,NO,SI,NO
mostoles,2,NO,SI,NO
jerez_de_la_frontera,2,SI,SI,NO
puebla_de_valverde_la,2,NO,NO,NO
gandia,2,NO,SI,NO
santurtzi,2,NO,SI,NO
valladolid,2,SI,NO,NO
valdaliga,2,NO,NO,SI
ferrol,2,NO,NO,SI
coruna_a,2,SI,NO,NO
aranjuez,2,NO,SI,NO
balmaseda,2,NO,NO,SI
castelldefels,2,NO,SI,NO
padron,2,SI,NO,NO
molledo,2,NO,SI,NO
santa_maria_de_la_alameda,2,NO,NO,NO
cerdanyola_del_valles,2,NO,SI,NO
artzentales,2,NO,NO,SI
sarria,2,NO,NO,NO
barcena_de_pie_de_concha,2,NO,SI,NO
vilassar_de_mar,2,NO,SI,NO
medina_del_campo,2,NO,NO,NO
valls,2,NO,NO,NO
curtis,2,NO,NO,NO
val_de_san_vicente,2,NO,NO,SI
cordoba,2,SI,NO,NO
alcobendas,2,NO,SI,NO
pulpi,2,NO,SI,NO
valdeprado_del_rio,2,NO,NO,SI
villamanin,2,NO,NO,NO
muros_de_nalon,2,NO,NO,SI
salou,2,NO,NO,NO
arenas_de_iguna,2,NO,SI,NO
guadalajara,2,SI,SI,NO
san_vicente_de_la_barquera,2,NO,NO,SI
viladecavalls,2,NO,SI,NO
granollers,2,NO,SI,NO
roda_de_bera,2,NO,NO,NO
caspe,2,NO,NO,NO
zafra,2,NO,NO,NO
rincon_de_soto,1,NO,NO,NO
carboneras_de_guadazaon,1,NO,NO,NO
salteras,1,NO,SI,NO
campillos,1,NO,NO,NO
san_juan_del_puerto,1,NO,NO,NO
valdestillas,1,NO,NO,NO
cantalapiedra,1,NO,NO,NO
alcudia_de_crespins_l_,1,NO,SI,NO
villa_del_rio,1,NO,NO,NO
almazora,1,NO,SI,NO
santas_martas,1,NO,NO,NO
villarejo_de_orbigo,1,NO,NO,NO
binefar,1,NO,NO,NO
ampolla_l_,1,NO,NO,NO
tornadizos_de_avila,1,NO,NO,NO
castellbisbal,1,NO,SI,NO
huelva,1,NO,NO,NO
villarrubia_de_santiago,1,NO,NO,NO
puigcerda,1,NO,SI,NO
papiol_el,1,NO,SI,NO
ordizia,1,NO,SI,NO
campdevanol,1,NO,SI,NO
catarroja,1,NO,SI,NO
sant_adria_de_besos,1,NO,SI,NO
canfranc,1,NO,NO,NO
canet_de_mar,1,NO,SI,NO
cetina,1,NO,NO,NO
sahagun,1,NO,NO,NO
etxarri_aranatz,1,NO,NO,NO
girona,1,SI,NO,NO
san_fernando_de_henares,1,NO,SI,NO
albatera,1,NO,SI,NO
santa_susanna,1,NO,SI,NO
beniganim,1,NO,NO,NO
cunit,1,NO,SI,NO
urnieta,1,NO,SI,NO
sueca,1,NO,SI,NO
valdeolea,1,NO,NO,SI
siguenza,1,NO,NO,NO
babilafuente,1,NO,NO,NO
almuradiel,1,NO,NO,NO
camas,1,NO,SI,NO
santa_perpetua_de_mogoda,1,NO,SI,NO
orihuela,1,NO,SI,NO
villar_de_gallimazo,1,NO,NO,NO
vilagarcia_de_arousa,1,SI,NO,NO
olivares,1,NO,SI,NO
badajoz,1,NO,NO,NO
crevillent,1,NO,SI,NO
herrera_de_pisuerga,1,NO,NO,NO
aljucen,1,NO,NO,NO
alhama_de_aragon,1,NO,NO,NO
torrijos,1,NO,NO,NO
sant_vicenc_de_castellet,1,NO,SI,NO
montblanc,1,NO,NO,NO
fuente_del_arco,1,NO,NO,NO
pesquera,1,NO,SI,NO
linares,1,NO,NO,NO
arraia_maeztu,1,NO,NO,NO
sils,1,NO,NO,NO
osuna,1,NO,NO,NO
balenya,1,NO,SI,NO
san_sebastian_de_los_reyes,1,NO,SI,NO
riba_la,1,NO,NO,NO
santos_de_maimona_los,1,NO,NO,NO
gibraleon,1,NO,NO,NO
morata_de_jalon,1,NO,NO,NO
fregenal_de_la_sierra,1,NO,NO,NO
alzira,1,NO,SI,NO
carracedelo,1,NO,NO,NO
ametlla_de_mar_l_,1,NO,NO,NO
valdemoro,1,NO,SI,NO
torrelodones,1,NO,SI,NO
hostalric,1,NO,SI,NO
pomar_de_valdivia,1,NO,NO,NO
longares,1,NO,NO,NO
albacete,1,SI,NO,NO
meco,1,NO,SI,NO
utebo,1,NO,SI,NO
canaveral,1,NO,NO,NO
caudiel,1,NO,SI,NO
borges_del_camp_les,1,NO,NO,NO
villagaton,1,NO,NO,NO
carmona,1,NO,SI,NO
parets_del_valles,1,NO,SI,NO
ayerbe,1,NO,NO,NO
gudina_a,1,NO,NO,NO
culleredo,1,NO,NO,NO
valencina_de_la_concepcion,1,NO,SI,NO
arahal,1,NO,NO,NO
sant_vicenc_de_torello,1,NO,SI,NO
altafulla,1,NO,NO,NO
sant_celoni,1,NO,SI,NO
uharte_arakil,1,NO,NO,NO
vinaros,1,NO,NO,NO
guadarrama,1,NO,NO,NO
becerril_de_campos,1,NO,NO,NO
ramales_de_la_victoria,1,NO,NO,SI
salvatierra,1,NO,NO,NO
soutomaior,1,SI,NO,NO
alfaro,1,NO,NO,NO
tarrega,1,NO,NO,NO
carbajales_de_alba,1,NO,NO,NO
cornella_de_llobregat,1,NO,SI,NO
navalmoral_de_la_mata,1,NO,NO,NO
ikaztegieta,1,NO,SI,NO
aldealengua,1,NO,NO,NO
paredes_de_nava,1,NO,NO,NO
oropesa,1,NO,NO,NO
meliana,1,NO,SI,NO
sant_pol_de_mar,1,NO,SI,NO
vallada,1,NO,SI,NO
cabanas,1,NO,NO,NO
pozaldez,1,NO,NO,NO
castuera,1,NO,NO,NO
tardienta,1,SI,NO,NO
villafranca,1,NO,NO,NO
begonte,1,NO,NO,NO
benalua,1,NO,NO,NO
bell_lloc_d_urgell,1,NO,NO,NO
san_bartolome_de_la_torre,1,NO,NO,NO
ontinyent,1,NO,NO,NO
cebanico,1,NO,NO,SI
pobla_de_massaluca_la,1,NO,NO,NO
