CÓDIGO,DESCRIPCION,LATITUD,LONGITUD,C.P.,POBLACION,PROVINCIA,PAIS,CERCANIAS,FEVE,tiempo de antelacion,Punto de Encuentro,Aparcamiento,Andén,Aseos,Vestíbulo
31412,A CORUÑA,43.352486,-8.409965099999999,15008.0,"coruna, a","coruna, a",espana,NO,NO,30 m.,Atención al Cliente,Si,Si,Si,Si
5129,A CUQUEIRA,43.60779,-7.921785000000001,15569.0,cerdido,"coruna, a",espana,NO,SI,,,,,,
31303,A FRIELA-MASIDE,42.4113745,-8.02893,32570.0,maside,ourense,espana,NO,NO,,,,,,
31205,A GUDIÑA,42.06069,-7.132436099999999,32540.0,"gudina, a",ourense,espana,NO,NO,,,,,,
20213,A RUA-PETIN,42.3926731,-7.1132567,32350.0,"rua, a",ourense,espana,NO,NO,,,,,,
13118,ABAROA-SAN MIGUEL,43.225606,-2.886924,48970.0,basauri,bizkaia,espana,SI,NO,,,,,,
31107,ABEJERA,41.8094175,-6.1418292999999995,49591.0,riofrio de aliste,zamora,espana,NO,NO,,,,,,
15205,ABLAÑA,43.267258,-5.805951,33650.0,mieres,asturias,espana,SI,SI,,,,,,
5207,ABOÑO-APEADERO,43.555102000000005,-5.723539,33492.0,carreno,asturias,espana,NO,SI,,,,,,
5957,ABREVADERO,37.609711,-0.931837,30399.0,cartagena,murcia,espana,NO,SI,,,,,,
5320,ACES,43.439909,-6.065812,33828.0,candamo,asturias,espana,NO,SI,,,,,,
5604,ADARZO,43.453465,-3.8557900000000003,39011.0,santander,cantabria,espana,NO,SI,,,,,,
72400,AEROPORT,41.3038736,2.0724734000000002,8820.0,"prat de llobregat, el",barcelona,espana,SI,NO,,,,,,
54505,AEROPUERTO,36.6760678,-4.487956700000001,29140.0,malaga,malaga,espana,SI,NO,,,,,,
51205,AEROPUERTO DE JEREZ,36.751540999999996,-6.065939,11407.0,jerez de la frontera,cadiz,espana,SI,NO,,,,,,
98305,AEROPUERTO T-4,40.491690999999996,-3.5939879999999995,28042.0,madrid,madrid,espana,SI,NO,,,,,,
81102,AGONCILLO,42.4435948,-2.2916232000000005,26160.0,agoncillo,"rioja, la",espana,NO,NO,,,,,,
69009,AGRES,38.796836600000006,-0.5217951,3837.0,agres,alicante/alacant,espana,NO,NO,,,,,,
5409,AGUDA,43.466311,-5.725976,33392.0,gijon,asturias,espana,NO,SI,,,,,,
14114,AGUILAR DE CAMPOO,42.785252,-4.2338473,34800.0,aguilar de campoo,palencia,espana,NO,NO,,,,,,
78505,AGUILAR DE SEGARRA,41.738797,1.6237133999999998,8256.0,aguilar de segarra,barcelona,espana,NO,NO,,,,,,
7004,AGUILAS,37.4098453,-1.5728388,30880.0,aguilas,murcia,espana,SI,NO,,,,,,
7007,AGUILAS-EL LABRADORCICO,37.411862,-1.58588,30880.0,aguilas,murcia,espana,SI,NO,,,,,,
69007,AGULLENT,38.8305232,-0.5512090000000001,46890.0,agullent,valencia/valencia,espana,NO,NO,,,,,,
11212,AGURAIN/SALVATIERRA DE ALAVA,42.8464369,-2.3892265999999998,1200.0,salvatierra/agurain,araba/alava,espana,NO,NO,,,,,,
60911,ALACANT-TERMINAL,38.3444718,-0.494986,3005.0,alicante/alacant,alicante/alacant,espana,SI,NO,30 m.,Atención al Cliente,Si,Si,Si,Si
81210,ALAGON,41.7713963,-1.1124662,50630.0,alagon,zaragoza,espana,NO,NO,,,,,,
14112,ALAR DEL REY,42.6568658,-4.311367,34480.0,alar del rey,palencia,espana,NO,NO,,,,,,
60600,ALBACETE LOS LLANOS,39.0002979,-1.8487356,2001.0,albacete,albacete,espana,NO,NO,30 m.,Atención al Cliente,Si,Si,Si,Si
69006,ALBAIDA,38.8456849,-0.5182685,46860.0,albaida,valencia/valencia,espana,NO,NO,,,,,,
65005,ALBUIXECH,39.544137299999996,-0.320388,46550.0,albuixech,valencia/valencia,espana,SI,NO,,,,,,
65308,ALCALA DE CHIVERT,40.304675,0.22868579999999997,12570.0,alcala de xivert,castellon/castello,espana,NO,NO,,,,,,
70103,ALCALA DE HENARES,40.488976,-3.3664702000000006,28807.0,alcala de henares,madrid,espana,SI,NO,,,,,,
70107,ALCALA DE HENARES-UNIVERSIDAD,40.5054503,-3.3353684,28807.0,alcala de henares,madrid,espana,SI,NO,,,,,,
81105,ALCANADRE,42.407487100000004,-2.1222005,26509.0,alcanadre,"rioja, la",espana,NO,NO,,,,,,
6008,ALCANTARILLA-LOS ROMANOS,37.964247,-1.2169709999999998,30820.0,alcantarilla,murcia,espana,SI,NO,,,,,,
60400,ALCAZAR DE SAN JUAN,39.3961548,-3.2058023999999996,13600.0,alcazar de san juan,ciudad real,espana,NO,NO,30 m.,Centro Atendo,Si,Si,Si,Si
19003,ALCOBENDAS SAN SEBASTIAN DE LOS REYES,40.546744,-3.6351489999999997,28100.0,san sebastian de los reyes,madrid,espana,SI,NO,,,,,,
69011,ALCOI,38.709490100000004,-0.47028630000000005,3804.0,alcoy/alcoi,alicante/alacant,espana,NO,NO,,,,,,
40121,ALCOLEA DEL RIO,37.635451,-5.730791,41359.0,alcolea del rio,sevilla,espana,SI,NO,,,,,,
35605,ALCORCON,40.350198999999996,-3.8316779999999997,28922.0,alcorcon,madrid,espana,SI,NO,,,,,,
73101,ALCOVER,41.261579100000006,1.1741561000000003,43460.0,alcover,tarragona,espana,NO,NO,,,,,,
66211,ALDAIA,39.4614203,-0.4612243,46960.0,aldaia,valencia/valencia,espana,SI,NO,,,,,,
34014,ALDEALENGUA,40.9797942,-5.5531967,37350.0,aldealengua,salamanca,espana,NO,NO,,,,,,
11409,ALEGIA,43.101758000000004,-2.097122,20260.0,alegia,gipuzkoa,espana,SI,NO,,,,,,
11210,ALEGRIA-DULANTZI,42.8488289,-2.5145516,1240.0,alegria-dulantzi,araba/alava,espana,NO,NO,,,,,,
64203,ALFAFAR-BENETUSSER,39.4218996,-0.3930134,46910.0,benetusser,valencia/valencia,espana,SI,NO,,,,,,
81110,ALFARO,42.1864833,-1.7481718999999998,26540.0,alfaro,"rioja, la",espana,NO,NO,,,,,,
55020,ALGECIRAS,36.126469,-5.448923000000001,11207.0,algeciras,cadiz,espana,NO,NO,30 m.,Venta de Billetes,Si,Si,Si,Si
64105,ALGEMESI,39.1945808,-0.44079540000000006,46680.0,algemesi,valencia/valencia,espana,SI,NO,,,,,,
67216,ALGIMIA-CIUDAD,39.7460335,-0.3672437,46148.0,algimia de alfara,valencia/valencia,espana,SI,NO,,,,,,
70502,ALHAMA DE ARAGON,41.294354600000005,-1.9042781000000002,50230.0,alhama de aragon,zaragoza,espana,NO,NO,,,,,,
6002,ALHAMA DE MURCIA,37.849345,-1.41449,30840.0,alhama de murcia,murcia,espana,SI,NO,,,,,,
54407,ALJAIMA,36.733092,-4.664725,29580.0,cartama,malaga,espana,SI,NO,,,,,,
37600,ALJUCEN,38.93640870000001,-6.407883,6800.0,aljucen,badajoz,espana,NO,NO,,,,,,
37305,ALMADENEJOS-ALMADEN,38.7405765,-4.730331,13480.0,almaden,ciudad real,espana,NO,NO,,,,,,
94004,ALMAGRO,38.895438,-3.709777,13270.0,almagro,ciudad real,espana,NO,NO,,,,,,
60800,ALMANSA,38.8677729,-1.1054355,2640.0,almansa,albacete,espana,NO,NO,12 H.,Venta de Billetes,Si,No,Si,Si
55003,ALMARGEN-CAÑETE LA REAL,37.001028600000005,-5.0201169000000005,29330.0,almargen,malaga,espana,NO,NO,,,,,,
65209,ALMASSORA,39.9543523,-0.0775039,12550.0,almazora/almassora,castellon/castello,espana,SI,NO,,,,,,
84101,ALMAZAN-VILLA,41.488985,-2.52522,42200.0,almazan,soria,espana,NO,NO,,,,,,
