,n_habitantes,Renta_disponible,CCAA,PROVINCIA,MUNICIPIO,CP_AT
57,1005.0,8092773.17,aragon,zaragoza,bujaraloz,50059.0
58,1047.0,8434679.97,comunitat_valenciana,valencia,palmera,46188.0
59,1009.0,7477747.99,cataluna,lleida,osde_balaguer,25156.0
60,1003.0,5561571.96,castillay_leon,leon,valdevimbre,24187.0
61,2933.0,18503017.85,andalucia,almeria,balanegra,4904.0
62,1014.0,8059328.39,comunitat_valenciana,valencia,potries,46198.0
63,1052.0,13722805.79,castillay_leon,segovia,trescasas,40207.0
64,1022.0,7834280.25,cataluna,lleida,vallde_boi_la,25043.0
65,2696.0,27111190.3,aragon,zaragoza,villamayorde_gallego,50903.0
66,4661.0,54047438.67,aragon,zaragoza,villanuevade_gallego,50288.0
67,1446.0,13978985.67,aragon,zaragoza,torresde_berrellen,50262.0
68,1089.0,11292977.75,aragon,zaragoza,sobradiel,50247.0
69,1170.0,11382162.4,aragon,zaragoza,sastago,50240.0
70,3134.0,32417769.18,aragon,zaragoza,san_mateode_gallego,50235.0
71,1324.0,10793399.0,aragon,zaragoza,sadaba,50230.0
72,2815.0,20139934.32,aragon,zaragoza,ricla,50225.0
73,1081.0,9281522.6,aragon,zaragoza,remolinos,50223.0
74,1948.0,16733886.05,aragon,zaragoza,quinto,50222.0
75,3908.0,38858128.24,aragon,zaragoza,pinseque,50209.0
76,2373.0,23028944.96,aragon,zaragoza,pinade_ebro,50208.0
77,3509.0,33678509.11,aragon,zaragoza,pedrola,50204.0
78,1293.0,13818010.83,aragon,zaragoza,pastriz,50203.0
79,1333.0,11500359.35,aragon,zaragoza,muel,50181.0
80,1097.0,9033150.38,aragon,zaragoza,moratade_jalon,50175.0
81,2301.0,23065393.25,aragon,zaragoza,mequinenza,50165.0
82,3083.0,27536120.24,aragon,zaragoza,mallen,50160.0
83,1133.0,8789283.77,aragon,zaragoza,magallon,50153.0
84,2007.0,14461426.56,aragon,zaragoza,maella,50152.0
85,1162.0,9936646.16,aragon,zaragoza,lecinena,50137.0
86,1072.0,10011769.94,aragon,zaragoza,la_joyosa,50132.0
87,2964.0,22185512.02,aragon,zaragoza,illueca,50126.0
88,2628.0,22687625.4,aragon,zaragoza,gallur,50118.0
89,4543.0,42161272.65,aragon,zaragoza,fuentesde_ebro,50115.0
90,1240.0,13032320.13,aragon,zaragoza,figueruelas,50107.0
91,1152.0,8448216.32,aragon,zaragoza,fabara,50102.0
92,1026.0,9520908.71,aragon,zaragoza,escatron,50101.0
93,4402.0,35530382.71,aragon,zaragoza,epila,50099.0
94,1996.0,17293485.1,aragon,zaragoza,daroca,50094.0
95,3276.0,30978858.88,aragon,zaragoza,carinena,50073.0
96,2861.0,23518009.05,aragon,zaragoza,calatorao,50068.0
97,3891.0,43349883.78,aragon,zaragoza,cadrete,50066.0
98,2432.0,25315625.84,aragon,zaragoza,el_burgode_ebro,50062.0
99,1665.0,11711623.51,aragon,zaragoza,breade_aragon,50057.0
100,4922.0,44804283.45,aragon,zaragoza,borja,50055.0
101,1528.0,13312391.44,aragon,zaragoza,belchite,50045.0
