,provincia,PIB pm
0,albacete,7762548
1,alicante,35061866
2,almeria,14340076
3,araba,11983377
4,asturias,22639845
5,avila,3138951
6,badajoz,11925105
7,balears_illes,31420048
8,barcelona,163829876
9,bizkaia,35045965
10,burgos,9972671
11,caceres,7573765
12,cadiz,21512851
13,cantabria,13225911
14,castellon,14980861
15,ciudad_real,10391326
16,cordoba,14152384
17,coruna_a,26144519
18,cuenca,4552502
19,gipuzkoa,22694543
20,girona,21429506
21,granada,16399616
22,guadalajara,4846946
23,huelva,10006993
24,huesca,6336201
25,jaen,11159995
26,leon,9575557
27,lleida,12435228
28,lugo,7661522
29,madrid,221432620
30,malaga,29675853
31,murcia,30601171
32,navarra,19554577
33,ourense,6441121
34,palencia,4137425
35,palmas_las,22686079
36,pontevedra,20338727
37,rioja_la,8287052
38,salamanca,6905532
39,santa_cruz_de_tenerife,21564942
40,segovia,3464392
41,sevilla,38215042
42,soria,2192878
43,tarragona,23742476
44,teruel,3343188
45,toledo,12360668
46,valencia,57719399
47,valladolid,13279457
48,zamora,3480217
49,zaragoza,25996273
50,ceuta,1660550
51,melilla,1520977
