CP,Municipio,Total Comercios,B_E Industria,F Construcción,"Comercio, transporte y hostelería",J Información y comunicaciones,K Actividades financieras y de seguros,L Actividades inmobiliarias,Actividades profesionales y técnicas,"Educación, sanidad y servicios sociales",Otros servicios personales,Total servicios
0,Total Nacional,"3,363,197","199,076","422,350","1,215,680","68,158","77,396","179,484","622,015","272,124","306,914","1,526,091"
01,Araba/Álava,"18,678","1,942","2,397","7,099",359,326,221,"3,132","1,493","1,709","7,240"
 01001,Alegría-Dulantzi,148,20,26,59, , , , , , ,43
 01002,Amurrio,600,63,95,251,6,9,7,90,40,39,191
 01003,Aramaio,50,8,7,16, , , , , , ,19
 01004,Artziniega,102,6,15,51, , , , , , ,30
 01006,Armiñón,15, , , , , , , , , , 
 01008,Arratzua-Ubarrundia,66, , , , , , , , , , 
 01009,Asparrena,82,14,12,33, , , , , , ,23
 01010,Ayala/Aiara,164,27,27,61, , , , , , ,49
 01011,Baños de Ebro/Mañueta,38, , , , , , , , , , 
 01013,Barrundia,61, , , , , , , , , , 
 01014,Berantevilla,45, , , , , , , , , , 
 01016,Bernedo,25, , , , , , , , , , 
 01017,Campezo/Kanpezu,61,6,15,27, , , , , , ,13
 01018,Zigoitia,116,13,17,39, , , , , , ,47
 01019,Kripan,4, , , , , , , , , , 
 01020,Kuartango,16, , , , , , , , , , 
 01021,Elburgo/Burgelu,37, , , , , , , , , , 
 01022,Elciego,62,21,5,24, , , , , , ,12
 01023,Elvillar/Bilar,28, , , , , , , , , , 
 01027,Iruraiz-Gauna,30, , , , , , , , , , 
 01028,Labastida/Bastida,110,18,22,41, , , , , , ,29
 01030,Lagrán,10, , , , , , , , , , 
 01031,Laguardia,265,87,35,94, , , , , , ,49
 01032,Lanciego/Lantziego,72, , , , , , , , , , 
 01033,Lapuebla de Labarca,74, , , , , , , , , , 
 01034,Leza,20, , , , , , , , , , 
 01036,Laudio/Llodio,869,86,99,400,5,18,7,100,72,82,284
 01037,Arraia-Maeztu,40, , , , , , , , , , 
 01039,Moreda de Álava/Moreda Araba,13, , , , , , , , , , 
 01041,Navaridas,21, , , , , , , , , , 
 01042,Okondo,64,12,11,24, , , , , , ,17
 01043,Oyón-Oion,261,59,37,95, , , , , , ,70
 01044,Peñacerrada-Urizaharra,21, , , , , , , , , , 
 01046,Erriberagoitia/Ribera Alta,59, , , , , , , , , , 
 01047,Erriberabeitia,61,6,16,23, , , , , , ,16
 01049,Añana,13, , , , , , , , , , 
 01051,Agurain/Salvatierra,242,19,32,118,5,.,.,19,13,32,73
 01052,Samaniego,32, , , , , , , , , , 
 01053,San Millán/Donemiliaga,28, , , , , , , , , , 
 01054,Urkabustaiz,73,11,12,27, , , , , , ,23
 01055,Valdegovía/Gaubea,66, , , , , , , , , , 
 01056,Harana/Valle de Arana,13, , , , , , , , , , 
 01057,Villabuena de Álava/Eskuernaga,46, , , , , , , , , , 
 01058,Legutio,220,79,18,76, , , , , , ,47
 01059,Vitoria-Gasteiz,"13,761","1,055","1,718","5,140",310,248,176,"2,571","1,203","1,340","5,848"
 01060,Yécora/Iekora,15, , , , , , , , , , 
 01061,Zalduondo,13, , , , , , , , , , 
 01062,Zambrana,20, , , , , , , , , , 
 01063,Zuia,160,10,18,57, , , , , , ,75
 01901,Iruña Oka/Iruña de Oca,201,25,34,96, , , , , , ,46
 01902,Lantarón,65, , , , , , , , , , 
 02 Al,acete,"26,275","2,750","3,498","10,503",262,630,"1,147","3,402","1,784","2,299","9,524"
 02001,Abengibre,60, , , , , , , , , , 
 02002,Alatoz,26, , , , , , , , , , 
 02003,Albacete,"12,419",965,"1,439","4,320",178,344,676,"2,148","1,144","1,205","5,695"
 02004,Albatana,31, , , , , , , , , , 
 02005,Alborea,51, , , , , , , , , , 
 02006,Alcadozo,28, , , , , , , , , , 
 02007,Alcalá del Júcar,82,7,11,44, , , , , , ,20
 02008,Alcaraz,104,8,14,58, , , , , , ,24
 02009,Almansa,"1,800",315,177,672,19,47,85,228,102,155,636
 02010,Alpera,122,24,14,54, , , , , , ,30
 02011,Ayna,23, , , , , , , , , , 
 02012,Balazote,159,23,30,69, , , , , , ,37
 02013,Balsa de Ves,6, , , , , , , , , , 
 02014,"Ballestero, El",26, , , , , , , , , , 
 02015,Barrax,115,18,14,64, , , , , , ,19
 02016,Bienservida,26, , , , , , , , , , 
 02017,Bogarra,39, , , , , , , , , , 
 02018,Bonete,56,7,6,33, , , , , , ,10
 02019,"Bonillo, El",163,17,31,77, , , , , , ,38
 02020,Carcelén,26, , , , , , , , , , 
 02021,Casas de Juan Núñez,84,8,18,40, , , , , , ,18
 02022,Casas de Lázaro,8, , , , , , , , , , 
 02023,Casas de Ves,31, , , , , , , , , , 
 02024,Casas-Ibáñez,346,46,60,146, , , , , , ,94
 02025,Caudete,623,72,127,231,.,.,23,66,40,52,193
 02026,Cenizate,47,6,11,22, , , , , , ,8
 02027,Corral-Rubio,11, , , , , , , , , , 
 02028,Cotillas,7, , , , , , , , , , 
 02029,Chinchilla de Monte-Aragón,304,56,41,124, , , , , , ,83
 02030,Elche de la Sierra,264,30,52,117, , , , , , ,65
 02031,Férez,34, , , , , , , , , , 
 02032,Fuensanta,11, , , , , , , , , , 
 02033,Fuente-Álamo,174,20,30,72, , , , , , ,52
 02034,Fuentealbilla,130,27,33,52, , , , , , ,18
 02035,"Gineta, La",166,21,22,94, , , , , , ,29
 02036,Golosalvo,7, , , , , , , , , , 
 02037,Hellín,"1,874",153,219,917,12,47,66,178,122,160,585
 02038,"Herrera, La",13, , , , , , , , , , 
 02039,Higueruela,69,16,9,31, , , , , , ,13
 02040,Hoya-Gonzalo,37, , , , , , , , , , 
 02041,Jorquera,12, , , , , , , , , , 
 02042,Letur,61, , , , , , , , , , 
 02043,Lezuza,74,18,17,30, , , , , , ,9
 02044,Liétor,50,4,11,26, , , , , , ,9
 02045,Madrigueras,324,68,43,132, , , , , , ,81
 02046,Mahora,82,10,11,34, , , , , , ,27
 02047,Masegoso,., , , , , , , , , , 
 02048,Minaya,90,14,21,43, , , , , , ,12
 02049,Molinicos,54, , , , , , , , , , 
 02050,Montalvos,., , , , , , , , , , 
 02051,Montealegre del Castillo,164,43,13,63, , , , , , ,45
 02052,Motilleja,21, , , , , , , , , , 
 02053,Munera,219,16,55,99, , , , , , ,49
 02054,Navas de Jorquera,15, , , , , , , , , , 
 02055,Nerpio,74,9,16,40, , , , , , ,9
 02056,Ontur,109,18,25,50, , , , , , ,16
 02057,Ossa de Montiel,166,39,24,78, , , , , , ,25
 02058,Paterna del Madera,20, , , , , , , , , , 
 02059,Peñascosa,12, , , , , , , , , , 
 02060,Peñas de San Pedro,46,17,6,14, , , , , , ,9
 02061,Pétrola,34, , , , , , , , , , 
 02062,Povedilla,19, , , , , , , , , , 
 02063,Pozohondo,101,15,20,48, , , , , , ,18
 02064,Pozo-Lorente,29, , , , , , , , , , 
 02065,Pozuelo,25, , , , , , , , , , 
 02066,"Recueja, La",12, , , , , , , , , , 
 02067,Riópar,115,12,23,49, , , , , , ,31
 02068,Robledo,21, , , , , , , , , , 
 02069,"Roda, La","1,146",138,101,504,5,19,70,120,69,120,403
 02070,Salobre,20, , , , , , , , , , 
 02071,San Pedro,41,5,12,18, , , , , , ,6
 02072,Socovos,93,10,9,58, , , , , , ,16
 02073,Tarazona de la Mancha,402,42,82,185,.,10,.,29,13,30,93
 02074,Tobarra,534,70,79,247,.,.,19,40,24,44,138
 02075,Valdeganga,100,12,19,49, , , , , , ,20
 02076,Vianos,18, , , , , , , , , , 
 02077,Villa de Ves,., , , , , , , , , , 
 02078,Villalgordo del Júcar,67,8,14,32, , , , , , ,13
 02079,Villamalea,248,32,43,105, , , , , , ,68
 02080,Villapalacios,20, , , , , , , , , , 
 02081,Villarrobledo,"1,635",136,273,699,12,38,58,171,101,147,527
 02082,Villatoya,7, , , , , , , , , , 
 02083,Villavaliente,9, , , , , , , , , , 
 02084,Villaverde de Guadalimar,17, , , , , , , , , , 
 02085,Viveros,17, , , , , , , , , , 
 02086,Yeste,152,10,26,83, , , , , , ,33
 02901,Pozo Cañada,191,15,23,107, , , , , , ,46
 03 Al,cante/Alacant,"142,933","10,314","19,783","53,280","2,241","2,992","9,960","22,922","9,653","11,788","59,556"
 03001,"Atzúbia, l'",36, , , , , , , , , , 
 03002,Agost,327,43,53,149, , , , , , ,82
 03003,Agres,39, , , , , , , , , , 
 03004,Aigües,64, , , , , , , , , , 
 03005,Albatera,841,63,83,456,8,25,16,66,48,76,239
 03006,Alcalalí,91,.,.,27, , , , , , ,38
 03007,Alcocer de Planes,18, , , , , , , , , , 
 03008,Alcoleja,10, , , , , , , , , , 
 03009,Alcoy/Alcoi,"3,917",360,424,"1,357",85,107,214,648,338,384,"1,776"
 03010,Alfafara,22, , , , , , , , , , 
 03011,"Alfàs del Pi, l'","1,941",40,295,718,36,34,182,329,135,172,888
 03012,Algorfa,201,11,28,84, , , , , , ,78
 03013,Algueña,87,22,6,48, , , , , , ,11
 03014,Alicante/Alacant,"26,712",820,"2,775","9,472",584,693,"1,879","5,639","2,584","2,266","13,645"
 03015,Almoradí,"1,499",119,224,590,12,34,86,236,88,110,566
 03016,Almudaina,5, , , , , , , , , , 
 03017,"Alqueria d'Asnar, l'",61, , , , , , , , , , 
 03018,Altea,"2,362",77,428,836,30,40,214,381,159,197,"1,021"
 03019,Aspe,"1,376",209,182,571,14,25,52,137,79,107,414
 03020,Balones,4, , , , , , , , , , 
 03021,Banyeres de Mariola,546,143,50,204,7,17,16,45,34,30,149
 03022,Benasau,11, , , , , , , , , , 
 03023,Beneixama,134,34,20,43, , , , , , ,37
 03024,Benejúzar,346,45,56,163,.,.,10,34,11,19,82
 03025,Benferri,109,6,22,39, , , , , , ,42
 03026,Beniarbeig,179,18,42,51, , , , , , ,68
 03027,Beniardá,12, , , , , , , , , , 
 03028,Beniarrés,72,15,13,27, , , , , , ,17
 03029,Benigembla,39, , , , , , , , , , 
 03030,Benidoleig,89,5,22,25, , , , , , ,37
 03031,Benidorm,"5,534",80,550,"2,565",76,96,563,774,302,528,"2,339"
 03032,Benifallim,., , , , , , , , , , 
 03033,Benifato,11, , , , , , , , , , 
 03034,Benijófar,243,13,48,100, , , , , , ,82
 03035,Benilloba,41, , , , , , , , , , 
 03036,Benillup,., , , , , , , , , , 
 03037,Benimantell,55, , , , , , , , , , 
 03038,Benimarfull,32, , , , , , , , , , 
 03039,Benimassot,., , , , , , , , , , 
 03040,Benimeli,40, , , , , , , , , , 
 03041,Benissa,"1,217",51,299,364,12,19,111,219,52,90,503
 03042,"Benitachell/Poble Nou de Benitatxell, el",357,7,88,96, , , , , , ,166
 03043,Biar,304,56,37,94, , , , , , ,117
 03044,Bigastro,511,42,168,138,6,11,31,56,20,39,163
 03045,Bolulla,20, , , , , , , , , , 
 03046,Busot,195,8,37,64, , , , , , ,86
 03047,Calp,"2,061",35,360,813,11,26,213,332,112,159,853
 03048,Callosa d'en Sarrià,576,29,145,186,11,14,25,84,37,45,216
