Provincia;PIB pm
Albacete;7.474.867
Alicante/Alacant;35.578.405
Almería;13.330.403
Araba/Álava;11.638.236
Asturias;21.597.585
Ávila;3.019.358
Badajoz;11.184.466
Balears, Illes;29.134.126
Barcelona;157.402.646
Bizkaia;34.453.586
Burgos;9.750.652
Cáceres;6.949.530
Cádiz;20.850.100
Cantabria;12.571.273
Castellón/Castelló;13.934.671
Ciudad Real;9.838.327
Córdoba;13.748.393
Coruña, A;25.263.455
Cuenca;4.178.353
Gipuzkoa;22.300.162
Girona;21.112.475
Granada;15.834.484
Guadalajara;4.962.267
Huelva;9.419.766
Huesca;6.020.421
Jaén;10.917.442
León;9.494.884
Lleida;11.884.544
Lugo;7.061.070
Madrid;211.781.846
Málaga;28.684.375
Murcia;29.115.517
Navarra;19.055.932
Ourense;6.529.932
Palencia;4.280.258
Palmas, Las;22.539.428
Pontevedra;19.104.361
Rioja, La;7.944.604
Salamanca;6.904.713
Santa Cruz de Tenerife;20.126.249
Segovia;3.351.492
Sevilla;36.906.561
Soria;2.212.369
Tarragona;23.530.882
Teruel;3.283.648
Toledo;12.294.825
Valencia/València;54.674.754
Valladolid;12.740.415
Zamora;3.457.641
Zaragoza;25.394.739
Ceuta;1.641.460
Melilla;1.501.648
