,M190_1,M190_2,M190_3,M190_4,M190_5,M190_6,M190_7,M190_8,M190_9,M190_10,M190_11,M190_12,M190_13,M190_14,M190_15,M190_16,M190_17,M190_18,M190_19,M190_20,M190_21,CCAA,PROV,SECTOR,SEXO,EJER
8460,67632,245749643.4,32725.44777,81833756.9,9068.00585,163915886.5,23657.441919999997,406241.86,152.8381,17363321.94,3122.91123,62278979.37,8229.17023,93651847.2,12103.477429999999,52925908.3,6706.0035100000005,18428004.93,2318.92261,695339.8,92.12465999999999,1,4,1,1,2018
8461,19358,73762042.67,11400.67915,32225624.38,4628.54007,41536418.29,6772.13908,102158.57,48.31592,6895935.46,1307.20447,20216171.78,2948.59984,25367732.39,3688.89614,15879695.33,2394.4078,5138458.04,961.4915599999999,161891.1,51.76342,1,4,1,2,2018
8462,5223,119376341.27,4572.24294,115985482.79,4364.74071,3390858.48,207.50223,,,2967323.09,218.08926,19775399.69,884.2855900000001,36472350.31,1363.91713,36674839.32,1312.27607,22989691.43,774.54837,496737.43,19.126520000000003,1,4,2,1,2018
8463,998,19258213.6,894.9186199999999,18678052.5,854.61049,580161.1,40.30813,,,474503.45,40.67287,3978849.68,200.59122,7041778.57,297.40437000000003,5413483.2,251.33813999999998,2320578.28,99.91202,29020.42,5.0,1,4,2,2,2018
8464,11128,167227645.34,8728.21163,151201587.66,7442.83247,16026057.68,1285.37916,52915.61,25.66532,7125737.78,771.2973400000001,33047239.17,2091.62099,54399019.8,2723.0686,45726073.29,2047.4011100000002,26263995.77,1029.38063,612663.92,39.777640000000005,1,4,3,1,2018
8465,3541,36341608.33,2695.15403,33654728.77,2390.07593,2686879.56,305.0781,12293.78,7.755089999999999,1687761.1,273.59631,9738410.52,772.49577,12450187.6,826.85069,8658443.85,561.43216,3737132.01,241.02401,57379.47,12.0,1,4,3,2,2018
8466,27481,233709662.85,17303.65149,190809053.95,12734.358740000001,42900608.9,4569.29275,209617.08,54.891619999999996,10151953.73,1383.54328,44339425.13,3721.3316600000003,83568481.3,5845.87865,64774593.78,4298.3800200000005,29365589.62,1922.4622100000001,1300002.21,77.16405,1,4,4,1,2018
8467,6253,45570933.27,3723.12569,38926196.25,2954.73184,6644737.02,768.39385,14962.36,10.85086,2654034.97,377.30077,9979231.16,892.96788,16425833.79,1264.18695,11631778.07,825.69245,4542778.05,327.50607,322314.87,24.62071,1,4,4,2,2018
8468,69154,734725143.44,47848.25757,607806404.54,35768.076610000004,126918738.9,12080.18096,298381.67,109.49413,39850429.21,5177.580739999999,157562870.41,11894.18692,244889307.51,15220.524609999999,196465948.48,10591.12726,90506090.09,4624.27242,5152116.07,231.07148999999998,1,4,5,1,2018
8469,63553,473701296.87,43872.837660000005,390358509.84,34005.33304,83342787.03,9867.50462,375143.43,120.37983,36608370.08,5605.24786,122974607.74,11952.91656,166346875.44,13843.187769999999,108986455.48,9072.26012,37258371.77,3156.85462,1151472.93,121.9909,1,4,5,2,2018
