Atlas Interactivo; ; 
Sistema de referencia geográfica : España por comunidades autónomas (vista real); ; 
Código;Etiqueta;Ganancia media anual por salario mínimo interprofesional (serie) 2014
61;Andalucía;2.31
62;Aragón;2.45
63;Principado de Asturias;2.44
64;Illes Balears;2.36
65;Canarias;2.15
66;Cantabria;2.35
67;Castilla y León;2.27
68;Castilla-La Mancha;2.29
69;Cataluña/Catalunya;2.65
70;Extremadura;2.12
71;Galicia;2.24
72;Comunidad de Madrid;2.94
73;Región de Murcia;2.29
74;Comunidad Foral de Navarra;2.73
75;País Vasco/Euskadi;3.08
76;La Rioja;2.43
77;Comunitat Valenciana;2.28
78;Ciudad de Ceuta;N/A
79;Ciudad de Melilla;N/A
