M190_1,M190_2,M190_3,M190_4,M190_5,M190_6,M190_7,M190_8,M190_9,M190_10,M190_11,M190_12,M190_13,M190_14,M190_15,M190_16,M190_17,M190_18,M190_19,M190_20,M190_21,CCAA,PROV,SECTOR,SEXO,EJER,MODELO
34068,112710945.110000,22188.987080,48647747.610000,6893.785820,64063197.500000,15295.201260,369910.260000,122.195820,13204320.740000,3315.080350,41591827.450000,8970.847370,32862960.360000,6015.794740,18157487.240000,2851.066890,6320128.120000,885.054810,204310.940000,28.947100,1,4,1,1,2009,190
35952,116354694.150000,23559.569310,45030740.830000,5899.003260,71323953.320000,17660.566050,252441.770000,96.121020,12544673.000000,3247.432640,43112339.550000,9565.366860,35046086.900000,6578.218510,19195600.030000,3141.312400,5992126.420000,899.920440,211426.480000,31.197440,1,4,1,1,2010,190
38269,126299031.110000,24949.473130,43439095.160000,6295.467900,82859935.950000,18654.005230,249251.580000,100.272310,13459515.150000,3343.213520,47413879.330000,9895.331140,38829469.900000,7275.511140,19830364.710000,3297.835860,6255263.850000,1005.450380,261286.590000,31.858780,1,4,1,1,2011,190
39105,141990362.990000,26410.367810,49333416.270000,7049.923800,92656946.720000,19360.444010,226287.420000,92.496980,13344917.540000,3086.995140,52688180.570000,10311.662540,44851302.750000,8081.507870,22911785.100000,3661.150660,7709233.260000,1148.042810,258656.350000,28.511810,1,4,1,1,2012,190
43501,153237190.200000,28963.201910,54167357.390000,8130.901710,99069832.810000,20832.300200,300278.990000,110.431270,12704417.730000,3174.479740,55832541.690000,11052.274340,50414023.370000,9255.000850,24995318.550000,4055.994590,8663512.400000,1275.309040,327097.470000,39.712080,1,4,1,1,2013,190
48865,170464377.480000,31119.649790,60528004.260000,8764.136080,109936373.220000,22355.513710,240159.850000,112.200760,13592672.310000,3192.217800,59977491.070000,11200.016800,57261579.290000,10395.304640,29083023.760000,4736.677760,10020885.840000,1441.586160,288565.360000,41.645870,1,4,1,1,2014,190
54894,187580183.020000,32643.707500,66365632.590000,9187.312920,121214550.430000,23456.394580,318083.560000,131.294350,14511273.400000,3362.806590,61715493.050000,10897.972480,65784954.650000,11279.237500,33413988.800000,5331.269650,11610842.560000,1600.483680,225547.000000,40.643250,1,4,1,1,2015,190
61207,211394151.330000,34272.277930,74445707.780000,9730.462610,136948443.550000,24541.815320,403318.040000,173.028310,16067415.200000,3396.110080,63423800.150000,10372.671670,76945347.400000,12289.967980,40427851.610000,6088.660480,13808567.720000,1892.704880,317851.210000,59.134530,1,4,1,1,2016,190
15319,41463023.290000,10932.106190,19189192.970000,5170.197660,22273830.320000,5761.908530,91031.570000,40.401590,6820948.130000,1885.526230,15286273.820000,3652.849630,11728923.380000,2682.335830,5516542.430000,1652.507200,1942082.900000,968.011360,77221.060000,50.474350,1,4,1,2,2009,190
14263,40055562.650000,10358.688070,17294474.400000,4316.924280,22761088.250000,6041.763790,84349.850000,41.471110,5831758.180000,1614.340360,14609048.800000,3503.627030,12196394.800000,2715.654980,5487507.310000,1520.511540,1774654.150000,905.541470,71849.560000,57.541580,1,4,1,2,2010,190
