,postal_code,cities_es,cities,province_es,province,ccaa_es,ccaa,cities_es/province_es,cities_es/province,cities_es/ccaa_es,cities_es/ccaa,cities/province_es,province_es/ccaa_es,province_es/ccaa,province/ccaa_es,province/ccaa
0,01001,vitoria-gasteiz,vitoria-gasteiz,alava,araba,pais vasco,pais vasco,vitoria-gasteiz/alava,vitoria-gasteiz/araba,vitoria-gasteiz/pais vasco,vitoria-gasteiz/pais vasco,vitoria-gasteiz/alava,alava/pais vasco,alava/pais vasco,araba/pais vasco,araba/pais vasco
1,01002,vitoria-gasteiz,vitoria-gasteiz,alava,araba,pais vasco,pais vasco,vitoria-gasteiz/alava,vitoria-gasteiz/araba,vitoria-gasteiz/pais vasco,vitoria-gasteiz/pais vasco,vitoria-gasteiz/alava,alava/pais vasco,alava/pais vasco,araba/pais vasco,araba/pais vasco
2,01003,vitoria-gasteiz,vitoria-gasteiz,alava,araba,pais vasco,pais vasco,vitoria-gasteiz/alava,vitoria-gasteiz/araba,vitoria-gasteiz/pais vasco,vitoria-gasteiz/pais vasco,vitoria-gasteiz/alava,alava/pais vasco,alava/pais vasco,araba/pais vasco,araba/pais vasco
3,01004,vitoria-gasteiz,vitoria-gasteiz,alava,araba,pais vasco,pais vasco,vitoria-gasteiz/alava,vitoria-gasteiz/araba,vitoria-gasteiz/pais vasco,vitoria-gasteiz/pais vasco,vitoria-gasteiz/alava,alava/pais vasco,alava/pais vasco,araba/pais vasco,araba/pais vasco
4,01005,vitoria-gasteiz,vitoria-gasteiz,alava,araba,pais vasco,pais vasco,vitoria-gasteiz/alava,vitoria-gasteiz/araba,vitoria-gasteiz/pais vasco,vitoria-gasteiz/pais vasco,vitoria-gasteiz/alava,alava/pais vasco,alava/pais vasco,araba/pais vasco,araba/pais vasco
5,01006,vitoria-gasteiz,vitoria-gasteiz,alava,araba,pais vasco,pais vasco,vitoria-gasteiz/alava,vitoria-gasteiz/araba,vitoria-gasteiz/pais vasco,vitoria-gasteiz/pais vasco,vitoria-gasteiz/alava,alava/pais vasco,alava/pais vasco,araba/pais vasco,araba/pais vasco
6,01007,vitoria-gasteiz,vitoria-gasteiz,alava,araba,pais vasco,pais vasco,vitoria-gasteiz/alava,vitoria-gasteiz/araba,vitoria-gasteiz/pais vasco,vitoria-gasteiz/pais vasco,vitoria-gasteiz/alava,alava/pais vasco,alava/pais vasco,araba/pais vasco,araba/pais vasco
7,01008,vitoria-gasteiz,vitoria-gasteiz,alava,araba,pais vasco,pais vasco,vitoria-gasteiz/alava,vitoria-gasteiz/araba,vitoria-gasteiz/pais vasco,vitoria-gasteiz/pais vasco,vitoria-gasteiz/alava,alava/pais vasco,alava/pais vasco,araba/pais vasco,araba/pais vasco
8,01009,vitoria-gasteiz,vitoria-gasteiz,alava,araba,pais vasco,pais vasco,vitoria-gasteiz/alava,vitoria-gasteiz/araba,vitoria-gasteiz/pais vasco,vitoria-gasteiz/pais vasco,vitoria-gasteiz/alava,alava/pais vasco,alava/pais vasco,araba/pais vasco,araba/pais vasco
9,01010,vitoria-gasteiz,vitoria-gasteiz,alava,araba,pais vasco,pais vasco,vitoria-gasteiz/alava,vitoria-gasteiz/araba,vitoria-gasteiz/pais vasco,vitoria-gasteiz/pais vasco,vitoria-gasteiz/alava,alava/pais vasco,alava/pais vasco,araba/pais vasco,araba/pais vasco
10,01012,vitoria-gasteiz,vitoria-gasteiz,alava,araba,pais vasco,pais vasco,vitoria-gasteiz/alava,vitoria-gasteiz/araba,vitoria-gasteiz/pais vasco,vitoria-gasteiz/pais vasco,vitoria-gasteiz/alava,alava/pais vasco,alava/pais vasco,araba/pais vasco,araba/pais vasco
11,01013,vitoria-gasteiz,vitoria-gasteiz,alava,araba,pais vasco,pais vasco,vitoria-gasteiz/alava,vitoria-gasteiz/araba,vitoria-gasteiz/pais vasco,vitoria-gasteiz/pais vasco,vitoria-gasteiz/alava,alava/pais vasco,alava/pais vasco,araba/pais vasco,araba/pais vasco
12,01015,vitoria-gasteiz,vitoria-gasteiz,alava,araba,pais vasco,pais vasco,vitoria-gasteiz/alava,vitoria-gasteiz/araba,vitoria-gasteiz/pais vasco,vitoria-gasteiz/pais vasco,vitoria-gasteiz/alava,alava/pais vasco,alava/pais vasco,araba/pais vasco,araba/pais vasco
13,01110,campezo,kanpezu,alava,araba,pais vasco,pais vasco,campezo/alava,campezo/araba,campezo/pais vasco,campezo/pais vasco,kanpezu/alava,alava/pais vasco,alava/pais vasco,araba/pais vasco,araba/pais vasco
14,01117,campezo,kanpezu,alava,araba,pais vasco,pais vasco,campezo/alava,campezo/araba,campezo/pais vasco,campezo/pais vasco,kanpezu/alava,alava/pais vasco,alava/pais vasco,araba/pais vasco,araba/pais vasco
15,01118,bernedo,bernedo,alava,araba,pais vasco,pais vasco,bernedo/alava,bernedo/araba,bernedo/pais vasco,bernedo/pais vasco,bernedo/alava,alava/pais vasco,alava/pais vasco,araba/pais vasco,araba/pais vasco
16,01120,arraia-maeztu,arraia-maeztu,alava,araba,pais vasco,pais vasco,arraia-maeztu/alava,arraia-maeztu/araba,arraia-maeztu/pais vasco,arraia-maeztu/pais vasco,arraia-maeztu/alava,alava/pais vasco,alava/pais vasco,araba/pais vasco,araba/pais vasco
17,01128,bernedo,bernedo,alava,araba,pais vasco,pais vasco,bernedo/alava,bernedo/araba,bernedo/pais vasco,bernedo/pais vasco,bernedo/alava,alava/pais vasco,alava/pais vasco,araba/pais vasco,araba/pais vasco
18,01129,arraia-maeztu,arraia-maeztu,alava,araba,pais vasco,pais vasco,arraia-maeztu/alava,arraia-maeztu/araba,arraia-maeztu/pais vasco,arraia-maeztu/pais vasco,arraia-maeztu/alava,alava/pais vasco,alava/pais vasco,araba/pais vasco,araba/pais vasco
19,01130,zuia,zuia,alava,araba,pais vasco,pais vasco,zuia/alava,zuia/araba,zuia/pais vasco,zuia/pais vasco,zuia/alava,alava/pais vasco,alava/pais vasco,araba/pais vasco,araba/pais vasco
20,01138,zigoitia,zigoitia,alava,araba,pais vasco,pais vasco,zigoitia/alava,zigoitia/araba,zigoitia/pais vasco,zigoitia/pais vasco,zigoitia/alava,alava/pais vasco,alava/pais vasco,araba/pais vasco,araba/pais vasco
21,01139,zuia,zuia,alava,araba,pais vasco,pais vasco,zuia/alava,zuia/araba,zuia/pais vasco,zuia/pais vasco,zuia/alava,alava/pais vasco,alava/pais vasco,araba/pais vasco,araba/pais vasco
22,01160,aramaio,aramaio,alava,araba,pais vasco,pais vasco,aramaio/alava,aramaio/araba,aramaio/pais vasco,aramaio/pais vasco,aramaio/alava,alava/pais vasco,alava/pais vasco,araba/pais vasco,araba/pais vasco
23,01165,aramaio,aramaio,alava,araba,pais vasco,pais vasco,aramaio/alava,aramaio/araba,aramaio/pais vasco,aramaio/pais vasco,aramaio/alava,alava/pais vasco,alava/pais vasco,araba/pais vasco,araba/pais vasco
24,01169,aramaio,aramaio,alava,araba,pais vasco,pais vasco,aramaio/alava,aramaio/araba,aramaio/pais vasco,aramaio/pais vasco,aramaio/alava,alava/pais vasco,alava/pais vasco,araba/pais vasco,araba/pais vasco
25,01170,legutio,legutio,alava,araba,pais vasco,pais vasco,legutio/alava,legutio/araba,legutio/pais vasco,legutio/pais vasco,legutio/alava,alava/pais vasco,alava/pais vasco,araba/pais vasco,araba/pais vasco
26,01171,legutio,legutio,alava,araba,pais vasco,pais vasco,legutio/alava,legutio/araba,legutio/pais vasco,legutio/pais vasco,legutio/alava,alava/pais vasco,alava/pais vasco,araba/pais vasco,araba/pais vasco
27,01191,vitoria-gasteiz,vitoria-gasteiz,alava,araba,pais vasco,pais vasco,vitoria-gasteiz/alava,vitoria-gasteiz/araba,vitoria-gasteiz/pais vasco,vitoria-gasteiz/pais vasco,vitoria-gasteiz/alava,alava/pais vasco,alava/pais vasco,araba/pais vasco,araba/pais vasco
