,bus_based_companies_count,cities_es,cities,province_es,province,ccaa_es,ccaa,cities_es/province,provincia_original,municipio_original,prov_total_millones_vehiculos_km,prov_porcentaje_carreteras_ccaa_y_estado,perc_calidad_cobertura_fija_movil,ccaa_accessibility_mean,tiene_cercanias,tiene_feve,tiene_ave,nume_estaciones_tren
0,5.0,barcelona,barcelona,barcelona,barcelona,cataluna,cataluna,barcelona/barcelona,Barcelona,Barcelona,8838.35,0.8445015189486725,100.0,37.20251666,1.0,0.0,1.0,100.0
1,1.0,terrassa,terrassa,barcelona,barcelona,cataluna,cataluna,terrassa/barcelona,Barcelona,Terrassa,8838.35,0.8445015189486725,92.0,37.20251666,1.0,0.0,0.0,4.0
2,1.0,sant_boi_de_llobregat,sant_boi_de_llobregat,barcelona,barcelona,cataluna,cataluna,sant_boi_de_llobregat/barcelona,Barcelona,Sant Boi de Llobregat,8838.35,0.8445015189486725,100.0,37.20251666,1.0,0.0,0.0,1.0
3,,abrera,abrera,barcelona,barcelona,cataluna,cataluna,abrera/barcelona,Barcelona,Abrera,8838.35,0.8445015189486725,100.0,37.20251666,1.0,0.0,1.0,100.0
4,,aguilar_de_segarra,aguilar_de_segarra,barcelona,barcelona,cataluna,cataluna,aguilar_de_segarra/barcelona,Barcelona,Aguilar de Segarra,8838.35,0.8445015189486725,28.33,37.20251666,0.0,0.0,0.0,1.0
5,,alella,alella,barcelona,barcelona,cataluna,cataluna,alella/barcelona,Barcelona,Alella,8838.35,0.8445015189486725,100.0,37.20251666,1.0,0.0,0.0,1.0
6,,alpens,alpens,barcelona,barcelona,cataluna,cataluna,alpens/barcelona,Barcelona,Alpens,8838.35,0.8445015189486725,45.0,37.20251666,1.0,0.0,1.0,100.0
7,,l'ametlla_del_valles,l'ametlla_del_valles,barcelona,barcelona,cataluna,cataluna,l'ametlla_del_valles/barcelona,Barcelona,L'Ametlla del Vallès,8838.35,0.8445015189486725,90.0,37.20251666,,,,
8,,arenys_de_mar,arenys_de_mar,barcelona,barcelona,cataluna,cataluna,arenys_de_mar/barcelona,Barcelona,Arenys de Mar,8838.35,0.8445015189486725,100.0,37.20251666,1.0,0.0,0.0,1.0
9,,arenys_de_munt,arenys_de_munt,barcelona,barcelona,cataluna,cataluna,arenys_de_munt/barcelona,Barcelona,Arenys de Munt,8838.35,0.8445015189486725,90.44,37.20251666,1.0,0.0,1.0,100.0
10,,argencola,argencola,barcelona,barcelona,cataluna,cataluna,argencola/barcelona,Barcelona,Argençola,8838.35,0.8445015189486725,47.5,37.20251666,1.0,0.0,1.0,100.0
11,,argentona,argentona,barcelona,barcelona,cataluna,cataluna,argentona/barcelona,Barcelona,Argentona,8838.35,0.8445015189486725,83.85,37.20251666,1.0,0.0,1.0,100.0
12,,artes,artes,barcelona,barcelona,cataluna,cataluna,artes/barcelona,Barcelona,Artés,8838.35,0.8445015189486725,80.0,37.20251666,1.0,0.0,1.0,100.0
13,,avia,avia,barcelona,barcelona,cataluna,cataluna,avia/barcelona,Barcelona,Avià,8838.35,0.8445015189486725,65.71,37.20251666,1.0,0.0,1.0,100.0
14,,avinyo,avinyo,barcelona,barcelona,cataluna,cataluna,avinyo/barcelona,Barcelona,Avinyó,8838.35,0.8445015189486725,56.88,37.20251666,1.0,0.0,1.0,100.0
15,,avinyonet_del_penedes,avinyonet_del_penedes,barcelona,barcelona,cataluna,cataluna,avinyonet_del_penedes/barcelona,Barcelona,Avinyonet del Penedès,8838.35,0.8445015189486725,77.78,37.20251666,,,,
16,,aiguafreda,aiguafreda,barcelona,barcelona,cataluna,cataluna,aiguafreda/barcelona,Barcelona,Aiguafreda,8838.35,0.8445015189486725,100.0,37.20251666,1.0,0.0,1.0,100.0
17,,badalona,badalona,barcelona,barcelona,cataluna,cataluna,badalona/barcelona,Barcelona,Badalona,8838.35,0.8445015189486725,100.0,37.20251666,1.0,0.0,0.0,1.0
18,,baga,baga,barcelona,barcelona,cataluna,cataluna,baga/barcelona,Barcelona,Bagà,8838.35,0.8445015189486725,70.0,37.20251666,1.0,0.0,1.0,100.0
19,,balenya,balenya,barcelona,barcelona,cataluna,cataluna,balenya/barcelona,Barcelona,Balenyà,8838.35,0.8445015189486725,78.75,37.20251666,1.0,0.0,0.0,1.0
20,,balsareny,balsareny,barcelona,barcelona,cataluna,cataluna,balsareny/barcelona,Barcelona,Balsareny,8838.35,0.8445015189486725,74.0,37.20251666,1.0,0.0,1.0,100.0
21,,begues,begues,barcelona,barcelona,cataluna,cataluna,begues/barcelona,Barcelona,Begues,8838.35,0.8445015189486725,100.0,37.20251666,1.0,0.0,1.0,100.0
22,,berga,berga,barcelona,barcelona,cataluna,cataluna,berga/barcelona,Barcelona,Berga,8838.35,0.8445015189486725,86.67,37.20251666,1.0,0.0,1.0,100.0
23,,bigues_i_riells,bigues_i_riells,barcelona,barcelona,cataluna,cataluna,bigues_i_riells/barcelona,Barcelona,Bigues i Riells,8838.35,0.8445015189486725,67.65,37.20251666,1.0,0.0,1.0,100.0
24,,borreda,borreda,barcelona,barcelona,cataluna,cataluna,borreda/barcelona,Barcelona,Borredà,8838.35,0.8445015189486725,70.0,37.20251666,1.0,0.0,1.0,100.0
25,,el_bruc,el_bruc,barcelona,barcelona,cataluna,cataluna,el_bruc/barcelona,Barcelona,El Bruc,8838.35,0.8445015189486725,100.0,37.20251666,1.0,0.0,1.0,100.0
26,,el_brull,el_brull,barcelona,barcelona,cataluna,cataluna,el_brull/barcelona,Barcelona,El Brull,8838.35,0.8445015189486725,100.0,37.20251666,1.0,0.0,1.0,100.0
27,,les_cabanyes,les_cabanyes,barcelona,barcelona,cataluna,cataluna,les_cabanyes/barcelona,Barcelona,Les Cabanyes,8838.35,0.8445015189486725,100.0,37.20251666,1.0,0.0,1.0,100.0
28,,cabrera_d'anoia,cabrera_d'anoia,barcelona,barcelona,cataluna,cataluna,cabrera_d'anoia/barcelona,Barcelona,Cabrera d'Anoia,8838.35,0.8445015189486725,36.43,37.20251666,1.0,0.0,1.0,100.0
29,,cabrera_de_mar,cabrera_de_mar,barcelona,barcelona,cataluna,cataluna,cabrera_de_mar/barcelona,Barcelona,Cabrera de Mar,8838.35,0.8445015189486725,100.0,37.20251666,1.0,0.0,1.0,100.0
30,,cabrils,cabrils,barcelona,barcelona,cataluna,cataluna,cabrils/barcelona,Barcelona,Cabrils,8838.35,0.8445015189486725,100.0,37.20251666,1.0,0.0,1.0,100.0
