,cities_es,cities,province_es,province,ccaa_es,ccaa,cities_es/province,provincia_original,municipio_original,hombres_total,hombres_de_0_4,hombres_de_5_9,hombres_de_10_4,hombres_de_15_19,hombres_de_20_24,hombres_de_25_29,hombres_de_30_34,hombres_de_35_39,hombres_de_40_44,hombres_de_45_49,hombres_de_50_54,hombres_de_55_59,hombres_de_60_64,hombres_de_65_69,hombres_de_70_74,hombres_de_75_79,hombres_de_80_84,hombres_de_85_89,hombres_de_90_94,hombres_de_95_99,hombres_de_100_y_mas,mujeres_total,mujeres_de_0_4,mujeres_de_5_9,mujeres_de_10_4,mujeres_de_15_19,mujeres_de_20_24,mujeres_de_25_29,mujeres_de_30_34,mujeres_de_35_39,mujeres_de_40_44,mujeres_de_45_49,mujeres_de_50_54,mujeres_de_55_59,mujeres_de_60_64,mujeres_de_65_69,mujeres_de_70_74,mujeres_de_75_79,mujeres_de_80_84,mujeres_de_85_89,mujeres_de_90_94,mujeres_de_95_99,mujeres_de_100_y_mas,prov_camiones,prov_furgonetas,prov_autobuses,prov_turismos,prov_motocicletas,prov_tractores_industriales,prov_r_y_s,prov_otros_vehiculos,prov_total_vehiculos,latitud,longitud,altitud,distanica_km_ciudad_cercana,cuidad_mas_cercana,prov_n_llu_anual,prov_n_nub_anual,prov_n_nie_anual,prov_n_gra_anual,prov_n_fog_anual,prov_n_des_anual,prov_n_cub_anual,prov_n_tor_anual,prov_nt_00_anual,prov_nt_30_anual,prov_nw_55_anual,prov_nw_91_anual,prov_w_med_anual,prov_ta_max_anual,prov_ta_min_anual,prov_co,prov_no2,prov_o3,prov_pm10,prov_pm25,prov_so2
0,alegria_dulantzi,alegria_dulantzi,alava,araba,pais_vasco,pais_vasco,alegria_dulantzi/araba,Araba/Álava,Alegría-Dulantzi,124813.0,6270.0,6949.0,6387.0,6024.0,5620.0,5974.0,7478.0,9516.0,11393.0,10517.0,9607.0,8381.0,7430.0,6709.0,6219.0,4384.0,3098.0,2029.0,703.0,113.0,12.0,130953.0,130953.0,5976.0,6333.0,6032.0,5643.0,5346.0,6118.0,7514.0,9632.0,10849.0,10259.0,9771.0,9257.0,8470.0,7563.0,7115.0,5125.0,4237.0,3433.0,1724.0,475.0,14473,14749,538,158049,16011,1334,3208,4969,213331,42.84149,-2.513507,561.6857,34.443702281517965,bilbao,160.0,218.0,2.0,0.0,51.0,27.0,120.0,19.0,48.0,34.0,3.5,0.25,12.545454545454545,39.7(29/jun),-7.7(06/ene),181.640625,11.2317880794702,60.08187134502924,57.17056856187291,17.97222222222222,1.8714285714285714
1,amurrio,amurrio,alava,araba,pais_vasco,pais_vasco,amurrio/araba,Araba/Álava,Amurrio,8506.0,426.0,472.0,483.0,394.0,375.0,364.0,419.0,586.0,775.0,658.0,757.0,683.0,561.0,520.0,404.0,266.0,181.0,132.0,40.0,9.0,1.0,8491.0,8491.0,406.0,466.0,437.0,365.0,324.0,334.0,453.0,596.0,679.0,683.0,700.0,692.0,556.0,473.0,381.0,294.0,264.0,223.0,128.0,35.0,14473,14749,538,158049,16011,1334,3208,4969,213331,43.05265,-3.0010220000000003,219.691,34.194237283740875,getxo,160.0,218.0,2.0,0.0,51.0,27.0,120.0,19.0,48.0,34.0,3.5,0.25,12.545454545454545,39.7(29/jun),-7.7(06/ene),181.640625,11.2317880794702,60.08187134502924,57.17056856187291,17.97222222222222,1.8714285714285714
2,aramaio,aramaio,alava,araba,pais_vasco,pais_vasco,aramaio/araba,Araba/Álava,Aramaio,764.0,28.0,37.0,52.0,38.0,39.0,28.0,25.0,39.0,58.0,58.0,66.0,69.0,62.0,49.0,46.0,21.0,29.0,15.0,4.0,1.0,0.0,703.0,703.0,32.0,33.0,41.0,45.0,28.0,23.0,35.0,37.0,64.0,38.0,56.0,66.0,52.0,34.0,34.0,27.0,25.0,19.0,10.0,4.0,14473,14749,538,158049,16011,1334,3208,4969,213331,43.054,-2.5660000000000003,381.8797,10.756835853391971,bilbao,160.0,218.0,2.0,0.0,51.0,27.0,120.0,19.0,48.0,34.0,3.5,0.25,12.545454545454545,39.7(29/jun),-7.7(06/ene),181.640625,11.2317880794702,60.08187134502924,57.17056856187291,17.97222222222222,1.8714285714285714
3,artziniega,artziniega,alava,araba,pais_vasco,pais_vasco,artziniega/araba,Araba/Álava,Artziniega,2406.0,121.0,168.0,162.0,119.0,89.0,83.0,105.0,165.0,277.0,226.0,199.0,183.0,135.0,122.0,102.0,58.0,51.0,29.0,9.0,3.0,0.0,2389.0,2389.0,111.0,151.0,153.0,106.0,81.0,75.0,117.0,171.0,250.0,225.0,187.0,183.0,119.0,100.0,90.0,65.0,74.0,73.0,42.0,15.0,14473,14749,538,158049,16011,1334,3208,4969,213331,43.1222,-3.128209,196.9808,28.131293017295107,getxo,160.0,218.0,2.0,0.0,51.0,27.0,120.0,19.0,48.0,34.0,3.5,0.25,12.545454545454545,39.7(29/jun),-7.7(06/ene),181.640625,11.2317880794702,60.08187134502924,57.17056856187291,17.97222222222222,1.8714285714285714
4,arminon,arminon,alava,araba,pais_vasco,pais_vasco,arminon/araba,Araba/Álava,Armiñón,2523.0,77.0,161.0,149.0,103.0,76.0,93.0,85.0,174.0,258.0,291.0,259.0,216.0,167.0,113.0,97.0,72.0,61.0,47.0,20.0,4.0,0.0,2052.0,2052.0,75.0,119.0,129.0,108.0,68.0,55.0,96.0,143.0,217.0,237.0,186.0,134.0,100.0,89.0,78.0,67.0,66.0,47.0,27.0,10.0,14473,14749,538,158049,16011,1334,3208,4969,213331,42.72305,-2.872574,463.5815,44.66786614785234,vitoria,160.0,218.0,2.0,0.0,51.0,27.0,120.0,19.0,48.0,34.0,3.5,0.25,12.545454545454545,39.7(29/jun),-7.7(06/ene),181.640625,11.2317880794702,60.08187134502924,57.17056856187291,17.97222222222222,1.8714285714285714
5,arratzua_ubarrundia,arratzua_ubarrundia,alava,araba,pais_vasco,pais_vasco,arratzua_ubarrundia/araba,Araba/Álava,Arratzua-Ubarrundia,124235.0,6249.0,6876.0,6307.0,5961.0,5588.0,5953.0,7480.0,9486.0,11310.0,10434.0,9545.0,8359.0,7422.0,6717.0,6235.0,4361.0,3102.0,2020.0,704.0,113.0,13.0,130404.0,130404.0,5937.0,6311.0,5962.0,5595.0,5324.0,6108.0,7489.0,9577.0,10788.0,10157.0,9711.0,9228.0,8466.0,7559.0,7121.0,5122.0,4241.0,3428.0,1720.0,478.0,14473,14749,538,158049,16011,1334,3208,4969,213331,42.89028,-2.639167,519.2964,29.78475515971007,bilbao,160.0,218.0,2.0,0.0,51.0,27.0,120.0,19.0,48.0,34.0,3.5,0.25,12.545454545454545,39.7(29/jun),-7.7(06/ene),181.640625,11.2317880794702,60.08187134502924,57.17056856187291,17.97222222222222,1.8714285714285714
6,asparrena,asparrena,alava,araba,pais_vasco,pais_vasco,asparrena/araba,Araba/Álava,Asparrena,1813.0,55.0,93.0,80.0,81.0,56.0,78.0,69.0,108.0,146.0,164.0,205.0,193.0,147.0,107.0,81.0,53.0,40.0,39.0,16.0,2.0,0.0,1582.0,1582.0,51.0,89.0,84.0,93.0,68.0,52.0,67.0,78.0,111.0,135.0,149.0,161.0,100.0,85.0,68.0,50.0,61.0,46.0,24.0,9.0,14473,14749,538,158049,16011,1334,3208,4969,213331,42.89567,-2.321,631.6519999999998,33.8680257902574,bilbao,160.0,218.0,2.0,0.0,51.0,27.0,120.0,19.0,48.0,34.0,3.5,0.25,12.545454545454545,39.7(29/jun),-7.7(06/ene),181.640625,11.2317880794702,60.08187134502924,57.17056856187291,17.97222222222222,1.8714285714285714
7,ayala,aiara,alava,araba,pais_vasco,pais_vasco,ayala/araba,,,1500.0,76.0,90.0,109.0,72.0,47.0,53.0,62.0,100.0,173.0,151.0,137.0,107.0,83.0,61.0,68.0,45.0,35.0,23.0,5.0,3.0,0.0,1474.0,1474.0,68.0,87.0,111.0,63.0,51.0,50.0,67.0,97.0,161.0,155.0,118.0,114.0,62.0,55.0,58.0,40.0,46.0,41.0,24.0,6.0,14473,14749,538,158049,16011,1334,3208,4969,213331,43.08333,-3.063056,300.2789,31.07297741074728,getxo,160.0,218.0,2.0,0.0,51.0,27.0,120.0,19.0,48.0,34.0,3.5,0.25,12.545454545454545,39.7(29/jun),-7.7(06/ene),181.640625,11.2317880794702,60.08187134502924,57.17056856187291,17.97222222222222,1.8714285714285714
8,banos_de_ebro,manueta,alava,araba,pais_vasco,pais_vasco,banos_de_ebro/araba,,,470.0,6.0,16.0,13.0,19.0,30.0,14.0,31.0,30.0,34.0,22.0,48.0,49.0,32.0,28.0,28.0,20.0,23.0,18.0,8.0,1.0,0.0,433.0,433.0,20.0,11.0,14.0,21.0,16.0,20.0,27.0,16.0,22.0,22.0,44.0,31.0,31.0,29.0,23.0,23.0,23.0,26.0,10.0,4.0,14473,14749,538,158049,16011,1334,3208,4969,213331,42.53029,-2.679144,428.0221,22.179752618871962,vitoria,160.0,218.0,2.0,0.0,51.0,27.0,120.0,19.0,48.0,34.0,3.5,0.25,12.545454545454545,39.7(29/jun),-7.7(06/ene),181.640625,11.2317880794702,60.08187134502924,57.17056856187291,17.97222222222222,1.8714285714285714
9,barrundia,barrundia,alava,araba,pais_vasco,pais_vasco,barrundia/araba,Araba/Álava,Barrundia,772.0,17.0,42.0,40.0,41.0,22.0,25.0,25.0,46.0,56.0,83.0,94.0,89.0,53.0,46.0,37.0,28.0,13.0,13.0,2.0,0.0,0.0,628.0,628.0,23.0,27.0,26.0,50.0,22.0,22.0,27.0,37.0,55.0,61.0,60.0,62.0,37.0,30.0,31.0,19.0,15.0,16.0,5.0,2.0,14473,14749,538,158049,16011,1334,3208,4969,213331,42.91669,-2.491817,555.0674,26.37866190655472,bilbao,160.0,218.0,2.0,0.0,51.0,27.0,120.0,19.0,48.0,34.0,3.5,0.25,12.545454545454545,39.7(29/jun),-7.7(06/ene),181.640625,11.2317880794702,60.08187134502924,57.17056856187291,17.97222222222222,1.8714285714285714
