,cities_es,cities,province_es,province,ccaa_es,ccaa,cities_es/province,provincia_original,municipio_original,muni_agrup,total_comercios,b_e_industria,f_construccion,comercio_transporte_y_hosteleria,j_informacion_y_comunicaciones,k_actividades_financieras_y_de_seguros,l_actividades_inmobiliarias,actividades_profesionales_y_tecnicas,educacion_sanidad_y_servicios_sociales,otros_servicios_personales,total_servicios,prov_pib
0,alegria_dulantzi,alegria_dulantzi,alava,araba,pais_vasco,pais_vasco,alegria_dulantzi/araba,Araba/Álava,Alegría-Dulantzi,alegria_dulantzi/pais_vasco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11983377
1,amurrio,amurrio,alava,araba,pais_vasco,pais_vasco,amurrio/araba,Araba/Álava,Amurrio,amurrio/pais_vasco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11983377
2,aramaio,aramaio,alava,araba,pais_vasco,pais_vasco,aramaio/araba,Araba/Álava,Aramaio,aramaio/pais_vasco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11983377
3,artziniega,artziniega,alava,araba,pais_vasco,pais_vasco,artziniega/araba,Araba/Álava,Artziniega,artziniega/pais_vasco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11983377
4,arminon,arminon,alava,araba,pais_vasco,pais_vasco,arminon/araba,Araba/Álava,Armiñón,arminon/pais_vasco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11983377
5,arratzua_ubarrundia,arratzua_ubarrundia,alava,araba,pais_vasco,pais_vasco,arratzua_ubarrundia/araba,Araba/Álava,Arratzua-Ubarrundia,arratzua_ubarrundia/pais_vasco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11983377
6,asparrena,asparrena,alava,araba,pais_vasco,pais_vasco,asparrena/araba,Araba/Álava,Asparrena,asparrena/pais_vasco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11983377
7,ayala,aiara,alava,araba,pais_vasco,pais_vasco,ayala/araba,,,aiara/pais_vasco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11983377
8,banos_de_ebro,manueta,alava,araba,pais_vasco,pais_vasco,banos_de_ebro/araba,,,manueta/pais_vasco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11983377
9,barrundia,barrundia,alava,araba,pais_vasco,pais_vasco,barrundia/araba,Araba/Álava,Barrundia,barrundia/pais_vasco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11983377
10,berantevilla,berantevilla,alava,araba,pais_vasco,pais_vasco,berantevilla/araba,Araba/Álava,Berantevilla,berantevilla/pais_vasco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11983377
11,bernedo,bernedo,alava,araba,pais_vasco,pais_vasco,bernedo/araba,Araba/Álava,Bernedo,bernedo/pais_vasco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11983377
12,campezo,kanpezu,alava,araba,pais_vasco,pais_vasco,campezo/araba,,,kanpezu/pais_vasco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11983377
13,zigoitia,zigoitia,alava,araba,pais_vasco,pais_vasco,zigoitia/araba,Araba/Álava,Zigoitia,zigoitia/pais_vasco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11983377
14,kripan,kripan,alava,araba,pais_vasco,pais_vasco,kripan/araba,Araba/Álava,Kripan,kripan/pais_vasco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11983377
