,,,,,,,,,,,,,,,,,,
DATA Postal code,Cities ES, Cities, Province ES, Province, Autonomous Community ES, Autonomous Community,Cities ES - Province ES,Cities ES - Province,Cities ES - CCAA ES,Cities ES - CCAA,Cities - Province ES,Cities - Province ES,Cities - Province ES,Cities - Province ES,Province ES - CCAA ES,Province ES - CCAA,Province - CCAA ES,Province - CCAA
01001,Vitoria-Gasteiz,Vitoria-Gasteiz,Álava,Áraba,País Vasco,País Vasco,Vitoria-Gasteiz/Álava,Vitoria-Gasteiz/Áraba,Vitoria-Gasteiz/País Vasco,Vitoria-Gasteiz/País Vasco,Vitoria-Gasteiz/Álava,Vitoria-Gasteiz/Áraba,Vitoria-Gasteiz/País Vasco,Vitoria-Gasteiz/País Vasco,Álava/País Vasco,Álava/País Vasco,Áraba/País Vasco,Áraba/País Vasco
01002,Vitoria-Gasteiz,Vitoria-Gasteiz,Álava,Áraba,País Vasco,País Vasco,Vitoria-Gasteiz/Álava,Vitoria-Gasteiz/Áraba,Vitoria-Gasteiz/País Vasco,Vitoria-Gasteiz/País Vasco,Vitoria-Gasteiz/Álava,Vitoria-Gasteiz/Áraba,Vitoria-Gasteiz/País Vasco,Vitoria-Gasteiz/País Vasco,Álava/País Vasco,Álava/País Vasco,Áraba/País Vasco,Áraba/País Vasco
01003,Vitoria-Gasteiz,Vitoria-Gasteiz,Álava,Áraba,País Vasco,País Vasco,Vitoria-Gasteiz/Álava,Vitoria-Gasteiz/Áraba,Vitoria-Gasteiz/País Vasco,Vitoria-Gasteiz/País Vasco,Vitoria-Gasteiz/Álava,Vitoria-Gasteiz/Áraba,Vitoria-Gasteiz/País Vasco,Vitoria-Gasteiz/País Vasco,Álava/País Vasco,Álava/País Vasco,Áraba/País Vasco,Áraba/País Vasco
01004,Vitoria-Gasteiz,Vitoria-Gasteiz,Álava,Áraba,País Vasco,País Vasco,Vitoria-Gasteiz/Álava,Vitoria-Gasteiz/Áraba,Vitoria-Gasteiz/País Vasco,Vitoria-Gasteiz/País Vasco,Vitoria-Gasteiz/Álava,Vitoria-Gasteiz/Áraba,Vitoria-Gasteiz/País Vasco,Vitoria-Gasteiz/País Vasco,Álava/País Vasco,Álava/País Vasco,Áraba/País Vasco,Áraba/País Vasco
01005,Vitoria-Gasteiz,Vitoria-Gasteiz,Álava,Áraba,País Vasco,País Vasco,Vitoria-Gasteiz/Álava,Vitoria-Gasteiz/Áraba,Vitoria-Gasteiz/País Vasco,Vitoria-Gasteiz/País Vasco,Vitoria-Gasteiz/Álava,Vitoria-Gasteiz/Áraba,Vitoria-Gasteiz/País Vasco,Vitoria-Gasteiz/País Vasco,Álava/País Vasco,Álava/País Vasco,Áraba/País Vasco,Áraba/País Vasco
01006,Vitoria-Gasteiz,Vitoria-Gasteiz,Álava,Áraba,País Vasco,País Vasco,Vitoria-Gasteiz/Álava,Vitoria-Gasteiz/Áraba,Vitoria-Gasteiz/País Vasco,Vitoria-Gasteiz/País Vasco,Vitoria-Gasteiz/Álava,Vitoria-Gasteiz/Áraba,Vitoria-Gasteiz/País Vasco,Vitoria-Gasteiz/País Vasco,Álava/País Vasco,Álava/País Vasco,Áraba/País Vasco,Áraba/País Vasco
01007,Vitoria-Gasteiz,Vitoria-Gasteiz,Álava,Áraba,País Vasco,País Vasco,Vitoria-Gasteiz/Álava,Vitoria-Gasteiz/Áraba,Vitoria-Gasteiz/País Vasco,Vitoria-Gasteiz/País Vasco,Vitoria-Gasteiz/Álava,Vitoria-Gasteiz/Áraba,Vitoria-Gasteiz/País Vasco,Vitoria-Gasteiz/País Vasco,Álava/País Vasco,Álava/País Vasco,Áraba/País Vasco,Áraba/País Vasco
01008,Vitoria-Gasteiz,Vitoria-Gasteiz,Álava,Áraba,País Vasco,País Vasco,Vitoria-Gasteiz/Álava,Vitoria-Gasteiz/Áraba,Vitoria-Gasteiz/País Vasco,Vitoria-Gasteiz/País Vasco,Vitoria-Gasteiz/Álava,Vitoria-Gasteiz/Áraba,Vitoria-Gasteiz/País Vasco,Vitoria-Gasteiz/País Vasco,Álava/País Vasco,Álava/País Vasco,Áraba/País Vasco,Áraba/País Vasco
01009,Vitoria-Gasteiz,Vitoria-Gasteiz,Álava,Áraba,País Vasco,País Vasco,Vitoria-Gasteiz/Álava,Vitoria-Gasteiz/Áraba,Vitoria-Gasteiz/País Vasco,Vitoria-Gasteiz/País Vasco,Vitoria-Gasteiz/Álava,Vitoria-Gasteiz/Áraba,Vitoria-Gasteiz/País Vasco,Vitoria-Gasteiz/País Vasco,Álava/País Vasco,Álava/País Vasco,Áraba/País Vasco,Áraba/País Vasco
01010,Vitoria-Gasteiz,Vitoria-Gasteiz,Álava,Áraba,País Vasco,País Vasco,Vitoria-Gasteiz/Álava,Vitoria-Gasteiz/Áraba,Vitoria-Gasteiz/País Vasco,Vitoria-Gasteiz/País Vasco,Vitoria-Gasteiz/Álava,Vitoria-Gasteiz/Áraba,Vitoria-Gasteiz/País Vasco,Vitoria-Gasteiz/País Vasco,Álava/País Vasco,Álava/País Vasco,Áraba/País Vasco,Áraba/País Vasco
