,ine_code,postal_code,cities_es,cities,province_es,province,ccaa_es,ccaa,cities_es/province_es,cities_es/province,cities_es/ccaa_es,cities_es/ccaa,cities/province_es,province_es/ccaa_es,province_es/ccaa,province/ccaa_es,province/ccaa
0,01001,01240,alegria_dulantzi,alegria_dulantzi,alava,araba,pais_vasco,pais_vasco,alegria_dulantzi,alegria_dulantzi,alegria_dulantzi,alegria_dulantzi,alegria_dulantzi,alava,alava,araba,araba
1,01001,01193,alegria_dulantzi,alegria_dulantzi,alava,araba,pais_vasco,pais_vasco,alegria_dulantzi,alegria_dulantzi,alegria_dulantzi,alegria_dulantzi,alegria_dulantzi,alava,alava,araba,araba
2,01002,01450,amurrio,amurrio,alava,araba,pais_vasco,pais_vasco,amurrio,amurrio,amurrio,amurrio,amurrio,alava,alava,araba,araba
3,01002,01468,amurrio,amurrio,alava,araba,pais_vasco,pais_vasco,amurrio,amurrio,amurrio,amurrio,amurrio,alava,alava,araba,araba
4,01002,01470,amurrio,amurrio,alava,araba,pais_vasco,pais_vasco,amurrio,amurrio,amurrio,amurrio,amurrio,alava,alava,araba,araba
5,01003,01160,aramaio,aramaio,alava,araba,pais_vasco,pais_vasco,aramaio,aramaio,aramaio,aramaio,aramaio,alava,alava,araba,araba
6,01003,01165,aramaio,aramaio,alava,araba,pais_vasco,pais_vasco,aramaio,aramaio,aramaio,aramaio,aramaio,alava,alava,araba,araba
7,01003,01169,aramaio,aramaio,alava,araba,pais_vasco,pais_vasco,aramaio,aramaio,aramaio,aramaio,aramaio,alava,alava,araba,araba
8,01004,01474,artziniega,artziniega,alava,araba,pais_vasco,pais_vasco,artziniega,artziniega,artziniega,artziniega,artziniega,alava,alava,araba,araba
9,01004,01478,artziniega,artziniega,alava,araba,pais_vasco,pais_vasco,artziniega,artziniega,artziniega,artziniega,artziniega,alava,alava,araba,araba
10,01006,01211,arminon,arminon,alava,araba,pais_vasco,pais_vasco,arminon,arminon,arminon,arminon,arminon,alava,alava,araba,araba
11,01006,01220,arminon,arminon,alava,araba,pais_vasco,pais_vasco,arminon,arminon,arminon,arminon,arminon,alava,alava,araba,araba
12,01008,01510,arratzua_ubarrundia,arratzua_ubarrundia,alava,araba,pais_vasco,pais_vasco,arratzua_ubarrundia,arratzua_ubarrundia,arratzua_ubarrundia,arratzua_ubarrundia,arratzua_ubarrundia,alava,alava,araba,araba
13,01008,01520,arratzua_ubarrundia,arratzua_ubarrundia,alava,araba,pais_vasco,pais_vasco,arratzua_ubarrundia,arratzua_ubarrundia,arratzua_ubarrundia,arratzua_ubarrundia,arratzua_ubarrundia,alava,alava,araba,araba
14,01009,01250,asparrena,asparrena,alava,araba,pais_vasco,pais_vasco,asparrena,asparrena,asparrena,asparrena,asparrena,alava,alava,araba,araba
15,01009,01260,asparrena,asparrena,alava,araba,pais_vasco,pais_vasco,asparrena,asparrena,asparrena,asparrena,asparrena,alava,alava,araba,araba
16,01009,01208,asparrena,asparrena,alava,araba,pais_vasco,pais_vasco,asparrena,asparrena,asparrena,asparrena,asparrena,alava,alava,araba,araba
17,01010,01408,ayala,aiara,alava,araba,pais_vasco,pais_vasco,ayala,ayala,ayala,ayala,aiara,alava,alava,araba,araba
18,01010,01470,amurrio,amurrio,alava,araba,pais_vasco,pais_vasco,amurrio,amurrio,amurrio,amurrio,amurrio,alava,alava,araba,araba
19,01010,01476,ayala,aiara,alava,araba,pais_vasco,pais_vasco,ayala,ayala,ayala,ayala,aiara,alava,alava,araba,araba
20,01010,01477,ayala,aiara,alava,araba,pais_vasco,pais_vasco,ayala,ayala,ayala,ayala,aiara,alava,alava,araba,araba
21,01010,01478,artziniega,artziniega,alava,araba,pais_vasco,pais_vasco,artziniega,artziniega,artziniega,artziniega,artziniega,alava,alava,araba,araba
22,01010,01479,ayala,aiara,alava,araba,pais_vasco,pais_vasco,ayala,ayala,ayala,ayala,aiara,alava,alava,araba,araba
