,MUNI_DEF,CCAA,PROVINCIA,MUNICIPIO,CP_AT
0,4,castilla_la_mancha,albacete,albacete,02003
1,58,castilla_la_mancha,albacete,alcaladel_jucar,02007
2,59,castilla_la_mancha,albacete,alcaraz,02008
3,60,castilla_la_mancha,albacete,almansa,02009
4,61,castilla_la_mancha,albacete,alpera,02010
5,63,castilla_la_mancha,albacete,balazote,02012
6,66,castilla_la_mancha,albacete,barrax,02015
7,69,castilla_la_mancha,albacete,bonete,02018
8,70,castilla_la_mancha,albacete,el_bonillo,02019
9,72,castilla_la_mancha,albacete,casasde_juan_nunez,02021
10,75,castilla_la_mancha,albacete,casas_ibanez,02024
11,76,castilla_la_mancha,albacete,caudete,02025
12,77,castilla_la_mancha,albacete,cenizate,02026
13,80,castilla_la_mancha,albacete,chinchillade_monte_aragon,02029
14,81,castilla_la_mancha,albacete,elchedela_sierra,02030
15,84,castilla_la_mancha,albacete,fuente_alamo,02033
16,85,castilla_la_mancha,albacete,fuentealbilla,02034
17,86,castilla_la_mancha,albacete,la_gineta,02035
18,88,castilla_la_mancha,albacete,hellin,02037
19,90,castilla_la_mancha,albacete,higueruela,02039
20,93,castilla_la_mancha,albacete,letur,02042
21,94,castilla_la_mancha,albacete,lezuza,02043
22,95,castilla_la_mancha,albacete,lietor,02044
23,96,castilla_la_mancha,albacete,madrigueras,02045
24,97,castilla_la_mancha,albacete,mahora,02046
25,99,castilla_la_mancha,albacete,minaya,02048
26,102,castilla_la_mancha,albacete,montealegredel_castillo,02051
27,104,castilla_la_mancha,albacete,munera,02053
28,106,castilla_la_mancha,albacete,nerpio,02055
29,107,castilla_la_mancha,albacete,ontur,02056
30,108,castilla_la_mancha,albacete,ossade_montiel,02057
31,111,castilla_la_mancha,albacete,penasde_san_pedro,02060
32,114,castilla_la_mancha,albacete,pozohondo,02063
33,118,castilla_la_mancha,albacete,riopar,02067
34,120,castilla_la_mancha,albacete,la_roda,02069
35,122,castilla_la_mancha,albacete,san_pedro,02071
36,123,castilla_la_mancha,albacete,socovos,02072
37,124,castilla_la_mancha,albacete,tarazonadela_mancha,02073
38,125,castilla_la_mancha,albacete,tobarra,02074
39,126,castilla_la_mancha,albacete,valdeganga,02075
40,129,castilla_la_mancha,albacete,villalgordodel_jucar,02078
41,130,castilla_la_mancha,albacete,villamalea,02079
42,132,castilla_la_mancha,albacete,villarrobledo,02081
43,137,castilla_la_mancha,albacete,yeste,02086
44,138,castilla_la_mancha,albacete,pozo_canada,02901
45,140,comunitat_valenciana,alicante,agost,03002
46,143,comunitat_valenciana,alicante,albatera,03005
47,144,comunitat_valenciana,alicante,alcalali,03006
48,147,comunitat_valenciana,alicante,alcoy,03009
49,149,comunitat_valenciana,alicante,l_alfasdel_pi,03011
50,150,comunitat_valenciana,alicante,algorfa,03012
51,151,comunitat_valenciana,alicante,alguena,03013
52,152,comunitat_valenciana,alicante,alicante,03014
53,153,comunitat_valenciana,alicante,almoradi,03015
54,156,comunitat_valenciana,alicante,altea,03018
55,157,comunitat_valenciana,alicante,aspe,03019
56,159,comunitat_valenciana,alicante,banyeresde_mariola,03021
57,161,comunitat_valenciana,alicante,beneixama,03023
58,162,comunitat_valenciana,alicante,benejuzar,03024
59,163,comunitat_valenciana,alicante,benferri,03025
60,164,comunitat_valenciana,alicante,beniarbeig,03026
61,166,comunitat_valenciana,alicante,beniarres,03028
62,168,comunitat_valenciana,alicante,benidoleig,03030
63,169,comunitat_valenciana,alicante,benidorm,03031
64,172,comunitat_valenciana,alicante,benijofar,03034
65,179,comunitat_valenciana,alicante,benissa,03041
66,180,comunitat_valenciana,alicante,el_binitachell,03042
67,181,comunitat_valenciana,alicante,biar,03043
68,182,comunitat_valenciana,alicante,bigastro,03044
69,184,comunitat_valenciana,alicante,busot,03046
70,185,comunitat_valenciana,alicante,calp,03047
71,186,comunitat_valenciana,alicante,callosaen_sarria,03048
72,187,comunitat_valenciana,alicante,callosade_segura,03049
73,188,comunitat_valenciana,alicante,el_campello,03050
74,190,comunitat_valenciana,alicante,canada,03052
75,191,comunitat_valenciana,alicante,castalla,03053
76,193,comunitat_valenciana,alicante,catral,03055
77,194,comunitat_valenciana,alicante,cocentaina,03056
78,196,comunitat_valenciana,alicante,cox,03058
79,197,comunitat_valenciana,alicante,crevillent,03059
80,199,comunitat_valenciana,alicante,daya_nueva,03061
81,201,comunitat_valenciana,alicante,denia,03063
82,202,comunitat_valenciana,alicante,dolores,03064
83,203,comunitat_valenciana,alicante,elche,03065
84,204,comunitat_valenciana,alicante,elda,03066
85,207,comunitat_valenciana,alicante,finestrat,03069
86,208,comunitat_valenciana,alicante,formenteradel_segura,03070
87,209,comunitat_valenciana,alicante,gatade_gorgos,03071
88,212,comunitat_valenciana,alicante,granjade_rocamora,03074
89,214,comunitat_valenciana,alicante,guardamardel_segura,03076
90,215,comunitat_valenciana,alicante,el_fondodeles_neus,03077
91,216,comunitat_valenciana,alicante,hondondelos_frailes,03078
92,217,comunitat_valenciana,alicante,ibi,03079
93,218,comunitat_valenciana,alicante,jacarilla,03080
94,219,comunitat_valenciana,alicante,xalo,03081
95,220,comunitat_valenciana,alicante,javea,03082
96,221,comunitat_valenciana,alicante,jijona,03083
97,223,comunitat_valenciana,alicante,lliber,03085
98,225,comunitat_valenciana,alicante,monfortedel_cid,03088
99,226,comunitat_valenciana,alicante,monovar,03089
100,227,comunitat_valenciana,alicante,mutxamel,03090
101,229,comunitat_valenciana,alicante,murode_alcoy,03092
102,230,comunitat_valenciana,alicante,novelda,03093
103,231,comunitat_valenciana,alicante,la_nucia,03094
104,232,comunitat_valenciana,alicante,ondara,03095
105,233,comunitat_valenciana,alicante,onil,03096
106,234,comunitat_valenciana,alicante,orba,03097
107,236,comunitat_valenciana,alicante,orihuela,03099
108,237,comunitat_valenciana,alicante,parcent,03100
109,238,comunitat_valenciana,alicante,pedreguer,03101
110,239,comunitat_valenciana,alicante,pego,03102
111,241,comunitat_valenciana,alicante,petrer,03104
112,242,comunitat_valenciana,alicante,el_pinos,03105
113,244,comunitat_valenciana,alicante,polop,03107
114,245,comunitat_valenciana,alicante,rafal,03109
115,247,comunitat_valenciana,alicante,redovan,03111
116,248,comunitat_valenciana,alicante,relleu,03112
117,249,comunitat_valenciana,alicante,rojales,03113
118,250,comunitat_valenciana,alicante,la_romana,03114
119,252,comunitat_valenciana,alicante,salinas,03116
120,254,comunitat_valenciana,alicante,san_fulgencio,03118
121,255,comunitat_valenciana,alicante,sant_joan_alacant,03119
122,256,comunitat_valenciana,alicante,san_miguelde_salinas,03120
123,257,comunitat_valenciana,alicante,santa_pola,03121
124,258,comunitat_valenciana,alicante,san_vicentedel_raspeig,03122
125,259,comunitat_valenciana,alicante,sax,03123
126,263,comunitat_valenciana,alicante,teulada,03128
127,264,comunitat_valenciana,alicante,tibi,03129
128,268,comunitat_valenciana,alicante,torrevieja,03133
129,273,comunitat_valenciana,alicante,el_verger,03138
130,274,comunitat_valenciana,alicante,la_villajoyosa,03139
131,275,comunitat_valenciana,alicante,villena,03140
132,276,comunitat_valenciana,alicante,els_poblets,03901
133,277,comunitat_valenciana,alicante,pilardela_horadada,03902
134,278,comunitat_valenciana,alicante,los_montesinos,03903
135,279,comunitat_valenciana,alicante,san_isidro,03904
136,280,andalucia,almeria,abla,04001
137,281,andalucia,almeria,abrucena,04002
138,282,andalucia,almeria,adra,04003
139,285,andalucia,almeria,albox,04006
140,290,andalucia,almeria,alhamade_almeria,04011
141,292,andalucia,almeria,almeria,04013
142,295,andalucia,almeria,antas,04016
143,296,andalucia,almeria,arboleas,04017
144,303,andalucia,almeria,benahadux,04024
145,307,andalucia,almeria,berja,04029
146,308,andalucia,almeria,canjayar,04030
147,309,andalucia,almeria,cantoria,04031
148,310,andalucia,almeria,carboneras,04032
149,313,andalucia,almeria,cuevasdel_almanzora,04035
150,315,andalucia,almeria,chirivel,04037
151,316,andalucia,almeria,dalias,04038
152,319,andalucia,almeria,fines,04044
153,320,andalucia,almeria,finana,04045
154,322,andalucia,almeria,gador,04047
155,323,andalucia,almeria,los_gallardos,04048
156,324,andalucia,almeria,garrucha,04049
157,325,andalucia,almeria,gergal,04050
158,327,andalucia,almeria,huercalde_almeria,04052
159,328,andalucia,almeria,huercal_overa,04053
160,332,andalucia,almeria,laujarde_andarax,04057
161,334,andalucia,almeria,lubrin,04059
162,337,andalucia,almeria,macael,04062
163,338,andalucia,almeria,maria,04063
164,339,andalucia,almeria,mojacar,04064
165,341,andalucia,almeria,nijar,04066
166,344,andalucia,almeria,oluladel_rio,04069
167,345,andalucia,almeria,oria,04070
168,349,andalucia,almeria,pechina,04074
169,350,andalucia,almeria,pulpi,04075
170,351,andalucia,almeria,purchena,04076
171,353,andalucia,almeria,rioja,04078
172,354,andalucia,almeria,roquetasde_mar,04079
173,358,andalucia,almeria,seron,04083
174,361,andalucia,almeria,sorbas,04086
175,363,andalucia,almeria,tabernas,04088
176,364,andalucia,almeria,taberno,04089
177,367,andalucia,almeria,tijola,04092
178,368,andalucia,almeria,turre,04093
179,373,andalucia,almeria,velez_blanco,04098
180,374,andalucia,almeria,velez_rubio,04099
181,375,andalucia,almeria,vera,04100
182,376,andalucia,almeria,viator,04101
183,377,andalucia,almeria,vicar,04102
184,378,andalucia,almeria,zurgena,04103
185,380,andalucia,almeria,el_ejido,04902
186,381,andalucia,almeria,la_mojonera,04903
187,383,castillay_leon,avila,la_adrada,05002
188,389,castillay_leon,avila,el_arenal,05013
189,390,castillay_leon,avila,arenasde_san_pedro,05014
190,392,castillay_leon,avila,arevalo,05016
191,395,castillay_leon,avila,avila,05019
192,396,castillay_leon,avila,el_barcode_avila,05021
193,397,castillay_leon,avila,el_barraco,05022
194,413,castillay_leon,avila,burgohondo,05041
195,419,castillay_leon,avila,candeleda,05047
196,425,castillay_leon,avila,casavieja,05054
197,428,castillay_leon,avila,cebreros,05057
198,469,castillay_leon,avila,el_hoyode_pinares,05102
199,480,castillay_leon,avila,madrigaldelas_altas_torres,05114
200,498,castillay_leon,avila,mombeltran,05132
201,526,castillay_leon,avila,navaluenga,05163
202,531,castillay_leon,avila,las_navasdel_marques,05168
203,549,castillay_leon,avila,piedrahita,05186
204,550,castillay_leon,avila,piedralaves,05187
205,600,castillay_leon,avila,sotillodela_adrada,05240
206,601,castillay_leon,avila,el_tiemble,05241
207,631,extremadura,badajoz,aceuchal,06002
208,633,extremadura,badajoz,alange,06004
209,634,extremadura,badajoz,la_albuera,06005
210,635,extremadura,badajoz,alburquerque,06006
211,636,extremadura,badajoz,alconchel,06007
212,639,extremadura,badajoz,almendral,06010
213,640,extremadura,badajoz,almendralejo,06011
214,641,extremadura,badajoz,arroyode_san_servan,06012
215,643,extremadura,badajoz,azuaga,06014
216,644,extremadura,badajoz,badajoz,06015
217,645,extremadura,badajoz,barcarrota,06016
218,648,extremadura,badajoz,berlanga,06019
219,649,extremadura,badajoz,bienvenida,06020
220,650,extremadura,badajoz,bodonaldela_sierra,06021
221,651,extremadura,badajoz,burguillosdel_cerro,06022
222,652,extremadura,badajoz,cabezadel_buey,06023
223,653,extremadura,badajoz,cabezala_vaca,06024
224,654,extremadura,badajoz,calamonte,06025
225,655,extremadura,badajoz,calerade_leon,06026
226,657,extremadura,badajoz,campanario,06028
227,658,extremadura,badajoz,campillode_llerena,06029
228,662,extremadura,badajoz,casasde_don_pedro,06033
