,comunidad,provincia,población,latitud,longitud,altitud,distanica_km,cuidad_mas_cercana
0,andalucia,almeria,abla,37.14114,-2.780104,871.1684,46.876722679287774,El_Ejido
1,andalucia,almeria,abrucena,37.13305,-2.797098,976.9387,45.944207235718345,El_Ejido
2,andalucia,almeria,adra,36.74807,-3.022522,10.97898,20.08023980724219,El_Ejido
3,andalucia,almeria,albanchez,37.2871,-2.181163,481.3123,68.67851700603205,Lorca
4,andalucia,almeria,alboloduy,37.033190000000005,-2.62175,388.4346,38.276483609717175,El_Ejido
5,andalucia,almeria,albox,37.389790000000005,-2.1474830000000003,426.4268,64.32151696042516,Lorca
6,andalucia,almeria,alcolea,36.97449,-2.9610380000000003,744.6956,31.72921342632949,El_Ejido
7,andalucia,almeria,alcontar,37.33585,-2.5969439999999997,955.1331,70.83424424721058,El_Ejido
8,andalucia,almeria,alcudia_de_monteagud,37.23598,-2.2661740000000004,1018.3539999999999,74.45722860165128,El_Ejido
9,andalucia,almeria,alhabia,36.9893,-2.5876669999999997,288.056,35.417305749890986,El_Ejido
10,andalucia,almeria,alhama_de_almeria,36.95742,-2.570075,523.1963,33.41149686483217,El_Ejido
11,andalucia,almeria,alicun,36.9663,-2.601994,420.4872,32.575955196672126,El_Ejido
12,andalucia,almeria,almeria,36.84016,-2.467922,27.00703,32.46323715221067,El_Ejido
13,andalucia,almeria,almocita,37.002359999999996,-2.7900709999999997,831.1343,31.41928338711723,El_Ejido
14,andalucia,almeria,alsodux,37.001999999999995,-2.594579,312.0394,36.30537625586997,El_Ejido
15,andalucia,almeria,antas,37.24516,-1.917543,107.2613,47.67340615530983,Lorca
16,andalucia,almeria,arboleas,37.35025,-2.074867,288.0828,58.2612760772015,Lorca
17,andalucia,almeria,armuna_de_almanzora,37.34969,-2.411396,625.5285,78.078066272752,El_Ejido
18,andalucia,almeria,bacares,37.26083,-2.454761,1202.631,67.52450081485699,El_Ejido
19,andalucia,almeria,bayarcal,37.03116,-2.996469,1271.1660000000002,32.578154164713396,Granada
20,andalucia,almeria,bayarque,37.330909999999996,-2.43566,816.2208,75.26064240527822,El_Ejido
21,andalucia,almeria,bedar,37.189640000000004,-1.981898,391.56,55.430507251665496,Lorca
22,andalucia,almeria,beires,37.012,-2.790928,919.2347,32.489142880222374,El_Ejido
23,andalucia,almeria,benahadux,36.92587,-2.455683,113.9746,38.26534299266512,El_Ejido
24,andalucia,almeria,benitagla,37.23124,-2.239107,945.0856,75.133465751147,Lorca
25,andalucia,almeria,benizalon,37.21175,-2.241685,933.7475,73.84946323828858,El_Ejido
