INDICATIVO	NOMBRE	PROVINCIA	MUNICIPIO	ALTITUD	LONGITUD	LATITUD	n_llu_m01	n_llu_m02	n_llu_m03	n_llu_m04	n_llu_m05	n_llu_m06	n_llu_m07	n_llu_m08	n_llu_m09	n_llu_m10	n_llu_m11	n_llu_m12	n_llu_anual	n_nub_m01	n_nub_m02	n_nub_m03	n_nub_m04	n_nub_m05	n_nub_m06	n_nub_m07	n_nub_m08	n_nub_m09	n_nub_m10	n_nub_m11	n_nub_m12	n_nub_anual	n_nie_m01	n_nie_m02	n_nie_m03	n_nie_m04	n_nie_m05	n_nie_m06	n_nie_m07	n_nie_m08	n_nie_m09	n_nie_m10	n_nie_m11	n_nie_m12	n_nie_anual	n_gra_m01	n_gra_m02	n_gra_m03	n_gra_m04	n_gra_m05	n_gra_m06	n_gra_m07	n_gra_m08	n_gra_m09	n_gra_m10	n_gra_m11	n_gra_m12	n_gra_anual	n_fog_m01	n_fog_m02	n_fog_m03	n_fog_m04	n_fog_m05	n_fog_m06	n_fog_m07	n_fog_m08	n_fog_m09	n_fog_m10	n_fog_m11	n_fog_m12	n_fog_anual	n_des_m01	n_des_m02	n_des_m03	n_des_m04	n_des_m05	n_des_m06	n_des_m07	n_des_m08	n_des_m09	n_des_m10	n_des_m11	n_des_m12	n_des_anual	n_cub_m01	n_cub_m02	n_cub_m03	n_cub_m04	n_cub_m05	n_cub_m06	n_cub_m07	n_cub_m08	n_cub_m09	n_cub_m10	n_cub_m11	n_cub_m12	n_cub_anual	n_tor_m01	n_tor_m02	n_tor_m03	n_tor_m04	n_tor_m05	n_tor_m06	n_tor_m07	n_tor_m08	n_tor_m09	n_tor_m10	n_tor_m11	n_tor_m12	n_tor_anual	nt_00_m01	nt_00_m02	nt_00_m03	nt_00_m04	nt_00_m05	nt_00_m06	nt_00_m07	nt_00_m08	nt_00_m09	nt_00_m10	nt_00_m11	nt_00_m12	nt_00_anual	nt_30_m01	nt_30_m02	nt_30_m03	nt_30_m04	nt_30_m05	nt_30_m06	nt_30_m07	nt_30_m08	nt_30_m09	nt_30_m10	nt_30_m11	nt_30_m12	nt_30_anual	nw_55_m01	nw_55_m02	nw_55_m03	nw_55_m04	nw_55_m05	nw_55_m06	nw_55_m07	nw_55_m08	nw_55_m09	nw_55_m10	nw_55_m11	nw_55_m12	nw_55_anual	nw_91_m01	nw_91_m02	nw_91_m03	nw_91_m04	nw_91_m05	nw_91_m06	nw_91_m07	nw_91_m08	nw_91_m09	nw_91_m10	nw_91_m11	nw_91_m12	nw_91_anual	ta_max_m01	ta_max_m02	ta_max_m03	ta_max_m04	ta_max_m05	ta_max_m06	ta_max_m07	ta_max_m08	ta_max_m09	ta_max_m10	ta_max_m11	ta_max_m12	ta_max_anual	ta_min_m01	ta_min_m02	ta_min_m03	ta_min_m04	ta_min_m05	ta_min_m06	ta_min_m07	ta_min_m08	ta_min_m09	ta_min_m10	ta_min_m11	ta_min_m12	ta_min_anual	w_med_m01	w_med_m02	w_med_m03	w_med_m04	w_med_m05	w_med_m06	w_med_m07	w_med_m08	w_med_m09	w_med_m10	w_med_m11	w_med_m12	w_med_anual
1387	A_CORUÑA	A_CORU—A	A_CORU—A	58	825172	432157	16	11	12	17	12	16	6	10	12	21	25	18	176														0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	6	0	0	2	1	1	0	8	1	1	1	1	0	16																											0	1	0	0	0	2	0	0	0	0	3	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	2	7		7					2	1	4	21			0		0					0	0	0	0			14.4(04)	24.2(26)	20.3(24)	22.5(14)	33.5(31)	26.5(01)	26.2(13)	30.3(23)	26.3(03)	23.2(27)	20.9(01)	19.5(24)	33.5(31/may)	3.3(04)	4.2(03)	5.8(16)	5.8(05)	9.0(20)	10.3(06)	14.0(31)	13.8(13)	12.9(28)	8.3(22)	8.0(14)	4.5(04)	3.3(04/ene)	14	11	14	14	15	12		13	14	10	19	14	
1387E	A_CORUÑA/ALVEDRO	A_CORU—A	CULLEREDO	98	822192	431825	14	6	10	16	9	13	8	11	13	22	28	21	171	14	17	14	17	16	21	28	24	16	22	16	13	218	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	2	0	2	0	0	0	0	2	0	9	17	5	5	6	5	10	7	7	5	9	3	5	84	9	7	12	5	6	1	1	3	9	0	0	7	60	8	4	5	8	9	8	2	4	5	9	14	11	87	0	0	0	0	0	0	1	1	0	0	1	0	3	12		0	0	0	0	0	0	0	0	0	2		0		0	0	1	0	0	2	0	0	0	0		5				4		1	2				10		0				0		0	0				1		14.2(01)		21.6(24)	22.3(14)	33.6(31)	26.0(01)	28.7(22)	32.3(23)	28.9(03)	23.2(07)	21.9(01)	19.2(29)		-3.3(06)		0.7(16)	2.5(12)	4.4(04)	6.3(14)	9.9(31)	9.1(13)	8.6(28)	2.9(22)	4.4(18)	-0.3(27)		12	13	15	15	14	12	13	13	14	11		15	
1428	SANTIAGO_DE_COMPOSTELA/LABACOLLA	A_CORU—A	O_PINO	370	824382	425317	16	11	12	19	10	19	10	8	15	20	29	20	189	11	16	8	17	14	15	22	20	13	15	10	14	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	6	6	9	10	5	12	15	13	8	14	12	9	119	9	6	14	2	9	2	4	4	9	2	0	5	66	11	6	9	11	8	13	5	7	8	14	20	12	124	0	1	1	2	0	0	2	1	2	1	0	1	11	3	2	0	0	0	0	0	0	0	0	0	2	7	0	0	0	0	2	0	3	2	1	0	0	0	8	1	3	3	5	2	1	1	2	1	1	10	8	38	0	0	0	0	0	0	0	0	0	0	0	1	1	15.5(01)	22.2(26)	23.0(24)	24.1(20)	32.6(31)	29.9(01)	32.1(22)	31.9(22)	31.1(03)	23.6(07)	16.9(01)	20.1(29)	32.6(31/may)	-3.1(05)	-2.1(03)	0.8(13)	0.2(04)	3.9(19)	4.5(14)	9.4(28)	8.9(12)	7.1(28)	3.3(22)	1.6(16)	0.0(04)	-3.1(05/ene)	9	10	11	12	12	11	11	11	11	10	15	12	11
8175	ALBACETE/LOS_LLANOS	ALBACETE	ALBACETE	702	151232	385715	8	1	6	14	4	1	3	2	8	6	14	8	75	15	16	18	15	24	15	12	10	21	19	25	18	208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	3	3	4	0	1	1	0	0	0	0	2	0	7	18	13	12	12	6	7	15	19	20	6	10	1	4	125	3	0	1	9	0	0	0	1	3	2	4	9	32	0	0	0	1	1	1	5	0	3	0	0	0	11	23	15	10	1	0	0	0	0	0	0	4	6	59	0	0	0	0	1	17	29	28	7	3	0	0	85	6	3			2	3								0	1			0	0								15.9(01)	21.5(28)	24.7(16)	25.8(15)	31.0(15)	38.2(29)	38.7(12)	38.2(06)	34.3(01)	32.9(01)	21.7(01)	17.8(24)	38.7(12/jul)	-8.6(11)	-3.2(05)	-3.0(22)	-0.2(11)	3.6(04)	6.6(12)	14.6(04)	12.8(27)	10.0(23)	2.6(21)	-1.9(19)	-2.5(31)	-8.6(11/ene)						16	16	12	14	12	20	16	
8178D	ALBACETE_OBS	ALBACETE	ALBACETE	676	151442	390020	7	1	4	15	6	1	2	2	9	8	13	10	78														0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	2	0	2	0	0	0	0	0	1	0	4	10																											0	0	0	1	2	1	2	1	4	0	0	0	11	20	5	3	0	0	0	0	0	0	0	0	4	32	0	0	0	0	1	18	29	28	9	3	0	0	88	2		1	3	1	0	0	0	1	0	3	5		0		0	0	0	0	0	0	0	0	0	0		16.9(01)	22.9(27)	26.1(16)	26.0(30)	31.6(15)	38.8(29)	38.9(12)	38.5(18)	34.7(01)	31.4(09)	22.3(01)	19.2(24)	38.9(12/jul)	-5.6(11)	-1.5(17)	-0.6(28)	2.5(04)	4.3(04)	8.1(12)	16.5(28)	13.6(27)	11.9(23)	5.3(21)	0.6(20)	-1.0(31)	-5.6(11/ene)	5	4	5	6	5	6	6	4	4	4	7	5	5
8025	ALICANTE	ALICANTE	ALICANTE/ALACANT	81	29392	382221	5	1	7	12	4	2	5	4	8	5	8	7	68														0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0																											0	0	0	4	0	0	1	4	2	1	0	2	14	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	6	27	23	4	1	0	0	63	0	2	0			0	0	0	3	0		2		0	0	0			0	0	0	0	0		0		21.9(25)	23.0(28)	29.2(17)	29.9(14)	31.3(10)	34.9(29)	36.6(27)	36.5(09)	32.8(25)	31.5(01)	28.7(01)	25.0(24)	36.6(27/jul)	0.0(12)	3.2(04)	5.4(28)	8.1(13)	10.4(04)	12.9(01)	19.2(03)	18.2(28)	15.9(11)	10.6(24)	6.1(20)	5.2(11)	0.0(12/ene)	7	7	8	9	9	9	9	8	8	6	9	7	8
8019	ALICANTE-ELCHE/AEROPUERTO	ALICANTE	ELCHE/ELX	43	34152	381658	5	1	4	10	4	2	1	5	10	5	7	7	61	14	8	17	14	19	15	13	16	19	17	21	15	188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	3	16	20	11	8	8	15	17	15	8	10	6	7	141	1	0	3	8	4	0	1	0	3	4	3	9	36	0	0	0	2	0	0	0	2	2	1	0	1	8	0	0			0		0		0	0	0	0		0	0			2		24		3	0	0	0		5	3			1		3			4		11		0	0			0		0			0		0		22.4(31)	24.0(28)			30.5(10)		36.5(27)		32.1(01)	29.8(01)	27.5(01)	22.4(22)		0.8(11)	3.5(05)			10.3(04)		19.4(03)		15.1(11)	9.3(24)	3.4(17)	6.0(19)		14	14			14	14	16		13	11	19	13	
6325O	ALMERÕA/AEROPUERTO	ALMERIA	ALMERÕA	21	221252	365047	2	1	4	10	1	2	1	0	3	2	3	6	35	17	13	15	17	16	12	8	9	18	17	13	23	178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	1	0	2	0	0	6	12	15	11	11	13	18	23	22	10	13	14	5	167	2	0	5	2	2	0	0	0	2	1	3	3	20	1	0	0	1	0	0	0	0	2	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	15	15	9	3	0	0	49	6	5	9	9	5	6	8		6		15	6		2	0	1	0	0	0	0		0		1	2		23.9(24)	20.9(24)	24.8(25)	26.8(28)	29.3(31)	38.8(29)	41.6(06)	34.5(23)	34.6(03)	31.1(02)	26.6(01)	24.7(24)	41.6(06/jul)	4.8(06)	6.1(10)	8.1(22)	7.7(06)	13.6(05)	15.7(15)	18.1(09)	20.8(12)	16.2(13)	11.0(23)	7.2(17)	7.0(26)	4.8(06/ene)	15	18	18	19	16	17	17	14	16	13		16	
9091O	FORONDA-TXOKIZA	ARABA/ALAVA	VITORIA-GASTEIZ	513	244062	425255	23	5	9	15	16	8	13	8	9	13	27	14	160	14	16	18	15	17	21	22	25	22	21	8	19	218	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	2	4	4	4	3	5	7	2	12	51	2	6	7	0	2	4	2	3	1	0	0	0	27	15	6	6	15	12	5	7	3	7	10	22	12	120	0	1	0	2	0	0	5	4	3	2	2	0	19	8	16	7	3	2	0	0	0	0	0	1	11	48	0	0	0	0	0	13	10	11	0	0	0	0	34	6	3	4		2	2	3		1			7		0	0	1		0	0	0		0			1		13.4(26)	22.6(27)	23.6(16)	22.3(15)	29.1(31)	39.7(29)	38.9(25)	34.7(24)	29.4(29)	27.6(13)	21.9(01)	17.3(21)	39.7(29/jun)	-7.7(06)	-3.0(23)	-2.9(22)	-3.5(13)	-1.6(06)	1.6(12)	7.1(31)	7.3(23)	3.6(09)	2.2(21)	-0.4(16)	-2.6(28)	-7.7(06/ene)	12	9	13	13	13	12	14	14	12		14	12	
1212E	ASTURIAS/AVILÉS	ASTURIAS	CASTRILL”N	127	602392	433401	17	6	12	17	9	19	13	16	15	19	24	19	186	10	18	18	17	18	12	20	15	18	19	10	12	187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	5	0	8	2	0	2	2	2	7	4	4	1	3	1	1	29	3	4	5	1	3	2	1	2	5	1	0	3	30	18	6	8	12	10	16	10	14	7	11	20	16	148	0	1	0	3	0	0	4	1	0	0	4	0	13	4		0	0	0			0	0		0	0		0		0	0	0			1	0		0	0				7					1	1		19	12				1					0	0		5	2		15.2(31)		25.3(03)	21.0(14)	28.7(31)			33.0(23)	26.8(29)		24.2(01)	19.2(24)		-1.4(04)		2.4(28)	3.8(04)	4.1(06)			12.2(13)	9.6(07)		3.9(19)	1.6(04)		16		15	14	15			10	13	12		16	
