,n_llu_anual,n_nub_anual,n_nie_anual,n_gra_anual,n_fog_anual,n_des_anual,n_cub_anual,n_tor_anual,nt_00_anual,nt_30_anual,nw_55_anual,nw_91_anual,w_med_anual,ta_max_anual,ta_min_anual,PROVINCIA
0,353.5,305.5,0.0,12.5,151.5,93.0,149.0,11.5,4.772727272727273,5.272727272727273,26.9,0.7,25.68181818181818,33.5(31/may),3.3(04/ene),coruna
1,76.5,104.0,0.0,2.0,14.0,62.5,16.0,11.0,45.5,86.5,2.4772727272727275,0.125,10.071428571428571,38.7(12/jul),-8.6(11/ene),albacete
2,64.5,94.0,0.0,0.5,1.5,70.5,18.0,11.0,0.5,33.3125,2.638888888888889,0.0,11.11111111111111,36.6(27/jul),0.0(12/ene),alicante
3,35.0,178.0,0.0,0.0,6.0,167.0,20.0,4.0,0.0,49.0,7.5,0.6,16.272727272727273,41.6(06/jul),4.8(06/ene),almeria
4,160.0,218.0,2.0,0.0,51.0,27.0,120.0,19.0,48.0,34.0,3.5,0.25,12.545454545454545,39.7(29/jun),-7.7(06/ene),araba
5,387.5,153.5,0.5,13.5,52.5,20.3125,98.6875,31.5,3.25,1.5625,20.0,1.8,10.770833333333334,,,asturias
6,85.0,0.0,10.0,2.0,9.0,0.0,0.0,7.0,58.0,42.0,2.5454545454545454,0.0,11.0,36.9(29/jun),-6.4(11/ene),avila
7,68.0,182.0,0.0,0.0,35.0,134.0,49.0,5.0,18.0,118.0,17.0,0.0,10.0,40.2(11/jul),-3.7(07/ene),badajoz
8,155.0,488.0,0.09090909090909091,1.1818181818181819,21.272727272727273,159.5,82.5,30.18181818181818,4.0,106.5,35.4,0.3,41.22727272727273,34.4(08/jul),0.4(12/ene),baleares
9,90.0,221.0,0.0,3.0,19.0,91.5,52.5,20.5,0.5,34.0,28.5,0.5,16.0,37.7(28/jun),-0.7(11/ene),barcelona
10,184.0,171.0,2.0,5.0,19.0,39.0,155.0,19.0,4.0,18.0,3.4444444444444446,0.3333333333333333,12.0,40.7(27/jun),-2.3(05/ene),bizkaia
11,141.0,196.0,17.0,4.0,22.0,73.0,96.0,21.0,81.0,36.0,3.5,0.0,17.0,38.8(27/jun),-9.5(04/feb),burgos
12,86.0,0.0,0.0,1.0,10.0,0.0,0.0,1.0,12.0,98.0,23.0,1.0,11.0,40.3(22/jul),-2.6(04/feb),caceres
13,125.0,384.0,0.0,0.0,68.58333333333333,285.0,61.0,8.0,1.1111111111111112,54.05555555555556,48.016666666666666,0.0,47.45357142857143,,,cadiz
14,194.0,195.0,0.5,4.5,6.5,38.0,132.0,20.5,1.5,4.0,5.636363636363637,0.7272727272727273,7.409090909090909,34.8(08/ago),3.6(05/ene),cantabria
15,48.0,0.0,0.0,3.0,1.0,0.0,0.0,9.0,0.0,65.0,17.0,0.0,9.0,38.8(29/jun),3.0(11/ene),castellon
16,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,4.444444444444445,0.0,11.272727272727273,36.4(08/ago),7.9(03/feb),ceuta
17,91.0,0.0,0.0,5.0,19.0,0.0,0.0,12.0,29.0,105.0,0.9,0.0,8.0,42.7(28/jun),-4.4(12/ene),ciudad_real
18,65.0,120.0,0.0,1.0,8.0,12.375,3.25,7.0,1.6,11.4,1.0,0.0,9.88888888888889,0,0,cordoba
19,96.0,186.0,1.0,8.0,1.0,0.0,0.0,6.0,52.0,78.0,0.8181818181818182,0.0,7.0,39.2(29/jun),-5.8(11/ene),cuenca
20,194.5,81.5,0.5,4.5,46.0,25.318181818181817,72.0,23.0,2.0,7.5,6.2272727272727275,0.7373737373737373,13.0,39.8(23/jul),-2.2(05/ene),gipuzkoa
21,102.0,132.0,0.0,0.0,34.0,9.375,4.375,16.0,4.0,5.428571428571429,0.0,0.0,10.5,0,0,girona
22,62.0,176.5,0.0,0.5,9.0,153.5,35.0,8.0,57.0,113.5,0.8045454545454545,0.0,9.803030303030305,42.6(28/jun),-6.9(12/ene),granada
23,116.0,0.0,17.0,7.0,20.0,0.0,0.0,25.0,112.0,52.0,0.9,0.0,7.0,37.8(29/jun),-11.3(11/ene),guadalajara
24,5.454545454545454,0.0,0.0,0.09090909090909091,1.9090909090909092,0.0,0.0,0.45454545454545453,0.0,86.0,19.0,0.0,13.0,37.2(17/ago),0.4(07/ene),huelva
25,99.0,0.0,0.0,1.0,27.0,0.0,0.0,24.0,29.0,64.0,0.75,0.0,9.0,41.2(29/jun),-5.8(03/ene),huesca
26,4.7,0.0,0.1,0.2,0.3,0.0,0.0,0.9,3.0,97.0,2.0,0.0,9.222222222222221,40.6(22/jul),-1.4(11/ene),jaen
27,126.0,232.0,2.0,0.0,14.0,69.0,64.0,16.0,17.0,60.0,1.2857142857142858,0.0,10.636363636363637,42.2(29/jun),-2.5(16/ene),la_rioja
28,89.0,547.5,0.0,0.0,0.0,106.77272727272728,18.40909090909091,3.5,0.0,2.5757575757575757,17.583333333333332,0.0,49.09285714285714,,,las_palmas
29,123.5,107.0,5.0,2.0,28.5,39.5,36.0,13.0,62.0,42.0,1.9797979797979797,0.0,9.5,35.7(28/jun),-5.3(11/ene),leon
30,93.0,92.0,0.0,1.0,30.0,14.142857142857142,3.142857142857143,15.0,26.0,91.0,1.1666666666666667,0.0,9.0,43.4(29/jun),-4.8(11/ene),lleida
31,200.0,0.0,2.0,6.0,93.0,0.0,0.0,14.0,41.0,10.0,1.2,0.0,7.7272727272727275,34.8(23/ago),-7.2(06/ene),lugo
32,465.5,1189.0,34.0,14.5,114.0,536.7272727272727,291.45454545454544,73.0,224.0,449.5,28.495454545454542,1.7736111111111112,38.0,37.0(28/jun),-2.5(11/ene),madrid
33,42.0,206.0,0.0,0.0,3.0,132.0,27.0,2.0,0.0,6.090909090909091,2.625,0.0,15.454545454545455,0,0,malaga
34,56.0,217.0,0.0,2.0,3.0,7.454545454545454,3.272727272727273,7.0,0.0,25.0,3.5,0.5,12.0,34.9(08/ago),6.1(06/ene),melilla
35,97.0,319.0,0.0,1.0,4.0,184.5,44.0,14.5,11.0,191.0,9.136363636363637,0.0,4.5,42.6(09/ago),-1.4(12/ene),murcia
36,78.3,100.5,2.15,1.05,9.15,28.0,54.0,14.9,2.545454545454546,4.136363636363637,2.5714285714285716,0.14285714285714285,6.5,,,navarra
