población,distanica_km,cuidad_mas_cercana
abla,46.876722679287774,El_Ejido
abrucena,45.944207235718345,El_Ejido
adra,20.08023980724219,El_Ejido
albanchez,68.67851700603205,Lorca
alboloduy,38.276483609717175,El_Ejido
albox,64.32151696042516,Lorca
alcolea,31.72921342632949,El_Ejido
alcontar,70.83424424721058,El_Ejido
alcudia_de_monteagud,74.45722860165128,El_Ejido
alhabia,35.417305749890986,El_Ejido
alhama_de_almeria,33.41149686483217,El_Ejido
alicun,32.575955196672126,El_Ejido
almeria,32.46323715221067,El_Ejido
almocita,31.41928338711723,El_Ejido
alsodux,36.30537625586997,El_Ejido
antas,47.67340615530983,Lorca
arboleas,58.2612760772015,Lorca
armuna_de_almanzora,78.078066272752,El_Ejido
bacares,67.52450081485699,El_Ejido
bayarcal,32.578154164713396,Granada
bayarque,75.26064240527822,El_Ejido
bedar,55.430507251665496,Lorca
beires,32.489142880222374,El_Ejido
benahadux,38.26534299266512,El_Ejido
benitagla,75.133465751147,Lorca
benizalon,73.84946323828858,El_Ejido
bentarique,33.72149186290351,El_Ejido
berja,19.36462490384749,El_Ejido
canjayar,32.670595552114946,El_Ejido
cantoria,68.67400322742104,Lorca
carboneras,62.33343926379969,Lorca
castro_de_filabres,60.808543463231906,El_Ejido
chercos,75.80310624811003,Lorca
chirivel,77.35492796354723,Lorca
cobdar,71.79845207170669,Lorca
cuevas_del_almanzora,42.691516385980506,Lorca
dalias,12.900040122769617,El_Ejido
ejido_,6.228652463279982,El_Ejido
enix,24.814919064083142,El_Ejido
felix,20.845424181229514,El_Ejido
finana,45.667357938161565,Granada
fines,74.71837334044939,Lorca
fondon,29.31900011755245,El_Ejido
gador,37.739464267532036,El_Ejido
gallardos_,53.23527585636918,Lorca
garrucha,43.85739479204089,Lorca
gergal,50.279330849079074,El_Ejido
huecija,32.27887815268275,El_Ejido
huercal_overa,46.32395870149903,Lorca
huercal_de_almeria,37.20853002693928,El_Ejido
illar,32.76674932587124,El_Ejido
instincion,32.84098340167938,El_Ejido
laroya,76.5506391093958,El_Ejido
laujar_de_andarax,31.47717483041728,El_Ejido
lijar,71.87017176843459,Lorca
lubrin,61.17975097657283,Lorca
lucainena_de_las_torres,60.675927303330994,Almería
lucar,82.52664719579823,El_Ejido
macael,78.69728367155332,Lorca
maria,73.79604433501451,Lorca
mojacar,48.57688318084098,Lorca
mojonera_,10.60611230122712,El_Ejido
nacimiento,44.9101922873395,El_Ejido
nijar,52.21896732793285,Almería
ohanes,35.621102081041165,El_Ejido
olula_de_castro,58.32512836314206,El_Ejido
olula_del_rio,77.87893609493355,Lorca
oria,77.71890708860937,Lorca
padules,31.10498432842553,El_Ejido
partaloa,71.25212725722977,Lorca
paterna_del_rio,36.13296784144548,El_Ejido
pechina,38.762690826067036,El_Ejido
pulpi,28.758721237952123,Lorca
purchena,80.02167032492423,El_Ejido
ragol,32.43736243945363,El_Ejido
rioja,39.042730423341226,El_Ejido
roquetas_de_mar,17.214586145033586,El_Ejido
santa_cruz_de_marchena,37.38596665575185,El_Ejido
santa_fe_de_mondujar,37.165123988186224,El_Ejido
senes,67.24643424080175,El_Ejido
seron,74.04906353900994,El_Ejido
sierro,76.00596519448685,El_Ejido
somontin,83.10868338792895,El_Ejido
sorbas,67.95325729681267,Almería
sufli,77.82535488590382,El_Ejido
tabernas,51.53636552143654,El_Ejido
taberno,58.303230991808356,Lorca
tahal,72.71674196171855,El_Ejido
terque,34.428333153628856,El_Ejido
tijola,76.58805311925684,El_Ejido
tres_villas_,46.82767594361278,El_Ejido
turre,50.87662374505161,Lorca
turrillas,58.85674037942254,El_Ejido
uleila_del_campo,73.71210459459714,Lorca
urracal,83.51632936297136,Lorca
velefique,63.38435134800993,El_Ejido
velez_blanco,67.28218903209553,Lorca
velez_rubio,63.4928064336411,Lorca
vera,43.60069282045254,Lorca
viator,38.2391160210753,El_Ejido
vicar,18.7227190393938,El_Ejido
zurgena,55.277249572463646,Lorca
alcala_de_los_gazules,33.25455663201833,Jerez_de_la_Frontera
alcala_del_valle,34.193213373564,Utrera
algar,47.322120190523655,Jerez_de_la_Frontera
algeciras,10.40144827047001,La_Línea_de_la_Concepción
algodonales,25.931921235895896,Utrera
arcos_de_la_frontera,41.326683539137505,El_Puerto_de_Santa_María
barbate,16.618355998297158,Chiclana_de_la_Frontera
barrios_,12.829540193563812,La_Línea_de_la_Concepción
benalup_casas_viejas,26.216055941062827,Jerez_de_la_Frontera
benaocaz,45.78743328952414,Utrera
bornos,41.399399439667675,Utrera
bosque_,39.42824026993747,Utrera
cadiz,6.075654595939697,Cádiz
castellar_de_la_frontera,13.376714811626425,La_Línea_de_la_Concepción
chiclana_de_la_frontera,5.414563279852959,Jerez_de_la_Frontera
chipiona,24.87433994044837,El_Puerto_de_Santa_María
conil_de_la_frontera,1.9671048598007468,San_Fernando
espera,40.09550589625853,Cuenca
gastor_,30.83436404228479,Utrera
grazalema,39.993367179113534,Utrera
jerez_de_la_frontera,13.564575217350624,El_Puerto_de_Santa_María
jimena_de_la_frontera,29.7402119003858,La_Línea_de_la_Concepción
linea_de_la_concepcion_,2.099194557976691,La_Línea_de_la_Concepción
medina_sidonia,15.861269770636685,Jerez_de_la_Frontera
olvera,25.874385689948912,Utrera
paterna_de_rivera,23.6685024700903,Jerez_de_la_Frontera
prado_del_rey,36.627409938962884,Utrera
puerto_de_santa_maria_,0.8040004442312396,El_Puerto_de_Santa_María
puerto_real,3.0302106382825533,Cádiz
puerto_serrano,22.293797999377556,Utrera
rota,11.834667232275903,El_Puerto_de_Santa_María
san_fernando,1.3550357753443707,Sanlúcar_de_Barrameda
san_jose_del_valle,33.913689953036325,Jerez_de_la_Frontera
san_roque,4.536589839012641,La_Línea_de_la_Concepción
sanlucar_de_barrameda,23.745147367819477,El_Puerto_de_Santa_María
setenil_de_las_bodegas,36.89154941935239,Utrera
tarifa,29.378713335778393,La_Línea_de_la_Concepción
torre_alhaquime,29.464991008671298,Utrera
trebujena,31.45091310621797,El_Puerto_de_Santa_María
ubrique,48.098412289449776,Utrera
vejer_de_la_frontera,11.410604459948402,Chiclana_de_la_Frontera
villaluenga_del_rosario,46.504966474877435,Utrera
villamartin,32.03306892490627,Utrera
zahara,30.60189754333677,Utrera
adamuz,55.5312035478553,Córdoba
aguilar_de_la_frontera,16.497807547534318,Córdoba
alcaracejos,104.96508470669443,Córdoba
almedinilla,34.93210988420594,Córdoba
almodovar_del_rio,57.54677509758829,Córdoba
anora,104.91585212194052,Córdoba
baena,15.783324483864186,Córdoba
belalcazar,89.88659999633785,Mataró
belmez,91.7474269214883,Mataró
benameji,29.873087338673773,Córdoba
blazquez_,68.16061371240967,Mataró
bujalance,41.476420096407,Córdoba
cabra,7.30822046954888,Córdoba
canete_de_las_torres,39.8187806818121,Córdoba
carcabuey,19.83325512965489,Córdoba
cardena,76.21216368635544,Ciudad_Real
carlota_,43.78013461419891,Córdoba
carpio_,45.734394914535436,Córdoba
castro_del_rio,17.674973212439376,Córdoba
conquista,85.20930952969226,Ciudad_Real
cordoba,47.92626654596484,Córdoba
dona_mencia,10.282631409326637,Córdoba
dos_torres,108.40317975330368,Córdoba
encinas_reales,28.43038490765555,Córdoba
espejo,18.41013779473063,Córdoba
espiel,87.66319065766741,Córdoba
fernan_nunez,27.411520121933908,Córdoba
fuente_tojar,28.47853116828231,Córdoba
fuente_la_lancha,101.21771899604424,Mataró
fuente_obejuna,74.94306901389767,Mataró
fuente_palmera,59.07983060976537,Córdoba
granjuela_,76.53903425853755,Mataró
guadalcazar,48.867908361481,Córdoba
guijo_,107.74736989944788,Ciudad_Real
hinojosa_del_duque,91.67625844418852,Mataró
hornachuelos,73.50756243611403,Sevilla
iznajar,33.52908619871461,Córdoba
lucena,13.558945051374314,Córdoba
luque,17.371938495270463,Córdoba
montalban_de_cordoba,25.35592984308948,Córdoba
montemayor,24.10548774788296,Córdoba
montilla,16.25549420934463,Córdoba
montoro,55.730058568563,Córdoba
monturque,11.701448168774302,Córdoba
moriles,16.157595807814936,Córdoba
nueva_carteya,6.195658946393605,Córdoba
obejo,73.2221294178746,Córdoba
palenciana,32.808543853876074,Córdoba
palma_del_rio,58.972795096564,Alcalá_de_Guadaíra
pedro_abad,48.62931475441144,Córdoba
pedroche,103.22289909571293,Córdoba
penarroya_pueblonuevo,85.33173146360575,Mataró
posadas,63.6457747604142,Córdoba
pozoblanco,99.92935156645764,Córdoba
priego_de_cordoba,26.3156341874267,Córdoba
puente_genil,30.732545780401157,Córdoba
rambla_,25.451108726007995,Córdoba
rute,24.321531129780844,Córdoba
san_sebastian_de_los_ballesteros,34.167078775915854,Córdoba
santa_eufemia,112.92162484211313,Mataró
santaella,33.323738165264906,Córdoba
torrecampo,99.10087443311843,Ciudad_Real
valenzuela,35.04906963317568,Córdoba
valsequillo,75.60917153388701,Mataró
victoria_,48.085531674230204,Córdoba
villa_del_rio,52.71444045901614,Córdoba
villafranca_de_cordoba,48.502988266352276,Córdoba
villaharta,77.73961648655846,Córdoba
villanueva_de_cordoba,89.2694894687991,Córdoba
villanueva_del_duque,105.93805959084848,Mataró
villanueva_del_rey,95.54346185379522,Córdoba
villaralto,106.3332296781248,Mataró
villaviciosa_de_cordoba,77.3016359190025,Córdoba
viso_,108.57526969415865,Mataró
zuheros,13.625016457956686,Córdoba
agron,43.48220892874112,Granada
alamedilla,24.078761410731673,Jaén
albolote,30.38235816117064,Granada
albondon,33.79109213975063,Granada
albunan,23.169151010265363,Granada
albunol,36.82026521064832,El_Ejido
albunuelas,32.15250884130912,Granada
aldeire,25.294687533889842,Granada
alfacar,24.09672652863183,Granada
algarinejo,35.717309901668536,Córdoba
alhama_de_granada,57.91464543121137,Granada
alhendin,26.221074246094318,Granada
alicun_de_ortega,33.686492791868616,Jaén
almegijar,23.512418496429106,Granada
almunecar,43.53111288190547,Vélez-Málaga
alpujarra_de_la_sierra,22.30429001294244,Granada
alquife,22.12936742948503,Granada
arenas_del_rey,51.21416154133361,Granada
armilla,24.000761956630626,Granada
atarfe,32.437077506980465,Granada
baza,61.491187932231256,Jaén
beas_de_granada,16.845738174453846,Granada
beas_de_guadix,22.756962199873968,Granada
benalua,29.257620497255765,Jaén
benalua_de_las_villas,19.193790050924786,Jaén
benamaurel,69.980272684174,Jaén
berchules,20.508528493730825,Granada
bubion,17.936902900256847,Granada
busquistar,19.77979322739195,Granada
cacin,50.60873701343178,Granada
cadiar,23.58443192913754,Granada
cajar,19.751024444396926,Granada
calahorra_,26.527392448320327,Granada
calicasas,24.554802870200344,Jaén
campotejar,13.148062646874733,Jaén
canar,21.54930098928765,Granada
caniles,66.0699601120201,Jaén
capileira,16.5666039637988,Granada
carataunas,21.446684164992906,Granada
castaras,21.5975230753402,Granada
castillejar,75.24105712633582,Linares
castril,60.36242719207993,Linares
cenes_de_la_vega,17.509788385332634,Granada
chauchina,38.813756422959685,Granada
chimeneas,42.03557119969131,Granada
churriana_de_la_vega,26.57933483385368,Granada
cijuela,41.78045822818381,Jaén
cogollos_de_guadix,21.01532896587208,Granada
cogollos_de_la_vega,22.512967356324634,Jaén
colomera,23.656884185772967,Jaén
cortes_de_baza,65.42775951989202,Jaén
cortes_y_graena,24.474516967470652,Granada
cuevas_del_campo,50.325712815329844,Jaén
cullar,80.0335363303982,Jaén
cullar_vega,28.82034336044105,Granada
darro,19.88788153754463,Jaén
dehesas_de_guadix,35.45620212097682,Jaén
deifontes,18.59295070709856,Jaén
diezma,19.72345262379869,Jaén
dilar,22.662142708168716,Granada
dolar,32.890824825531766,Granada
dudar,14.591654190359714,Granada
durcal,23.50737156528358,Granada
escuzar,36.89289415971778,Granada
ferreira,28.6834075587122,Granada
fonelas,26.707365596307906,Jaén
freila,50.287266402206676,Jaén
fuente_vaqueros,38.49167616357881,Jaén
gabias_,31.018105362603478,Granada
galera,80.8427419127283,Linares
gobernador,13.342688903455086,Jaén
gojar,22.7353531429072,Granada
gor,44.37186092548671,Granada
gorafe,37.642714777335065,Jaén
granada,23.19322003276589,Granada
guadahortuna,12.357444055318535,Jaén
guadix,28.508230468224745,Granada
guajares_,37.482275813634466,Granada
gualchos,34.511195310551855,Motril
guejar_sierra,9.621997846214,Granada
guevejar,25.24608028680253,Jaén
huelago,19.065134383189122,Jaén
hueneja,36.36041645084399,Granada
huescar,78.81103771852527,Linares
huetor_de_santillan,19.107498506479818,Granada
huetor_tajar,52.81161078403448,Córdoba
huetor_vega,20.5799857296992,Granada
illora,40.94149627795737,Jaén
itrabo,43.028887133801135,Granada
iznalloz,9.048622800847113,Jaén
jayena,45.65127546703825,Granada
jerez_del_marquesado,18.751688378059185,Granada
jete,44.8253480809109,Granada
jun,24.917081301665544,Granada
juviles,21.103253158692734,Granada
lachar,43.64842199559144,Jaén
lanjaron,24.29223403357696,Granada
lanteira,19.860622082367343,Granada
lecrin,25.34773798122376,Granada
lentegi,42.0914338816841,Granada
lobras,23.6639317370684,Granada
loja,49.06151497214609,Córdoba
lugros,16.543959621301795,Granada
lujar,36.15874220911067,Granada
malaha_,33.05769188050172,Granada
maracena,27.56205075929605,Granada
marchal,24.497315664307322,Granada
moclin,30.90685637950461,Jaén
molvizar,42.610516736330354,Granada
monachil,16.982777109603653,Granada
montefrio,46.710096110775964,Córdoba
montejicar,12.82407247828665,Jaén
montillana,18.447619741170797,Jaén
moraleda_de_zafayona,54.4128026308431,Jaén
morelabor,14.466284279799297,Jaén
motril,38.590623676947075,Motril
murtas,32.7362297051779,Granada
nevada,32.019109379336356,Granada
niguelas,22.360871125343877,Granada
nivar,24.41645137072605,Jaén
ogijares,22.90492764133147,Granada
orce,87.56321985869968,Linares
orgiva,24.025488494980305,Granada
otivar,44.106084375576295,Granada
otura,25.34970360408801,Granada
padul,26.344015885298518,Granada
pampaneira,18.931420111065687,Granada
pedro_martinez,21.628659608194805,Jaén
peligros,28.197759604022817,Granada
peza_,19.305414609946602,Granada
pinar,3.2732187351083906,Jaén
pinar_,3.2732187351083906,Jaén
pinos_genil,14.779998552878563,Granada
pinos_puente,33.98934936301633,Jaén
policar,19.46372366575141,Granada
polopos,35.292666962981684,Granada
portugos,18.97002720017454,Granada
puebla_de_don_fadrique,83.58710384791674,Linares
pulianas,26.088317520148163,Granada
purullena,27.080348606878943,Granada
quentar,13.892659330025936,Granada
rubite,33.49842768967409,Granada
salar,55.345703899882956,Córdoba
salobrena,42.105345612625904,Motril
santa_cruz_del_comercio,55.88484812561248,Granada
santa_fe,33.890864146028925,Granada
soportujar,20.785386750454585,Granada
sorvilan,35.859295372921956,Granada
taha_,19.872683445740638,Granada
torre_cardela,11.216036264138014,Jaén
torvizcon,26.220105835064665,Granada
trevelez,14.0555432679817,Granada
turon,27.968178562165303,El_Ejido
ugijar,31.029429716918116,Granada
valle_,36.015452020176895,Granada
valle_del_zalabi,36.015452020176895,Granada
valor,26.876523256529644,Granada
vegas_del_genil,31.668223328305807,Granada
velez_de_benaudalla,34.27344244423825,Granada
ventas_de_huelma,42.144418394583724,Granada
villamena,25.040556479553953,Granada
villanueva_de_las_torres,35.19354614063921,Jaén
villanueva_mesia,53.64961298765587,Córdoba
viznar,22.53382784734125,Granada
zafarraya,56.40688632346589,Benalmádena
zagra,40.752202202023355,Córdoba
zubia_,20.847819141544765,Granada
zujar,56.05874269498918,Jaén
alajar,73.31049354193141,Badajoz
aljaraque,41.86684582469479,Huelva
almendro_,72.9517216482732,Huelva
almonaster_la_real,75.43201267036355,Badajoz
almonte,12.325960278864994,Huelva
alosno,64.81666300638639,Huelva
aracena,70.74233324895337,Badajoz
aroche,72.89642623311072,Badajoz
arroyomolinos_de_leon,57.746857240671616,Badajoz
ayamonte,74.66636853415571,Huelva
beas,35.555847670089356,Huelva
berrocal,64.63023601766896,Badajoz
bollullos_par_del_condado,19.826319675036565,Huelva
bonares,20.503046539074266,Huelva
cabezas_rubias,77.83720496598724,Huelva
cala,65.07217410425552,Mataró
calanas,61.4254432637315,Huelva
campillo_,59.56381134624959,Huelva
campofrio,67.6015971027999,Huelva
canaveral_de_leon,57.51538671165545,Badajoz
cartaya,53.59280315742843,Huelva
castano_del_robledo,71.44571123448401,Badajoz
cerro_de_andevalo_,71.78755244036087,Huelva
chucena,27.30546626769673,Huelva
corteconcepcion,70.83322392250666,Badajoz
cortegana,72.16374987394923,Badajoz
cortelazor,66.2372737234746,Badajoz
cumbres_de_enmedio,51.8611215558031,Badajoz
cumbres_de_san_bartolome,52.374893267936535,Badajoz
cumbres_mayores,52.195913910196246,Badajoz
encinasola,50.773214736039975,Badajoz
escacena_del_campo,32.09809983100321,Huelva
fuenteheridos,70.06654762941632,Badajoz
galaroza,67.95275486311307,Badajoz
gibraleon,42.73405015332408,Huelva
granada_de_rio_tinto_,31.864299978642922,Huelva
granado_,33.699344089448786,Huelva
higuera_de_la_sierra,76.20457241511335,Huelva
hinojales,58.019642906737225,Badajoz
hinojos,22.63653338296276,Huelva
huelva,35.3159684225613,Huelva
isla_cristina,67.07453902885527,Huelva
jabugo,69.44880231844706,Badajoz
lepe,57.08026146264609,Huelva
linares_de_la_sierra,72.37815679532456,Badajoz
lucena_del_puerto,21.38523646831538,Huelva
manzanilla,28.22141453104341,Huelva
marines_,69.84044698507847,Badajoz
minas_de_riotinto,59.41806792614413,Huelva
moguer,26.83949597076778,Huelva
nava_,64.66237781701453,Badajoz
nerva,59.54477676388152,Huelva
niebla,24.26586666407855,Huelva
palma_del_condado_,25.385161506306876,Huelva
palos_de_la_frontera,29.644120058020484,Huelva
paterna_del_campo,32.63516159282903,Huelva
paymogo,94.16075478876301,Huelva
puebla_de_guzman,78.03178974105073,Huelva
puerto_moral,71.50515932420689,Badajoz
punta_umbria,35.288549033359,Huelva
rociana_del_condado,16.635798675496243,Huelva
rosal_de_la_frontera,83.91002514992337,Badajoz
san_bartolome_de_la_torre,57.15258537483752,Huelva
san_juan_del_puerto,29.47918093150939,Huelva
san_silvestre_de_guzman,73.58932300784817,Huelva
sanlucar_de_guadiana,86.72832944694004,Huelva
santa_ana_la_real,75.15179760520823,Badajoz
santa_barbara_de_casa,89.41437154703596,Huelva
santa_olalla_del_cala,71.62205097193267,Mataró
trigueros,34.07812716317919,Huelva
valdelarco,65.09202210873576,Badajoz
valverde_del_camino,48.755165688232886,Huelva
villablanca,70.20456311960965,Huelva
villalba_del_alcor,27.65808143899035,Huelva
villanueva_de_las_cruces,65.71651818071537,Huelva
villanueva_de_los_castillejos,72.7588748545543,Huelva
villarrasa,25.72997045926548,Huelva
zalamea_la_real,58.27026582296011,Huelva
zufre,77.6827582236577,Huelva
albanchez_de_magina,30.8372358853846,Linares
alcala_la_real,40.18063279034131,Jaén
alcaudete,34.46931497061105,Córdoba
aldeaquemada,25.169065556866855,Ciudad_Real
andujar,59.12801440476636,Linares
arjona,58.11726984202757,Córdoba
arjonilla,58.76260649570901,Córdoba
arquillos,14.282983145625925,Linares
arroyo_del_ojanco,51.38252470927357,Linares
baeza,10.768531342238354,Linares
bailen,34.80225511695325,Linares
banos_de_la_encina,36.65715713148478,Linares
beas_de_segura,47.91120225975778,Linares
bedmar_y_garciez,26.540366913183746,Linares
begijar,15.95443103653322,Linares
belmez_de_la_moraleda,30.35597330405737,Jaén
benatae,71.55632550223004,Linares
cabra_del_santo_cristo,31.741193453680214,Jaén
cambil,25.5574649023206,Jaén
campillo_de_arenas,18.10649631133269,Jaén
canena,9.036913837526487,Linares
carboneros,28.976553777445684,Linares
carcheles,26.000342239019567,Jaén
carolina_,31.527943209660968,Linares
castellar,30.77430845280146,Linares
castillo_de_locubin,42.486656492965174,Jaén
cazalilla,44.799276183428155,Linares
cazorla,37.06101245508887,Linares
chiclana_de_segura,40.677237708779906,Linares
chilluevar,31.26362363599453,Linares
escanuela,54.60352425663053,Córdoba
espeluy,42.30931907371411,Linares
frailes,32.62494562857249,Jaén
fuensanta_de_martos,43.75713550273411,Jaén
fuerte_del_rey,48.84691523116489,Linares
genave,69.94114594297338,Linares
guardia_de_jaen_,36.96732598915749,Jaén
guarroman,30.033538801877278,Linares
higuera_de_calatrava,40.63110064872145,Córdoba
hinojares,50.298108471510076,Jaén
hornos,60.29528034946006,Linares
huelma,20.64424496668105,Jaén
huesa,42.2464938668502,Linares
ibros,11.49861531339401,Linares
iruela_,37.23228626643309,Linares
iznatoraf,32.25259765495764,Linares
jabalquinto,30.53417095609613,Linares
jaen,44.14852327584555,Jaén
jamilena,50.387046963785494,Jaén
jimena,25.7277896370338,Linares
