"Título";"ENP ID";"SIDE CODE";"SITE CODE NAT";"Figura asimilable Ley de Patrimonio";"Comunidad autónoma";"Figura CCAA";"Enlace";"Primera designación";"Norma primera designación";"Año primera designación";"Norma del PORN vigente";"Año del PORN vigente";"Norma declaración vigente";"Año declaración vigente";"Norma del instrumento de gestión vigente";"Año del instrumento de gestión vigente";"Año de aprobación de PUP";"Año de aprobación de PDS";"Superficie Total";"Superficie Terrestre";"Superficie Marina";"Superficie Pública";"Registros"
"Zona Volcànica de la Garrotxa";"510218";"389220";"ES510218";"PEIN";"Cataluña";"PEIN";"www.redeuroparc.org";"0";"";"";"Acuerdo de Gobierno del 14 de septiembre. DOGC 5735 de 15 de octubre de 2010.";"2010";"Decreto 328/1992 de 14 de diciembre. DOGC 1714 de 1 de marzo de 1993";"1992";"";"";"";"";"";"";"";"";"Datos Zona Volcànica de la Garrotxa (2012)"
"Zona Volcànica de la Garrotxa";"510028";"196372";"ES512001";"Parque Natural";"Cataluña";"Parque Natural";"www.redeuroparc.org";"0";"";"";"Acuerdo de Gobierno del 14 de septiembre. DOGC 5735 de 15 de octubre de 2010.";"2010";"Ley 2/1982 de 3 de marzo. DOGC 206 de 10 de marzo de 1982";"1982";"";"2012";"2007";"";"";"";"";"";"Datos Zona Volcànica de la Garrotxa (2012)"
"Zonas húmedas y yasas de la Degollada y El Recuenco";"230012";"";"";"Otros";"Illes Balears";"Área Natural Singular";"www.redeuroparc.org";"2017";"Decreto 36/2017, de 21 de julio, po";"";"";"";"Decreto 36/2017, de 21 de julio, po";"2017";"";"";"";"";"232.69 ha";"232.69 ha";"";"";""
"ZEPA Sierra de Peña Sagra";"130011";"389304";"ES0000249";"Designaciones para la Red Natura 2000";"Cantabria";"Zona de la Red Ecológica Europea Natura 2000";"www.redeuroparc.org";"0";"";"";"0";"";"Ley de Cantabria 4/2006, de 19 de mayo, de Conservación de la Naturaleza de Cantabria. BOC de 1 de junio de 2006";"2006";"";"";"";"";"";"";"";"";"Datos ZEPA Sierra de Peña Sagra (2012)"
"ZEPA Sierra del Cordel y cabeceras del Saja y Nansa";"130013";"389305";"ES0000251";"Designaciones para la Red Natura 2000";"Cantabria";"Zona de la Red Ecológica Europea Natura 2000";"www.redeuroparc.org";"0";"";"";"0";"";"Ley de Cantabria 4/2006, de 19 de mayo, de Conservación de la Naturaleza de Cantabria. BOC de 1 de junio de 2006";"2006";"";"";"";"";"";"";"";"";"Datos ZEPA Sierra del Cordel y cabeceras del Saja y Nansa (2012)"
"ZEPA Sierra de Híjar";"130012";"389303";"ES0000250";"Designaciones para la Red Natura 2000";"Cantabria";"Zona de la Red Ecológica Europea Natura 2000";"www.redeuroparc.org";"0";"";"";"0";"";"Ley de Cantabria 4/2006, de 19 de mayo, de Conservación de la Naturaleza de Cantabria. BOC de 1 de junio de 2006";"2006";"";"";"";"";"";"";"";"";"Datos ZEPA Sierra de Híjar (2012)"
"ZEPA Ribadeo";"110063";"349682";"ES112018";"Designaciones para la Red Natura 2000";"Galicia";"Zona de Especial Protección de los Valores Naturales";"www.redeuroparc.org";"Espacio Natural en Régimen de Protección General";"";"1995";"0";"";"Decreto 72/2004. DOG 69 de 12 de abril de 2004.";"2004";"";"";"";"";"";"";"";"";"Datos ZEPA Ribadeo (2012)"
"ZEPA Ría de Ortigueira e Ladrido";"110062";"349574";"ES111022";"Designaciones para la Red Natura 2000";"Galicia";"Zona de Especial Protección de los Valores Naturales";"www.redeuroparc.org";"Espacio Natural en Régimen de Protección General";"";"1990";"0";"";"Decreto 72/2004. DOG 69 de 12 de abril de 2004.";"2004";"";"";"";"";"";"";"";"";"Datos ZEPA Ría de Ortigueira e Ladrido (2012)"
"ZEPA Ría de foz";"110090";"389032";"ES0000373";"Designaciones para la Red Natura 2000";"Galicia";"Zona de Especial Protección de los Valores Naturales";"www.redeuroparc.org";"0";"0";"0";"0";"";"Decreto 72/2004. DOG 69 de 12 de abril de 2005";"2005";"";"";"";"";"";"";"";"";"Datos ZEPA Ría de foz (2012)"
"ZEPA Pena Trevinca";"110091";"0";"ES1130007";"Designaciones para la Red Natura 2000";"Galicia";"Zona de Especial Protección de los Valores Naturales";"www.redeuroparc.org";"0";"0";"0";"0";"0";"Decreto 131/2008, de 19 de junio. DOG 124, viernes, 27 de junio de 2008.";"2008";"0";"0";"0";"0";"";"";"";"";"Datos ZEPA Pena Trevinca (2012)"
"ZEPA Marismas de Santoña, Victoria y Joyel";"130008";"389302";"ES0000143";"Designaciones para la Red Natura 2000";"Cantabria";"Zona de la Red Ecológica Europea Natura 2000";"www.redeuroparc.org";"0";"";"";"0";"";"Ley de Cantabria 4/2006, de 19 de mayo, de Conservación de la Naturaleza de Cantabria. BOC de 1 de junio de 2006";"2006";"";"";"";"";"";"";"";"";"Datos ZEPA Marismas de Santoña, Victoria y Joyel (2012)"
"ZEPA Liébana";"130009";"389301";"ES0000198";"Designaciones para la Red Natura 2000";"Cantabria";"Zona de la Red Ecológica Europea Natura 2000";"www.redeuroparc.org";"0";"";"";"0";"";"Ley de Cantabria 4/2006, de 19 de mayo, de Conservación de la Naturaleza de Cantabria. BOC de 1 de junio de 2006";"2006";"";"";"";"";"";"";"";"";"Datos ZEPA Liébana (2012)"
"ZEPA Illa de Ons";"110047";"389058";"ES0000254";"Designaciones para la Red Natura 2000";"Galicia";"Zona de Especial Protección de los Valores Naturales";"www.redeuroparc.org";"0";"";"";"0";"";"Decreto 72/2004. DOG 69 de 12 de abril de 2004";"2004";"";"";"";"";"";"";"";"";"Datos ZEPA Illa de Ons (2012)"
"ZEPA Hoces del Ebro";"130015";"389300";"ES0000253";"Designaciones para la Red Natura 2000";"Cantabria";"Zona de la Red Ecológica Europea Natura 2000";"www.redeuroparc.org";"0";"";"";"0";"";"Ley de Cantabria 4/2006, de 19 de mayo, de Conservación de la Naturaleza de Cantabria. BOC de 1 de junio de 2006";"2006";"";"";"";"";"";"";"";"";"Datos ZEPA Hoces del Ebro (2012)"
"ZEPA Esteiro do Miño";"110043";"348856";"ES114010";"Designaciones para la Red Natura 2000";"Galicia";"Zona de Especial Protección de los Valores Naturales";"www.redeuroparc.org";"0";"";"";"0";"";"Decreto 72/2004. DOG 69 de 12 de abril de 2004.";"2004";"";"";"";"";"";"";"";"";"Datos ZEPA Esteiro do Miño (2012)"
"ZEPA Embalse del Ebro";"130014";"389299";"ES0000252";"Designaciones para la Red Natura 2000";"Cantabria";"Zona de la Red Ecológica Europea Natura 2000";"www.redeuroparc.org";"0";"";"";"0";"";"Ley de Cantabria 4/2006, de 19 de mayo, de Conservación de la Naturaleza de Cantabria. BOC de 1 de junio de 2006";"2006";"";"";"";"";"";"";"";"";"Datos ZEPA Embalse del Ebro (2012)"
"ZEPA Desfiladero de la Hermida";"130010";"389298";"ES0000248";"Designaciones para la Red Natura 2000";"Cantabria";"Zona de la Red Ecológica Europea Natura 2000";"www.redeuroparc.org";"0";"";"";"0";"";"Ley de Cantabria 4/2006, de 19 de mayo, de Conservación de la Naturaleza de Cantabria. BOC de 1 de junio de 2006";"2006";"";"";"";"";"";"";"";"";"Datos ZEPA Desfiladero de la Hermida (2012)"
"ZEPA Costa de Ferrolterra - Valdoviño";"110038";"349383";"ES111015";"Designaciones para la Red Natura 2000";"Galicia";"Zona de Especial Protección de los Valores Naturales";"www.redeuroparc.org";"Espacio Natural en Régimen de Protección General";"";"1995";"0";"";"Decreto 72/2004. DOG 69 de 12 de abril de 2004.";"2004";"";"";"";"";"";"";"";"";"Datos ZEPA Costa de Ferrolterra - Valdoviño (2012)"
"ZEPA Costa da Morte (Norte)";"110035";"349379";"ES111014";"Designaciones para la Red Natura 2000";"Galicia";"Zona de Especial Protección de los Valores Naturales";"www.redeuroparc.org";"0";"";"";"0";"";"Decreto 72/2004. DOG 69 de 12 de abril de 2004.";"2004";"";"";"";"";"";"";"";"";"Datos ZEPA Costa da Morte (Norte) (2012)"
"ZEPA Costa da Mariña occidental";"110033";"349377";"ES1120017";"Designaciones para la Red Natura 2000";"Galicia";"Zona de Especial Protección de los Valores Naturales";"www.redeuroparc.org";"0";"";"";"0";"";"Decreto 72/2004. DOG 69 de 12 de abril de 2004.";"2004";"";"";"";"";"";"";"";"";"Datos ZEPA Costa da Mariña occidental (2012)"
"ZEPA Complexo litoral de Corrubedo";"110030";"349369";"ES111011";"Designaciones para la Red Natura 2000";"Galicia";"Zona de Especial Protección de los Valores Naturales";"www.redeuroparc.org";"Espacio Natural en Régimen de Protección General";"";"1992";"0";"";"Decreto 72/2004. DOG 69 de 12 de abril de 2004.";"2004";"";"";"";"";"";"";"";"";"Datos ZEPA Complexo litoral de Corrubedo (2012)"
"ZEPA Complexo intermareal Umia - O Grove, A Lanzada, punta Carreirón e lagoa Bodeira";"110029";"349318";"ES114007";"Designaciones para la Red Natura 2000";"Galicia";"Zona de Especial Protección de los Valores Naturales";"www.redeuroparc.org";"Espacio Natural en Régimen de Protección General";"";"1995";"0";"";"Decreto 72/2004. DOG 69 de 12 de abril de 2004.";"2004";"";"";"";"";"";"";"";"";"Datos ZEPA Complexo intermareal Umia - O Grove, A Lanzada, punta Carreirón e lagoa Bodeira (2012)"
"ZEPA Baixa Limia - Serra do Xurés";"110019";"71215";"ES113006";"Designaciones para la Red Natura 2000";"Galicia";"Zona de Especial Protección de los Valores Naturales";"www.redeuroparc.org";"0";"";"";"0";"";"Decreto 72/2004. DOG 69 de 12 de abril de 2004.";"2004";"";"";"";"";"";"";"";"";"Datos ZEPA Baixa Limia - Serra do Xurés (2012)"
"ZEPA Ancares";"110088";"349171";"ES0000374";"Designaciones para la Red Natura 2000";"Galicia";"Zona de Especial Protección de los Valores Naturales";"www.redeuroparc.org";"0";"";"";"0";"";"Decreto 72/2004. DOG 69 de 12 de abril de 2004.";"2004";"";"";"";"";"";"";"";"";"Datos ZEPA Ancares (2012)"
"ZEPA A Limia";"110102";"555546035";"ES113013";"Designaciones para la Red Natura 2000";"Galicia";"Zona de Especial Protección de los Valores Naturales";"www.redeuroparc.org";"0";"0";"0";"0";"0";"Decreto 411/2009 del 12 de noviembre. DOG Nº230 DE 24/11/2009.";"2009";"0";"0";"0";"0";"";"";"";"";"Datos ZEPA A Limia (2012)"
"Yesares de Hellín";"420073";"349490";"ES421007";"Otros";"Castilla-La Mancha";"Microrreserva";"www.redeuroparc.org";"0";"";"";"0";"";"Decreto 263/2004 de 5 de octubre. DOCM 202 de 28 de diciembre de 2004.";"2004";"";"";"";"";"";"";"";"";"Datos Yesares de Hellín (2012)"
"Xunqueira de Alba";"110104";"0";"0";"Otros";"Galicia";"Espacio Natural de Interés Local";"www.redeuroparc.org";"0";"0";"0";"0";"0";"Orden do 27 de agosto do 2012. DOG 176, 14 de septiembre de 2012.";"2012";"0";"0";"0";"0";"";"";"";"";"Datos Xunqueira de Alba (2012)"
"Volcà Pujalós";"510020";"151337";"ES512023";"Reserva Natural";"Cataluña";"Reserva Natural Parcial";"www.redeuroparc.org";"0";"";"";"0";"";"Ley 2/1982 de 3 de marzo. DOGC 206 de 10 de marzo de 1982";"1982";"";"";"";"";"";"";"";"";"Datos Volcà Pujalós (2012)"
"Volcà Puig de l´Ós";"510017";"151333";"ES512018";"Reserva Natural";"Cataluña";"Reserva Natural Parcial";"www.redeuroparc.org";"0";"";"";"0";"";"Ley 2/1982 de 3 de marzo. DOGC 206 de 10 de marzo de 1982";"1982";"";"";"";"";"";"";"";"";"Datos Volcà Puig de l´Ós (2012)"
"Volcà Puig de la Garça";"510019";"196445";"ES512020";"Reserva Natural";"Cataluña";"Reserva Natural Parcial";"www.redeuroparc.org";"0";"";"";"0";"";"Ley 2/1982 de 3 de marzo. DOGC 206 de 10 de marzo de 1982";"1982";"";"";"";"";"";"";"";"";"Datos Volcà Puig de la Garça (2012)"
"Volcà Puig de la Costa";"510018";"151334";"ES512019";"Reserva Natural";"Cataluña";"Reserva Natural Parcial";"www.redeuroparc.org";"0";"";"";"0";"";"Ley 2/1982 de 3 de marzo. DOGC 206 de 10 de marzo de 1982";"1982";"";"";"";"";"";"";"";"";"Datos Volcà Puig de la Costa (2012)"
