PROVINCIAS CAMIONES FURGONETAS AUTOBUSES TURISMOS MOTOCICLETAS TRACTORES_INDUSTRIALES R_Y_S OTROS_VEHÍCULOS TOTAL
Araba/Álava 14473 14749 538 158049 16011 1334 3208 4969 213331
Albacete 28809 21770 418 191601 25960 3438 5708 4224 281928
Alicante/Alacant 99962 78036 1646 998654 152164 5886 14206 12040 1362594
Almeria 56243 40275 831 361888 44574 8174 12797 8285 533067
Avila 12540 13101 111 88794 9062 1023 2111 3643 130385
Badajoz 35384 42484 758 372144 33717 3945 9172 7987 505591
Balears_(Illes) 87547 56770 2733 722905 142291 2069 7752 8384 1030451
Barcelona 236240 247076 6495 2476810 637531 16168 54241 44646 3719207
Burgos 18632 19224 478 190575 17477 3245 5786 6651 262068
Caceres 32741 28679 606 217717 21301 1577 4194 7191 314006
Cadiz 55407 36798 1100 572171 102634 3099 7608 9021 787838
Castellon/Castello 39254 32659 525 309002 40277 4406 7213 5176 438512
Ciudad_Real 36940 32180 526 247965 24894 4603 6777 5979 359864
Cordoba 41215 50352 732 376441 53604 3268 8404 7257 541273
Coruña_(A) 48355 37634 1661 618356 52301 4959 10515 11334 785115
Cuenca 20181 16489 370 111625 11689 3950 5233 4355 173892
Girona 50924 62487 1176 412092 92801 3517 8729 10415 642141
Granada 53736 57925 1261 463643 94663 4053 7500 8349 691130
Guadalajara 12914 17124 239 138661 15865 1501 2984 3597 192885
Gipuzkoa 32485 29744 978 325642 60553 3224 9179 8377 470182
Huelva 31932 19506 750 250771 27189 2494 5283 4864 342789
Huesca 20196 17322 378 117150 14074 1936 4280 5149 180485
Jaen 44080 63710 578 293160 38360 3292 7200 8351 458731
Leon 27760 30585 644 258838 26686 2869 5792 6554 359728
Lleida 35871 28633 522 228628 31358 4742 9786 8330 347870
Rioja_(La) 20603 17458 263 147630 16633 1697 3622 4209 212115
Lugo 19550 23525 1203 200604 17121 3193 6109 5863 277168
Madrid 260658 394281 11040 3759902 364437 27669 34853 38338 4891178
Malaga 85600 88354 1931 829795 158548 4972 10943 12999 1193142
Murcia 86380 66871 1882 759531 111279 13712 23264 10874 1073793
Navarra 37799 39010 849 326338 35386 4612 9565 9786 463345
Ourense 20040 18917 617 186161 16776 2036 3823 4365 252735
Asturias 40402 46942 1455 516400 57057 4201 9969 12674 689100
Palencia 8266 9359 266 92436 8608 1474 2876 2841 126126
Palmas_(Las) 117072 68289 3026 591088 66663 2522 8097 11948 868705
Pontevedra 46941 36147 1261 533898 72408 4530 9490 11379 716054
Salamanca 18784 16266 517 174235 16627 1509 3534 4185 235657
Santa_Cruz_de_Tenerife 110661 73957 2950 559548 64794 2140 5898 9678 829626
Cantabria 31120 25170 633 305540 39225 3607 9253 6619 421167
Segovia 11837 10174 314 89295 8586 1329 2778 3072 127385
Sevilla 94684 55556 2111 932835 135689 8593 18511 13784 1261763
Soria 6561 7405 106 49066 4849 1085 2105 2045 73222
Tarragona 51480 48810 1168 409999 73014 3567 8813 9491 606342
Teruel 12325 12166 93 73581 8254 1821 3539 3024 114803
Toledo 51699 42047 765 384094 33603 4382 7267 9050 532907
Valencia/València 138642 87580 2428 1259581 194339 14606 32808 17106 1747090
Valladolid 22939 17150 617 265268 30192 3140 6225 4974 350505
Bizkaia 47184 38631 1959 519061 55387 3529 8484 11029 685264
Zamora 11642 11832 233 100301 9742 1133 2630 3341 140854
Zaragoza 41020 41041 1039 417819 54296 5928 13791 10546 585480
Ceuta 2492 5173 63 41570 12442 75 251 612 62678
Melilla 4191 9095 62 45293 6731 108 581 654 66715
Total 2574393 2406518 64905 24074151 3459722 225942 474737 449614 33729982
