;Total;0-4;5-9;10-14;15-19;20-24;25-29;30-34;35-39;40-44;45-49;50-54;55-59;60-64;65-69;70-74;75-79;80-84;85-89;90-94;95-99;100 y más
Hombres;;;;;;;;;;;;;;;;;;;;;;
    Total;23,042,428;1,048,153;1,211,970;1,280,031;1,195,323;1,177,825;1,295,737;1,429,731;1,757,401;2,037,012;1,928,966;1,810,617;1,604,216;1,353,690;1,141,795;1,003,426;714,170;546,034;352,246;125,356;25,278;3,451
    01051-Agurain/Salvatierra;2,526;180;159;147;97;100;119;154;218;245;217;182;167;169;131;103;52;38;26;20;2;0
    01001-Alegría-Dulantzi;1,501;75;123;119;99;58;54;58;113;166;175;147;84;58;65;35;40;20;9;3;0;0
    01002-Amurrio;5,100;278;296;249;202;227;227;291;375;468;337;421;381;342;344;269;166;112;83;28;3;1
    01049-Añana;95;4;3;2;1;5;6;1;6;7;14;12;10;6;8;5;3;2;0;0;0;0
    01003-Aramaio;764;28;37;52;38;39;28;25;39;58;58;66;69;62;49;46;21;29;15;4;1;0
    01006-Armiñón;119;4;8;11;4;3;4;3;8;17;15;15;7;7;2;3;4;1;2;1;0;0
    01037-Arraia-Maeztu;403;13;30;15;14;9;9;20;24;38;38;32;33;32;21;30;16;14;10;5;0;0
    01008-Arratzua-Ubarrundia;529;16;25;23;37;28;19;26;33;33;43;55;50;45;49;21;11;7;3;4;0;1
    01004-Artziniega;906;45;78;53;47;42;30;43;65;104;75;62;76;52;61;34;13;16;6;4;0;0
    01009-Asparrena;826;30;42;35;35;29;42;40;56;73;65;83;80;72;51;35;20;16;16;6;0;0
    01010-Ayala/Aiara;1,500;76;90;109;72;47;53;62;100;173;151;137;107;83;61;68;45;35;23;5;3;0
    01011-Baños de Ebro/Mañueta;163;2;6;4;9;11;5;8;13;12;11;16;16;11;11;9;6;6;6;1;0;0
    01013-Barrundia;491;10;27;25;26;12;14;11;31;37;54;63;61;31;28;26;15;11;8;1;0;0
    01014-Berantevilla;243;12;7;17;9;7;7;8;21;23;18;21;21;5;16;17;15;13;6;0;0;0
    01016-Bernedo;299;5;10;17;9;13;10;12;13;24;36;24;28;24;18;21;13;15;5;1;0;1
    01017-Campezo/Kanpezu;546;18;24;21;24;17;26;27;37;41;44;58;46;40;43;23;24;15;13;3;1;1
    01021-Elburgo/Burgelu;320;7;18;16;16;13;16;16;19;33;31;28;37;26;17;15;5;3;3;0;1;0
    01022-Elciego;502;29;31;17;27;25;11;29;32;48;32;44;40;37;27;29;19;14;7;3;1;0
    01023-Elvillar/Bilar;162;6;5;4;9;5;8;7;13;12;15;11;15;10;10;13;5;5;7;2;0;0
    01047-Erriberabeitia;724;17;60;59;47;31;34;29;44;71;79;64;48;50;31;18;13;12;11;6;0;0
    01046-Erriberagoitia/Ribera Alta;453;15;31;21;18;13;13;10;24;35;50;57;49;34;25;15;15;14;8;5;1;0
    01056-Harana/Valle de Arana;124;0;4;2;0;3;6;0;3;4;12;18;14;15;7;7;8;13;5;3;0;0
    01901-Iruña Oka/Iruña de Oca;1,769;68;114;123;94;61;85;95;147;200;178;178;117;91;79;51;36;27;15;9;1;0
    01027-Iruraiz-Gauna;281;7;15;15;15;10;11;14;15;19;29;31;28;22;18;11;13;2;5;1;0;0
    01019-Kripan;94;1;6;4;8;7;1;2;4;4;9;10;9;6;5;7;6;4;1;0;0;0
    01020-Kuartango;220;7;10;8;6;3;9;11;17;15;16;23;22;20;19;12;3;14;4;1;0;0
    01028-Labastida/Bastida;751;36;48;38;33;30;33;34;53;55;71;62;52;54;50;40;25;17;16;3;1;0
    01030-Lagrán;87;2;3;0;0;2;5;1;3;6;9;3;8;11;7;8;4;5;6;2;2;0
    01031-Laguardia;767;31;35;41;32;27;39;55;45;60;64;66;74;55;47;56;9;17;14;0;0;0
    01032-Lanciego/Lantziego;367;19;20;15;13;16;23;18;23;29;28;26;29;22;24;19;15;15;9;3;0;1
    01902-Lantarón;494;13;11;25;18;15;19;28;29;37;37;51;57;50;31;18;12;25;16;2;0;0
    01033-Lapuebla de Labarca;439;24;20;27;24;18;20;21;33;46;26;41;20;42;18;16;9;22;5;6;1;0
    01036-Laudio/Llodio;8,868;347;442;406;398;342;408;459;602;708;745;735;678;595;481;535;401;330;190;56;9;1
    01058-Legutio;995;52;58;47;30;21;41;64;84;102;109;89;77;53;59;56;24;22;5;1;1;0
    01034-Leza;100;2;7;3;5;4;2;7;3;5;16;5;8;12;6;3;3;5;4;0;0;0
    01039-Moreda de Álava/Moreda Araba;108;3;2;0;3;5;11;2;7;7;8;10;16;9;4;9;5;3;1;3;0;0
    01041-Navaridas;112;2;3;3;4;10;13;6;3;6;6;9;16;10;6;2;3;5;5;0;0;0
    01042-Okondo;611;34;36;34;31;20;17;36;43;63;60;66;42;39;23;27;15;15;5;3;2;0
    01043-Oyón-Oion;1,708;108;138;115;92;73;79;88;109;169;162;144;125;78;60;63;41;28;27;5;4;0
    01044-Peñacerrada-Urizaharra;152;2;4;2;6;3;7;3;16;7;12;24;16;16;9;7;7;5;6;0;0;0
    01052-Samaniego;158;2;5;5;6;9;9;13;5;12;2;17;18;10;9;6;9;8;9;4;0;0
    01053-San Millán/Donemiliaga;393;13;19;14;14;11;18;14;19;30;34;42;39;36;24;17;16;10;13;8;2;0
    01054-Urkabustaiz;716;42;35;38;34;34;34;33;54;64;68;75;59;45;42;22;13;12;8;3;1;0
    01055-Valdegovía/Gaubea;553;12;15;11;17;18;23;20;26;40;34;63;58;64;31;46;25;30;16;2;2;0
    01057-Villabuena de Álava/Eskuernaga;149;2;5;4;4;10;0;10;12;10;9;15;15;11;8;13;5;9;3;3;1;0
    01059-Vitoria-Gasteiz;122,711;6,181;6,793;6,237;5,894;5,539;5,893;7,390;9,369;11,175;10,282;9,401;8,232;7,324;6,609;6,158;4,326;3,073;2,012;699;112;12
    01060-Yécora/Iekora;140;6;13;3;10;7;3;14;10;7;9;10;8;9;11;7;2;6;4;0;1;0
    01061-Zalduondo;103;2;5;6;6;4;4;4;2;6;11;17;13;8;4;3;2;3;2;1;0;0
    01062-Zambrana;223;9;7;11;11;9;6;13;22;12;17;24;18;21;15;11;7;4;1;5;0;0
    01018-Zigoitia;944;35;45;65;43;35;37;28;47;65;98;73;85;98;72;53;34;15;11;4;1;0
    01063-Zuia;1,190;30;51;87;86;67;50;33;57;70;102;124;136;91;73;45;42;22;18;4;2;0
    02001-Abengibre;379;8;7;9;8;21;22;29;16;28;40;25;41;33;24;31;19;8;7;2;1;0
    02002-Alatoz;291;10;4;12;13;12;13;16;25;17;26;21;20;16;16;21;23;13;9;4;0;0
    02003-Albacete;84,687;4,264;4,801;4,990;4,752;4,995;5,097;5,356;6,694;7,434;6,870;6,813;5,995;4,503;3,669;2,947;2,125;1,757;1,137;398;78;12
    02004-Albatana;356;6;14;19;8;21;30;9;23;18;19;28;37;16;33;20;10;18;16;9;2;0
    02005-Alborea;337;11;13;9;8;21;20;23;22;20;19;34;32;21;16;19;14;15;14;5;1;0
    02006-Alcadozo;363;9;9;17;23;13;18;19;20;19;31;26;33;18;23;30;18;16;13;8;0;0
    02007-Alcalá del Júcar;618;12;18;13;24;24;45;36;40;38;33;53;48;55;42;28;44;26;29;8;2;0
    02008-Alcaraz;703;26;23;36;38;21;36;41;47;45;54;63;66;44;47;33;27;26;20;8;2;0
    02009-Almansa;12,167;523;589;656;645;676;693;711;864;1,046;1,005;963;994;773;605;470;364;277;212;85;15;1
    02010-Alpera;1,174;43;45;59;63;49;69;73;76;92;73;98;100;60;60;56;51;56;38;9;4;0
    02011-Ayna;327;1;8;2;6;8;17;16;11;26;24;37;21;23;23;31;27;22;19;5;0;0
    02012-Balazote;1,189;49;49;59;67;72;85;92;86;86;90;114;83;50;33;50;47;43;24;8;2;0
    02014-Ballestero, El;207;5;9;7;9;11;5;11;12;16;18;16;15;14;18;17;9;10;4;0;1;0
    02013-Balsa de Ves;91;0;1;2;2;4;1;4;3;4;4;9;7;9;8;9;8;5;7;4;0;0
    02015-Barrax;939;29;46;55;61;54;54;53;55;77;91;87;79;53;39;28;29;35;9;3;2;0
    02016-Bienservida;326;11;11;6;13;25;23;20;16;13;22;36;37;27;21;21;9;9;5;1;0;0
    02017-Bogarra;443;10;9;9;9;9;21;18;22;20;33;33;30;31;38;47;34;29;27;12;1;1
    02018-Bonete;540;20;17;31;24;21;32;41;38;30;31;51;56;37;27;26;19;19;14;5;1;0
    02019-Bonillo, El;1,415;42;40;60;79;83;96;67;74;101;125;163;116;88;55;61;63;58;34;7;3;0
    02020-Carcelén;271;6;7;9;14;11;9;10;12;15;15;27;13;21;20;21;26;20;9;6;0;0
    02021-Casas de Juan Núñez;686;25;28;25;34;40;41;31;55;61;51;61;50;39;29;30;33;28;16;9;0;0
    02022-Casas de Lázaro;205;0;1;1;9;7;8;5;9;9;9;17;25;26;19;12;19;18;6;4;1;0
    02023-Casas de Ves;301;2;0;6;13;18;15;19;15;19;15;22;35;25;18;21;24;13;16;4;1;0
    02024-Casas-Ibáñez;2,294;104;104;120;117;128;136;147;153;179;177;171;188;145;115;93;72;68;46;25;6;0
    02025-Caudete;5,073;255;289;249;279;287;309;284;344;412;421;408;369;309;217;210;156;122;98;38;12;5
    02026-Cenizate;597;21;25;31;30;41;47;39;38;31;56;46;45;33;21;23;24;21;20;4;1;0
    02029-Chinchilla de Monte-Aragón;2,196;100;113;95;87;98;135;141;196;241;210;178;167;124;87;63;47;59;41;12;2;0
    02027-Corral-Rubio;174;3;8;5;8;4;12;7;10;12;13;18;13;12;8;11;9;11;4;2;4;0
    02028-Cotillas;64;1;0;2;1;4;2;4;1;1;2;6;16;5;4;2;3;4;3;3;0;0
    02030-Elche de la Sierra;1,787;63;84;97;73;110;114;100;99;118;146;152;139;128;99;75;60;63;47;17;3;0
    02031-Férez;317;8;12;10;17;11;21;14;17;8;27;16;34;21;22;22;16;17;16;7;0;1
    02032-Fuensanta;168;2;2;6;2;5;10;8;8;14;8;18;16;16;10;16;8;11;6;2;0;0
    02033-Fuente-Álamo;1,307;53;58;69;75;78;85;63;87;109;106;115;86;63;67;43;58;52;28;10;2;0
    02034-Fuentealbilla;914;31;48;50;41;45;55;46;72;63;74;80;69;45;60;37;37;31;23;6;1;0
    02035-Gineta, La;1,304;66;73;56;50;81;66;80;139;129;119;92;89;69;72;39;36;21;17;9;1;0
    02036-Golosalvo;55;0;1;2;2;0;3;3;2;4;1;8;6;6;5;2;4;1;2;3;0;0
    02037-Hellín;15,162;651;787;844;935;1,000;921;980;1,128;1,260;1,245;1,222;1,076;841;594;551;420;360;234;95;17;1
    02038-Herrera, La;167;7;9;3;3;5;9;10;9;17;15;16;20;12;4;11;6;7;2;2;0;0
    02039-Higueruela;602;21;31;28;28;24;38;40;21;42;50;43;53;33;27;33;37;25;20;6;2;0
    02040-Hoya-Gonzalo;345;7;10;12;17;12;14;13;16;36;31;25;25;27;25;29;22;13;7;2;1;1
    02041-Jorquera;193;3;3;4;7;4;10;7;10;21;19;10;17;11;10;17;11;8;12;8;0;1
    02042-Letur;449;8;7;14;29;22;12;30;23;26;21;40;57;40;29;27;17;24;19;4;0;0
    02043-Lezuza;705;15;16;29;21;42;44;42;38;47;55;71;67;44;42;30;34;38;22;7;1;0
    02044-Liétor;610;5;17;19;28;34;30;30;29;38;53;48;53;49;37;36;30;36;23;13;2;0
    02045-Madrigueras;2,380;121;126;117;98;131;121;133;174;205;201;161;173;140;116;119;101;68;48;22;5;0
    02046-Mahora;706;22;31;33;33;37;31;40;60;64;58;49;53;47;32;37;32;23;13;10;1;0
    02047-Masegoso;59;0;0;2;1;2;1;0;3;3;3;4;9;3;6;7;6;5;3;1;0;0
    02048-Minaya;774;23;28;33;30;28;42;46;54;67;65;54;71;46;41;56;31;28;24;6;1;0
    02049-Molinicos;441;8;10;9;10;21;24;26;20;28;21;35;40;35;25;38;20;32;25;14;0;0
    02050-Montalvos;52;1;1;1;1;2;0;7;4;2;1;8;7;3;5;1;3;2;3;0;0;0
    02051-Montealegre del Castillo;1,043;29;45;47;51;51;65;87;73;68;87;81;66;69;59;41;36;51;23;13;1;0
    02052-Motilleja;307;7;11;6;19;17;14;15;18;23;31;29;21;18;22;16;11;10;13;6;0;0
    02053-Munera;1,763;55;68;94;96;116;100;89;98;125;149;149;143;94;86;79;69;82;49;19;2;1
    02054-Navas de Jorquera;266;10;6;5;13;15;23;23;19;20;18;19;22;16;16;14;10;13;2;2;0;0
    02055-Nerpio;660;9;20;26;32;37;30;38;26;53;56;62;58;44;24;23;44;25;37;12;3;1
    02056-Ontur;1,009;50;35;46;36;51;63;52;74;84;63;73;77;71;55;51;51;43;23;8;2;1
    02057-Ossa de Montiel;1,154;35;51;45;59;55;71;57;70;80;109;94;105;64;57;62;56;43;28;9;3;1
    02058-Paterna del Madera;190;4;2;4;1;4;4;16;8;15;17;11;22;19;13;14;7;16;9;4;0;0
    02060-Peñas de San Pedro;817;15;11;18;19;34;39;59;39;60;64;91;81;66;59;49;50;36;22;4;0;1
    02059-Peñascosa;184;2;0;5;3;9;9;6;14;12;17;20;14;14;14;14;12;7;10;2;0;0
    02061-Pétrola;350;8;3;9;10;12;21;16;20;25;22;28;33;25;29;24;22;23;10;6;2;2
    02062-Povedilla;241;0;4;8;8;12;19;10;10;18;19;26;24;16;16;14;10;8;10;6;3;0
    02901-Pozo Cañada;1,418;68;79;91;83;74;76;76;96;99;121;115;115;69;60;57;56;41;32;9;1;0
    02063-Pozohondo;826;20;23;25;32;44;40;49;50;59;61;67;65;52;47;46;47;62;25;11;1;0
    02064-Pozo-Lorente;208;5;3;3;6;10;11;11;6;19;12;22;23;14;10;17;14;11;8;3;0;0
    02065-Pozuelo;255;3;4;7;5;10;16;15;9;22;26;26;18;16;19;17;16;11;8;7;0;0
    02066-Recueja, La;133;0;1;4;6;6;4;4;7;5;9;16;8;7;14;14;13;6;6;2;1;0
    02067-Riópar;687;32;27;23;31;32;39;43;33;48;50;65;64;54;42;34;25;24;13;5;3;0
    02068-Robledo;200;3;8;5;7;10;8;16;12;17;15;22;14;14;7;12;10;9;10;1;0;0
    02069-Roda, La;7,818;390;416;435;447;409;475;486;584;657;621;643;587;405;370;277;230;212;129;36;7;2
    02070-Salobre;258;10;7;12;12;9;10;10;15;17;17;23;22;12;11;16;19;21;12;3;0;0
    02071-San Pedro;627;11;14;25;25;49;37;42;36;35;50;63;47;55;32;25;28;27;22;4;0;0
    02072-Socovos;920;23;33;36;44;47;59;53;61;71;55;67;72;58;65;51;41;43;27;14;0;0
    02073-Tarazona de la Mancha;3,197;115;170;183;191;156;197;174;207;253;258;258;248;169;136;136;126;98;81;32;8;1
    02074-Tobarra;3,931;158;195;204;213;211;245;233;267;310;322;332;289;200;162;155;154;130;103;44;4;0
    02075-Valdeganga;1,038;39;30;46;47;46;62;65;84;92;81;64;85;57;57;57;49;40;25;10;2;0
    02076-Vianos;174;1;3;5;5;7;12;8;10;8;8;24;20;14;12;11;7;6;7;6;0;0
    02077-Villa de Ves;32;0;0;1;1;1;1;1;2;5;2;6;1;5;1;0;0;3;1;0;1;0
    02078-Villalgordo del Júcar;576;17;27;29;24;29;39;34;30;43;45;44;55;27;33;20;30;30;17;3;0;0
    02079-Villamalea;2,034;89;99;99;107;125;109;116;159;167;149;164;159;109;85;79;78;64;51;21;5;0
    02080-Villapalacios;304;4;11;10;11;15;23;21;19;23;24;25;26;21;13;14;18;12;8;3;1;2
    02081-Villarrobledo;12,456;609;700;730;719;754;765;873;930;1,047;985;986;874;627;501;421;360;303;189;70;12;1
    02082-Villatoya;65;0;0;3;1;2;2;3;3;2;6;7;9;4;9;4;3;2;3;1;1;0
    02083-Villavaliente;136;0;3;3;5;4;10;7;11;7;3;9;16;11;10;10;12;4;9;1;0;1
    02084-Villaverde de Guadalimar;173;2;3;4;6;8;7;7;7;10;12;19;28;17;11;10;7;8;4;2;1;0
    02085-Viveros;176;3;5;1;5;8;14;9;8;8;11;15;18;14;16;6;7;14;9;5;0;0
    02086-Yeste;1,375;32;30;42;49;68;62;63;68;81;94;102;115;92;86;94;103;89;70;28;6;1
    03002-Agost;2,357;106;118;123;116;113;139;119;167;202;200;204;189;133;115;113;80;60;40;19;1;0
    03003-Agres;306;11;8;12;12;22;19;11;23;22;23;30;30;22;23;17;10;6;3;2;0;0
    03004-Aigües;505;16;24;22;23;20;18;24;31;38;48;50;41;41;39;38;18;9;2;3;0;0
    03005-Albatera;6,260;363;347;397;358;396;406;412;558;548;485;454;402;297;265;202;166;114;67;21;1;1
    03006-Alcalalí;640;7;12;26;17;29;22;16;17;33;40;48;52;49;60;92;60;41;15;3;1;0
    03007-Alcocer de Planes;117;3;3;5;7;3;9;6;8;2;10;9;17;5;10;7;5;3;4;1;0;0
    03008-Alcoleja;93;2;4;2;1;2;3;5;7;7;1;7;8;11;6;5;8;10;3;0;1;0
    03009-Alcoy/Alcoi;28,866;1,201;1,450;1,598;1,552;1,535;1,587;1,646;2,126;2,354;2,285;2,386;2,142;1,819;1,534;1,283;1,003;740;472;132;18;3
    03010-Alfafara;202;7;7;7;12;21;3;11;11;12;23;23;16;11;7;10;10;6;5;0;0;0
    03011-Alfàs del Pi, l';10,187;312;418;530;523;471;513;490;620;725;753;837;742;606;672;695;572;420;199;78;8;3
    03012-Algorfa;1,461;57;58;61;58;49;51;59;87;88;104;94;105;104;150;156;98;56;17;7;2;0
    03013-Algueña;668;24;42;30;28;34;25;41;50;59;38;47;48;44;46;33;29;25;17;8;0;0
    03014-Alicante/Alacant;162,191;7,228;8,728;9,593;8,941;8,587;9,255;9,927;12,154;14,252;14,204;12,618;11,026;9,240;7,947;7,093;4,859;3,542;2,038;741;172;46
