localidad poblacion latitud longitud provincia ccaa
Albacete 173329 39 -1.52 Albacete Castilla-La_Mancha
Alcalá_de_Guadaíra 75279 37.2 -5.5 Sevilla Andalucía
Alcalá_de_Henares 195649 40.28 -3.22 Madrid Comunidad_de_Madrid
Alcobendas 117040 40.32 -3.38 Madrid Comunidad_de_Madrid
Alcorcón 170514 40.2 -3.5 Madrid Comunidad_de_Madrid
Alcoy 58994 38.42 -0.28 Alicante Comunidad_Valenciana
Algeciras 121957 36.11 -5.27 Cádiz Andalucía
Alicante 334887 38.2 -0.29 Alicante Comunidad_Valenciana
Almería 198533 36.5 -2.28 Almería Andalucía
Aranjuez 59607 40.03 -3.6 Madrid Comunidad_de_Madrid
Arganda_del_Rey 55389 40.19 -3.26 Madrid Comunidad_de_Madrid
Arona 81216 28.1 -16.68 Santa_Cruz_de_Tenerife Canarias
Arrecife 62988 29 -13.34 Las_Palmas Canarias
Ávila 57744 40.39 -4.42 Ávila Castilla_y_León
Avilés 78182 43.33 -5.56 Asturias Principado_de_Asturias
Badajoz 150702 38.53 -6.58 Badajoz Extremadura
Badalona 220440 41.27 2.15 Barcelona Cataluña
Baracaldo 100881 43.2 -2.57 Vizcaya País_Vasco
Barcelona 1636762 41.23 2.11 Barcelona Cataluña
Benalmádena 68128 36.6 -4.57 Málaga Andalucía
Benidorm 68721 38.32 -0.08 Alicante Comunidad_Valenciana
Bilbao 346843 43.15 -2.55 Vizcaya País_Vasco
Boadilla_del_Monte 54570 42.2 -3.42 Madrid Comunidad_de_Madrid
Burgos 175821 39.28 -6.22 Burgos Castilla_y_León
Cáceres 96126 36.32 -6.18 Cáceres Extremadura
Cádiz 116027 36.535 -6.225 Cádiz Andalucía
Calviá 50559 39.56 2.51 Islas_Baleares Islas_Baleares
Cartagena 214802 37.36 -0.59 Murcia Región_de_Murcia
Casteldefels 67004 41.27 1.97 Barcelona Cataluña
Castellón_de_la_Plana 171728 39.59 -0.02 Castellón Comunidad_Valenciana
Ceuta 84777 35.89 -5.31 Ceuta Ceuta
Chiclana_de_la_Frontera 84489 36.25 -6.09 Cádiz Andalucía
Ciudad_Real 74746 38.59 -3.55 Ciudad_Real Castilla-La_Mancha
Collado_Villalba 63679 40.36 -3.59 Madrid Comunidad_de_Madrid
Colmenar_Viejo 50752 40.39 -3.47 Madrid Comunidad_de_Madrid
Córdoba 325701 37.53 -4.47 Córdoba Andalucía
Cornellá_de_Llobregat 88592 41.35 2.08 Barcelona Cataluña
