,codigo_postal,municipio_limpio,ccaa,agencias_de_viajes,albergues,alojamientos_rurales,artesanos,atraque_de_cruceros_y_ferries,bares_y_cafeterías,bodegas,campings,campos_de_golf_y_campos_de_pitch&putt,comercios,convention_bureaux,empresas_de_alquiler_de_vehículos_y_embarcaciones,empresas_de_transporte_turístico,empresas_de_turismo_activo,escuelas_de_español_para_extranjeros,espacios_naturales_protegidos,estaciones_de_esquí_y_montaña,guías_turísticos,hoteles_y_apartamentos_turísticos,museos_y_centros_de_interés_turístico_visitable,opc,oficinas_de_información_turística,otros_servicios,palacios_de_congresos,playas,puertos_deportivos,restaurantes_y_empresas_turísticas_de_catering,seguridad_ciudadana,servicios_de_limpieza,servicios_turísticos_de_salud,taxis,turismo_industrial
0,00000,aldea_de_cuenca_hinojares,andalucia,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
1,00000,arroyo_frio_la_iruela,andalucia,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,
2,00000,cazorla,andalucia,,,,,,1.0,,,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,
3,00000,la_iruela,andalucia,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
4,00000,pozo_alcon,andalucia,,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,00720,es_castell,illes_balears,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
6,00760,ciutadella,illes_balears,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,01001,vitoria_gasteiz,euskadi_pais_vasco,1.0,1.0,,,,,,,,,,,,,,,,1.0,,2.0,1.0,,,,,,2.0,,,,,
8,01002,vitoria_gasteiz,euskadi_pais_vasco,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,
9,01003,vitoria_gasteiz,euskadi_pais_vasco,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
10,01007,vitoria_gasteiz,euskadi_pais_vasco,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
11,01008,vitoria_gasteiz,euskadi_pais_vasco,,,,,,1.0,,,,1.0,,,,,,,,,,,1.0,1.0,,,,,1.0,,,,,
12,01009,vitoria_gasteiz,euskadi_pais_vasco,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
13,01010,vitoria_gasteiz,euskadi_pais_vasco,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,
14,01013,vitoria_gasteiz,euskadi_pais_vasco,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
15,01110,santa_cruz_de_campezo,euskadi_pais_vasco,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,
16,01117,orbiso,euskadi_pais_vasco,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,01117,san_vicente_arana,euskadi_pais_vasco,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
18,01118,bernedo,euskadi_pais_vasco,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,01118,lagran,euskadi_pais_vasco,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
20,01118,urturi,euskadi_pais_vasco,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,
21,01119,bernedo,euskadi_pais_vasco,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,01119,urturi,euskadi_pais_vasco,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,01120,arraia_maeztu,euskadi_pais_vasco,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,01120,maeztu,euskadi_pais_vasco,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
25,01129,sabando,euskadi_pais_vasco,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,01129,virgala_mayor,euskadi_pais_vasco,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
27,01130,murgia,euskadi_pais_vasco,,,,,,1.0,,,,,,,,,,,,,2.0,,,1.0,,,,,,,,,,
28,01138,murua,euskadi_pais_vasco,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
29,01139,altube,euskadi_pais_vasco,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
30,01139,lukiano,euskadi_pais_vasco,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
31,01139,sarria,euskadi_pais_vasco,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
32,01165,oleta,euskadi_pais_vasco,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,01169,aramaio,euskadi_pais_vasco,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,01169,aramaiona,euskadi_pais_vasco,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,01169,barrio_arraga_2_ibarra_de_aramaio,euskadi_pais_vasco,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
36,01170,ollerias_elosu,euskadi_pais_vasco,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,01191,hueto_arriba,euskadi_pais_vasco,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,01191,trespuentes,euskadi_pais_vasco,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
39,01192,argomaniz_elburgo,euskadi_pais_vasco,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
40,01193,arkaia,euskadi_pais_vasco,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,01195,arinez,euskadi_pais_vasco,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,01200,agurain,euskadi_pais_vasco,,,1.0,,,2.0,,,,,,,,,,,,,,,,1.0,,,,,3.0,,,,,1.0
43,01206,marieta,euskadi_pais_vasco,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
44,01206,maturana,euskadi_pais_vasco,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,01207,san_roman_de_san_millan,euskadi_pais_vasco,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
46,01208,albeniz_asparrena,euskadi_pais_vasco,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
47,01208,galarreta,euskadi_pais_vasco,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
48,01208,larrea,euskadi_pais_vasco,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
49,01208,zalduondo,euskadi_pais_vasco,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,01212,portilla,euskadi_pais_vasco,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,01230,iruna_de_oca,euskadi_pais_vasco,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,01250,araia,euskadi_pais_vasco,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,
53,01260,araia,euskadi_pais_vasco,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
54,01260,asparrena,euskadi_pais_vasco,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,01260,eguino,euskadi_pais_vasco,,,1.0,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,
56,01300,laguardia,euskadi_pais_vasco,,,3.0,,,2.0,8.0,,,,,,1.0,,,,,,2.0,,,,,,,,2.0,,,1.0,,
57,01300,laserna_laguardia,euskadi_pais_vasco,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
58,01306,lapuebla_de_labarca,euskadi_pais_vasco,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
59,01307,samaniego,euskadi_pais_vasco,,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
60,01307,villabuena_de_alava,euskadi_pais_vasco,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
61,01309,laguardia,euskadi_pais_vasco,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
62,01309,leza,euskadi_pais_vasco,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
63,01309,paganos_laguardia,euskadi_pais_vasco,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,
64,01320,oion,euskadi_pais_vasco,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
65,01320,oyon,euskadi_pais_vasco,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
66,01321,laserna,euskadi_pais_vasco,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,01322,moreda,euskadi_pais_vasco,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
68,01330,labastida,euskadi_pais_vasco,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
69,01340,elciego,euskadi_pais_vasco,,,2.0,,,,2.0,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,
70,01400,laudio_llodio,euskadi_pais_vasco,,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,
71,01400,llodio,euskadi_pais_vasco,,,,,,2.0,,,,,,,1.0,,,,,,,,,,,,,,2.0,,,,,
72,01409,okondo,euskadi_pais_vasco,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
73,01420,pobes,euskadi_pais_vasco,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,01423,salinas_de_anana,euskadi_pais_vasco,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
75,01423,sobron,euskadi_pais_vasco,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
76,01423,villanueva_de_valdegovia,euskadi_pais_vasco,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
77,01426,salinas_de_anana,euskadi_pais_vasco,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,01426,salinas_de_anana_gesaltza_anana,euskadi_pais_vasco,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
79,01426,villanane,euskadi_pais_vasco,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
80,01426,villanueva_de_valdegovia,euskadi_pais_vasco,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
81,01427,boveda,euskadi_pais_vasco,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,01427,lalastra,euskadi_pais_vasco,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
83,01428,lasierra,euskadi_pais_vasco,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,01428,tuyo,euskadi_pais_vasco,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,01440,izarra,euskadi_pais_vasco,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
86,01449,oiardo,euskadi_pais_vasco,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
