,municipio_limpio,provincia,superficie_urbana,uds_almacen,uds_comercial,uds_cultural,uds_hosteleria,uds_industrial,uds_deportivo,uds_oficinas,uds_religioso,uds_espectaculos
0,abengibre,albacete,"302,079",13,3,2,1,169,1,2,1,0
1,alatoz,albacete,"339,890",41,2,1,1,140,4,2,2,0
2,albacete,albacete,"29,660,602","38,983","6,164",179,84,"4,363",300,"1,756",56,9
3,albatana,albacete,"372,491",22,2,1,1,87,5,1,1,1
4,alborea,albacete,"200,096",87,7,2,4,102,4,3,1,0
5,alcadozo,albacete,"359,015",46,3,2,0,201,5,1,5,1
6,alcala_del_jucar,albacete,"394,154",543,26,6,24,130,16,1,6,0
7,alcaraz,albacete,"523,175",79,15,8,23,324,6,3,7,1
8,almansa,albacete,"5,068,208","4,635",434,19,25,737,49,119,7,3
9,alpera,albacete,"745,765",92,24,4,2,200,3,2,2,0
10,ayna,albacete,"270,929",91,9,7,5,378,8,0,8,0
11,balazote,albacete,"652,199",245,17,4,3,288,8,10,3,1
12,balsa_de_ves,albacete,"224,602",29,0,2,1,126,2,1,4,0
13,ballestero,albacete,"479,808",11,4,5,5,104,4,1,3,1
14,barrax,albacete,"1,140,524",194,8,1,5,163,5,8,4,2
15,bienservida,albacete,"296,771",91,7,4,3,107,3,2,2,1
16,bogarra,albacete,"213,701",424,21,7,6,47,2,2,1,0
17,bonete,albacete,"552,195",56,15,2,4,145,6,4,1,1
18,bonillo,albacete,"680,141",115,20,4,11,305,4,3,2,1
19,carcelen,albacete,"172,367",123,3,1,4,15,0,2,1,1
20,casas_de_juan_nunez,albacete,"423,428",31,10,2,4,121,4,5,1,0
21,casas_de_lazaro,albacete,"218,062",163,0,4,0,34,5,0,3,0
22,casas_de_ves,albacete,"288,579",44,7,1,1,96,1,1,1,1
23,casas_ibanez,albacete,"1,296,520",252,96,5,29,533,11,18,3,3
24,caudete,albacete,"2,705,678","2,702",224,10,13,340,12,34,6,1
25,cenizate,albacete,"458,128",31,6,0,1,107,4,3,2,2
26,corral_rubio,albacete,"348,458",10,3,3,38,54,3,1,3,0
27,cotillas,albacete,"53,645",8,0,0,0,59,1,0,1,0
28,chinchilla_de_monte_aragon,albacete,"7,125,767","1,327",34,10,33,621,12,51,16,2
29,elche_de_la_sierra,albacete,"1,274,743",443,102,8,6,614,19,9,7,2
30,ferez,albacete,"97,793",89,8,2,1,3,2,1,2,0
31,fuensanta,albacete,"286,306",4,4,0,3,134,4,1,2,0
32,fuente_alamo,albacete,"966,411",168,28,5,4,241,15,2,1,1
33,fuentealbilla,albacete,"499,405",93,18,6,3,243,4,3,3,0
34,gineta,albacete,"1,992,121",208,18,3,3,254,9,16,1,3
35,golosalvo,albacete,"72,708",6,1,0,2,37,1,1,1,0
36,hellin,albacete,"7,735,899","4,133",625,45,28,"1,600",35,92,25,4
37,herrera,albacete,"766,557",32,0,2,1,60,2,0,1,0
38,higueruela,albacete,"444,122",176,5,4,3,36,5,3,3,1
39,hoya_gonzalo,albacete,"411,332",9,3,4,0,88,2,1,3,0
40,jorquera,albacete,"166,286",35,1,2,1,104,1,3,2,0
41,letur,albacete,"414,966",24,7,4,9,243,6,2,4,0
42,lezuza,albacete,"984,319",83,6,4,5,295,6,2,7,2
43,lietor,albacete,"305,565",151,16,3,2,214,6,1,5,1
44,madrigueras,albacete,"1,277,922",202,40,5,9,883,21,9,2,3
45,mahora,albacete,"562,198",99,8,1,7,165,1,2,0,1
46,masegoso,albacete,"106,438",11,0,1,0,104,8,1,4,3
47,minaya,albacete,"789,589",59,6,2,4,278,3,3,2,1
48,molinicos,albacete,"257,850",48,10,10,4,501,2,1,6,0
49,montalvos,albacete,"449,283",3,0,0,2,66,0,0,1,0
50,montealegre_del_castillo,albacete,"848,117",246,22,1,4,127,3,2,1,0
51,motilleja,albacete,"301,497",97,1,1,1,35,4,1,1,1
52,munera,albacete,"1,073,684",394,52,2,5,194,10,5,2,1
53,navas_de_jorquera,albacete,"242,637",53,3,1,4,94,2,0,2,1
54,nerpio,albacete,"426,393",173,10,6,4,375,5,3,6,0
55,ontur,albacete,"585,764",138,20,4,4,183,6,2,2,1
56,ossa_de_montiel,albacete,"1,419,704",23,18,3,19,292,2,1,0,0
57,paterna_del_madera,albacete,"146,750",98,4,1,2,21,3,2,1,1
58,penascosa,albacete,"168,130",119,0,7,1,37,3,0,4,1
59,penas_de_san_pedro,albacete,"584,270",73,2,2,6,265,5,3,7,0
60,petrola,albacete,"323,954",59,1,1,5,152,3,1,2,1
61,povedilla,albacete,"133,773",52,2,1,1,65,0,1,1,0
62,pozohondo,albacete,"950,835",101,10,4,8,502,8,2,5,3
63,pozo_lorente,albacete,"273,836",22,2,0,1,80,2,0,0,0
64,pozuelo,albacete,"464,388",76,7,2,2,97,3,2,2,0
65,recueja,albacete,"52,847",18,1,2,0,62,2,0,2,0
66,riopar,albacete,"813,092",107,27,3,16,156,12,4,1,1
67,robledo,albacete,"746,474",36,2,2,2,92,3,1,3,0
68,roda,albacete,"5,096,330","2,977",369,15,18,838,48,56,8,4
69,salobre,albacete,"317,161",114,1,1,3,21,3,2,2,1
70,san_pedro,albacete,"638,767",58,4,2,1,127,1,0,2,0
71,socovos,albacete,"503,956",58,15,5,5,339,2,4,2,0
72,tarazona_de_la_mancha,albacete,"1,580,074",440,72,4,8,"1,006",17,9,7,1
73,tobarra,albacete,"3,182,079","1,429",214,10,14,417,65,17,14,1
74,valdeganga,albacete,"581,086",73,18,3,5,210,3,1,0,0
75,vianos,albacete,"160,690",35,1,0,3,80,1,1,2,0
76,villa_de_ves,albacete,"114,869",43,0,2,0,21,3,0,1,0
77,villalgordo_del_jucar,albacete,"359,638",80,4,2,4,134,5,0,1,0
78,villamalea,albacete,"1,351,089",190,48,4,2,561,10,9,2,3
79,villapalacios,albacete,"189,613",43,4,2,3,44,0,2,1,1
80,villarrobledo,albacete,"10,606,679","3,524",378,21,27,"1,477",103,66,11,1
81,villatoya,albacete,"114,433",8,0,1,4,85,8,3,2,0
82,villavaliente,albacete,"224,780",11,0,3,2,76,1,2,1,0
83,villaverde_de_guadalimar,albacete,"151,972",7,2,2,0,189,6,0,1,0
84,viveros,albacete,"219,237",10,2,1,5,70,4,0,2,0
85,yeste,albacete,"917,449",625,52,24,22,"1,708",17,13,14,1
86,pozo_canada,albacete,"647,055",263,30,3,4,222,2,2,3,1
87,adsubia,alicante,"222,761",60,12,1,5,69,12,2,3,0
88,agost,alicante,"1,440,782",554,111,8,64,373,15,12,1,2
89,agres,alicante,"126,777",37,5,2,2,72,2,0,3,0
90,aigues,alicante,"410,417",45,9,1,1,60,8,0,1,0
91,albatera,alicante,"1,544,777","1,841",569,14,13,"1,009",26,17,3,6
92,alcalali,alicante,"628,104",108,3,4,6,10,3,2,3,1
93,alcocer_de_planes,alicante,"89,711",13,0,1,0,25,6,1,1,0
94,alcoleja,alicante,"46,936",21,1,2,0,18,0,0,1,0
95,alcoy,alicante,"7,533,801","18,726","2,096",70,20,"1,260",55,336,30,5
96,alfafara,alicante,"147,141",15,1,3,4,50,4,2,3,0
97,alfas_del_pi,alicante,"10,970,653","3,813",793,10,"1,349",621,104,25,2,2
98,algorfa,alicante,"2,321,182",556,149,4,6,74,9,4,1,2
99,alguena,alicante,"435,936",50,11,6,4,418,12,3,3,1
100,alicante,alicante,"40,227,248","79,481","17,184",186,276,"2,339",732,"3,611",91,10
101,almoradi,alicante,"2,470,565","3,700",855,19,145,318,23,62,20,1
102,almudaina,alicante,"40,609",3,1,0,0,53,2,0,0,0
103,alqueria_d_asnar,alicante,"204,096",8,1,1,1,66,3,3,1,0
104,altea,alicante,"8,385,703","9,105","1,080",21,49,818,47,62,12,0
105,aspe,alicante,"3,219,827","3,070",557,21,45,509,11,60,5,2
106,balones,alicante,"34,582",4,1,1,1,35,2,0,1,0
107,banyeres_de_mariola,alicante,"2,371,652","1,320",260,8,4,957,23,39,6,10
108,benasau,alicante,"65,164",1,0,1,0,40,1,2,2,0
109,beneixama,alicante,"609,647",83,27,4,7,391,30,1,5,2
110,benejuzar,alicante,"955,743",540,187,5,13,258,4,3,3,1
111,benferri,alicante,"619,357",173,10,1,2,95,11,4,1,0
112,beniarbeig,alicante,"563,158",415,55,4,1,80,6,2,0,0
113,beniarda,alicante,"20,435",22,1,1,0,2,0,0,1,0
114,beniarres,alicante,"240,935",59,3,2,4,45,3,0,4,1
115,benigembla,alicante,"157,521",64,3,1,0,6,0,1,2,0
116,benidoleig,alicante,"680,771",133,11,1,4,68,7,2,1,2
117,benidorm,alicante,"14,439,983","22,656","4,464",25,487,"2,976",78,376,12,28
118,benifallim,alicante,"28,077",0,1,0,0,40,2,0,1,0
119,benifato,alicante,"25,985",2,0,1,2,18,1,0,1,0
120,benijofar,alicante,"1,335,834",307,139,4,1,46,9,5,1,0
121,benilloba,alicante,"145,228",26,4,1,2,106,4,0,1,0
122,benillup,alicante,"16,596",0,0,1,1,15,1,0,1,0
123,benimantell,alicante,"73,780",112,12,2,3,47,2,0,1,0
124,benimarfull,alicante,"224,743",5,0,1,0,69,7,1,1,0
125,benimassot,alicante,"26,729",4,0,1,1,20,4,0,1,0
126,benimeli,alicante,"72,334",20,1,2,1,29,4,0,1,0
127,benissa,alicante,"6,561,066","2,999",279,12,89,236,66,44,12,1
128,benitachell,alicante,"3,759,527",521,91,5,6,145,28,4,2,0
129,biar,alicante,"1,933,040",995,227,11,70,201,14,10,6,3
130,bigastro,alicante,"992,193","1,137",155,7,1,385,11,5,1,1
131,bolulla,alicante,"51,017",31,2,1,0,2,0,1,1,0
132,busot,alicante,"2,952,028",67,16,3,2,56,11,1,2,0
133,calp,alicante,"9,737,241","11,161","1,771",11,373,306,178,97,5,2
134,callosa_d_en_sarria,alicante,"1,605,795","1,581",262,5,68,65,8,24,3,0
135,callosa_de_segura,alicante,"2,077,014","2,204",691,28,15,"1,075",22,42,13,1
136,campello,alicante,"6,364,352","15,997","1,328",16,40,135,84,31,8,0
137,campo_de_mirra,alicante,"166,483",10,5,3,3,72,3,1,2,0
138,canada,alicante,"441,816",69,20,2,2,211,5,1,3,0
139,castalla,alicante,"3,258,314","1,797",341,7,23,872,27,25,3,2
140,castell_de_castells,alicante,"98,008",28,3,1,4,121,2,2,1,0
141,catral,alicante,"1,162,511",738,217,7,15,401,11,24,5,1
