,cp,municipio,provincia,ccaa
0,01001,vitoria_gasteiz,araba,pais_vasco
1,01002,vitoria_gasteiz,araba,pais_vasco
2,01003,vitoria_gasteiz,araba,pais_vasco
3,01004,vitoria_gasteiz,araba,pais_vasco
4,01005,vitoria_gasteiz,araba,pais_vasco
5,01006,vitoria_gasteiz,araba,pais_vasco
6,01007,vitoria_gasteiz,araba,pais_vasco
7,01008,vitoria_gasteiz,araba,pais_vasco
8,01009,vitoria_gasteiz,araba,pais_vasco
9,01010,vitoria_gasteiz,araba,pais_vasco
10,01012,vitoria_gasteiz,araba,pais_vasco
11,01013,vitoria_gasteiz,araba,pais_vasco
12,01015,vitoria_gasteiz,araba,pais_vasco
13,01110,campezo,araba,pais_vasco
14,01117,campezo,araba,pais_vasco
15,01118,bernedo,araba,pais_vasco
16,01120,arraia_maeztu,araba,pais_vasco
17,01128,bernedo,araba,pais_vasco
18,01129,arraia_maeztu,araba,pais_vasco
19,01130,zuia,araba,pais_vasco
20,01138,zigoitia,araba,pais_vasco
21,01139,zuia,araba,pais_vasco
22,01160,aramaio,araba,pais_vasco
23,01165,aramaio,araba,pais_vasco
24,01169,aramaio,araba,pais_vasco
25,01170,legutio,araba,pais_vasco
26,01171,legutio,araba,pais_vasco
27,01191,vitoria_gasteiz,araba,pais_vasco
28,01192,elburgo,araba,pais_vasco
29,01193,alegria_dulantzi,araba,pais_vasco
30,01194,bernedo,araba,pais_vasco
31,01195,vitoria_gasteiz,araba,pais_vasco
32,01196,zigoitia,araba,pais_vasco
33,01200,agurain,araba,pais_vasco
34,01206,barrundia,araba,pais_vasco
35,01207,iruraiz_gauna,araba,pais_vasco
36,01208,asparrena,araba,pais_vasco
37,01211,arminon,araba,pais_vasco
38,01212,berantevilla,araba,pais_vasco
39,01213,erriberagoitia,araba,pais_vasco
40,01216,bernedo,araba,pais_vasco
41,01220,arminon,araba,pais_vasco
42,01230,iruna_oka,araba,pais_vasco
43,01240,alegria_dulantzi,araba,pais_vasco
44,01250,asparrena,araba,pais_vasco
45,01260,asparrena,araba,pais_vasco
46,01300,laguardia,araba,pais_vasco
47,01306,lapuebla_de_labarca,araba,pais_vasco
48,01307,banos_de_ebro,araba,pais_vasco
49,01308,kripan,araba,pais_vasco
50,01309,elvillar,araba,pais_vasco
51,01320,oyon_oion,araba,pais_vasco
52,01321,laguardia,araba,pais_vasco
53,01322,moreda_de_alava,araba,pais_vasco
54,01330,labastida,araba,pais_vasco
55,01340,elciego,araba,pais_vasco
56,01400,laudio,araba,pais_vasco
57,01408,ayala,araba,pais_vasco
58,01409,okondo,araba,pais_vasco
59,01420,erriberagoitia,araba,pais_vasco
60,01423,erriberagoitia,araba,pais_vasco
61,01426,erriberagoitia,araba,pais_vasco
62,01427,valdegovia,araba,pais_vasco
63,01428,erriberagoitia,araba,pais_vasco
64,01430,kuartango,araba,pais_vasco
65,01439,kuartango,araba,pais_vasco
66,01440,urkabustaiz,araba,pais_vasco
67,01449,urkabustaiz,araba,pais_vasco
68,01450,amurrio,araba,pais_vasco
69,01468,amurrio,araba,pais_vasco
70,01470,amurrio,araba,pais_vasco
71,01474,artziniega,araba,pais_vasco
72,01476,ayala,araba,pais_vasco
73,01477,ayala,araba,pais_vasco
74,01478,artziniega,araba,pais_vasco
75,01479,ayala,araba,pais_vasco
76,01510,arratzua_ubarrundia,araba,pais_vasco
77,01520,arratzua_ubarrundia,araba,pais_vasco
78,02001,albacete,albacete,castilla_la_mancha
79,02002,albacete,albacete,castilla_la_mancha
80,02003,albacete,albacete,castilla_la_mancha
81,02004,albacete,albacete,castilla_la_mancha
82,02005,albacete,albacete,castilla_la_mancha
83,02006,albacete,albacete,castilla_la_mancha
84,02007,albacete,albacete,castilla_la_mancha
85,02008,albacete,albacete,castilla_la_mancha
86,02049,albacete,albacete,castilla_la_mancha
87,02071,albacete,albacete,castilla_la_mancha
88,02100,tarazona_de_la_mancha,albacete,castilla_la_mancha
89,02110,la_gineta,albacete,castilla_la_mancha
90,02120,penas_de_san_pedro,albacete,castilla_la_mancha
91,02124,alcadozo,albacete,castilla_la_mancha
