;Destino;Establecimiento;Oficio;;Localidad;Comunidad autónoma;Dirección;;Cód postal;;Correo Electrónico;Teléfono;Dir. WEB;Facebook;Twiter;;;Blogger;Youtube
;Águilas;APARTAMENTOS TURÍSTICOS ÁGUILAS DE LOS COLLADOS;Hoteles y apartamentos turísticos;;ÁGUILAS;Región de Murcia;Ctra Calabardina s/n ;;30880;;rservas@aguilasdeloscollados.com;968419100;www.aguilasdeloscollados.com;;;;;;
;Águilas;AUDITORIO Y PALACIO DE CONGRESOS INFANTA DOÑA ELENA;Palacios de congresos;;Águilas;Región de Murcia;C/ Aire Nº 153;;30880;;auditorio@ayuntamientodeaguilas.org;968413771;;;;;;;
;Águilas;CAFÉ BAR BAMBOO;Bares y cafeterías;;Águilas;Región de Murcia;PLAZA GUTIÉRREZ MELLADO, 2;;30880;;comicoctel@hotmail.com;868975067;;CAFE BAR BAMBOO;;;;;CAFEBAMBOOOK
;Águilas;CAMPING BELLAVISTA;Campings;;Águilas;Región de Murcia;CTRA. DE VERA, KM.3;;30880;;info@campingbellavista.com;620260108;www.campingbellavista.com;https://www.facebook.com/pages/Camping-BellaVista-Aguilas-Murcia-Espa%C3%B1a/107815869289335?ref=hl;https://twitter.com/CAMPBELLAVISTA;;;;https://www.youtube.com/channel/UCnzXRHg4TgjqmId_iL9q4-w
;Águilas;Capiola Viajes;Agencias de viajes;;Águilas;Región de Murcia;C/ Mercado 4;;30880;;molinatina@hotmail.es;968414126;;Capiola Viajes ;Capiola Viajes;;;;
;Águilas;Casol Visión;Comercios;;Águilas;Región de Murcia;C/ Dr. Luis Prieto, 30 ;;30880;;info@casolvision.es;968493482;casolvision.es;casol vision;casol vision;;;;
;Águilas;CASTILLO DE SAN JUAN DE LAS ÁGUILAS;Museos y centros de interés turístico visitable;;Águilas;Región de Murcia;PLAZA DE ESPAÑA, 14;;30880;;museo@ayuntamientodeaguilas.org;968418867;;;;;;;
;Águilas;CENTRO DE BUCEO ESTELA;Empresas de turismo activo;;Águilas;Región de Murcia;PASEO DE PARRA, Nº 44;;30880;;estela@escueladebuceo.com;968448144;;;;;;;
;Águilas;Centro de Interpretación del Mar - Aquarium Águilas;Museos y centros de interés turístico visitable;;Águilas;Región de Murcia;Dr. Barnard, s/n;;30880;;museo@ayuntamientodeaguilas.org;968493647;;;;;;;
;Águilas;CENTRO OPTICO AGUILAS (ZAS VISIÓN);Comercios;;Águilas;Región de Murcia;CONDE DE ARANDA, 20;;30880;;a84pinar@hotmail.com;968448255;WWW.ZASVISIONAGUILAS.COM;ZAS VISION AGUILAS;@zasvisionaguila;;;;
;Águilas;CONEXION ;Bares y cafeterías;;aguilas;Región de Murcia;Plaza Juan Soler 6;;30880;;salvaperezfernandez@hotmail.com;616022657;;;;;;;
;Águilas;Droguería-Perfumería Santamaría;Comercios;;Águilas;Región de Murcia;C/ Conde de Aranda, 2;;30880;;perfumeriasantamaria@gmail.com;968413769;;;;;;;
;Águilas;"EMBARCACIÓN TURÍSTICA ""DON PANCHO""";Empresas de turismo activo;;AGUILAS;Región de Murcia;AVDA. JIMENEZ RUANO - POL.IND EL LABRADORCICO, 52;;30880;;info@aguilasserviciosturisticos.com;658017357;;Barco Don Pancho;@DonPancho2010;;;;
;Águilas;FEDEROPTICOS RUIZ JORDAN;Comercios;;Águilas;Región de Murcia;CONDE DE ARANDA, 6 BAJOS;;30880;;ruizjordan@federopticos.com;968414468;www.federopticos.com;federopticosruizjordan;;;;;
;Águilas;HELADERÍA VENEZIA;Bares y cafeterías;;ÁGUILAS;Región de Murcia;AVDA. JUAN CARLOS I, 6;;30880;;vicentesanchezros@hotmail.com;605841828;;;;;;;
;Águilas;HOTEL PUERTO JUAN MONTIEL;Hoteles y apartamentos turísticos;;ÁGUILAS;Región de Murcia;AVDA. PUERTO DEPORTIVO, 1;;30880;;eugenio.sos@hotelpuertojuanmontiel.com;968493493;www.hotelpuertojuanmontiel.com;hotelpuertojuanmontiel;@DisfrutaLaMar    @Enauticaspdjm  ;;;;http://www.youtube.com/watch?v=9aPey24Yb-Y
;Águilas;JOYERIA LA JOYITA;Comercios;;ÁGUILAS;Región de Murcia;AVDA. JUAN CARLOS I, 15;;30880;;joyerialajoyita@hotmail.es;968446858;;facebook.com/joyerialajoyita;;;;;
;Águilas;LA TABERNA MEDIÁTICA;Bares y cafeterías;;Águilas;Región de Murcia;JUAN JIMENEZ CROUISELLES, Nº 5;;30880;;asoler80@hotmail.com;669094634;;;;;;;
;Águilas;Lencería Corsetería Evora;Comercios;;Águilas;Región de Murcia;Pasaje Montalbán, 15;;30880;;josefacuenca@yahoo.es;968447954;;Lencería Corseteria Evora;;;;;
;Águilas;Luz de Velas;Comercios;;Águilas;Región de Murcia;C/ Rey Carlos III, 24;;30880;;Luzdevelas1@gmail.com;968448786;;luzdevelascaranaval      luzdevelas;;;;;
;Águilas;MUSEO ARQUEOLÓGICO DE ÁGUILAS;Museos y centros de interés turístico visitable;;Águilas;Región de Murcia;PLAZA DE ESPAÑA, 14;;30880;;museo@ayuntamientodeaguilas.org;968418867;;;;;;;
;Águilas;Oficina de Turismo de Águilas;Oficinas de información turística;;Águilas;Región de Murcia;Pza. Antonio Cortijos, S/N ;;30880;;turismo@aguilas.es;968493173;;;;;;;
;Águilas;ÓPTICA AULLÓN;Comercios;;Águilas;Región de Murcia;C/ ISABEL LA CATÓLICA, Nº 4;;30880;;opticaaullon@hotmail.com;968410465;;óptica aullón;;;;;
;Águilas;OPTICALIA AGUILAS;Comercios;;AGUILAS;Región de Murcia;C/ CONDE DE ARANDA, 34;;30380;;opticaliaaguilas@opticalia.es;968493011;;OPTICALIA MURCIA;;;;;
;Águilas;ORTÍZ FLORISTAS;Comercios;;ÁGUILAS;Región de Murcia;C/ ISIDORO DE LA CIERVA, 24;;30880;;ortizfloristas@ortizfloristas.com;968447979;;https://www.facebook.com/ortiz.floristas;;;;;
;Águilas;Playa de Calabardina;Playas;;Águilas;Región de Murcia;Ayuntamiento de Águilas, Plaza de España, nº 14;;30880;;enrique@ayuntamientodeaguilas.org;968418893;;;;;;;
;Águilas;Playa de Calarreona;Playas;;Águilas;Región de Murcia;Ayuntamiento de Águilas, Plaza de España, nº 14;;30880;;enrique@ayuntamientodeaguilas.org;968418893;;;;;;;
;Águilas;PLAYA DE LA COLONIA;Playas;;Águilas;Región de Murcia;Paseo de la Constitución;;30880;;enrique@ayuntamientodeaguilas.org;968418893;;;;;;;
