
| IDCENTR |                        NOMBRE                         |  IDAREA   | IDZONAB | TIPOC |     DIRECCION     |     LOCALIDAD     |     TELEFONO      | ESDOCE |       CODMU       |        CP         |     D_GESTION     |   C_GESTION_ID    |

| 117937  | ALEGRÍA-DULANTZI                                      |      8664 |   22758 |     2 | IRURAIZ, Nº 2     | ALEGRÍA-DULANTZI  | 945400890         | N      |             10014 | 01240              | SERVICIO VASCO DE |                 1 |

| 118043  | AMURRIO                                               |      8669 |   22808 |     1 | FELIX MURGA, Nº 8 | AMURRIO           | 945025900         | S      |             10029 | 01470             | SERVICIO VASCO DE |                 1 |

| 117654  | ARAMAIONA                                             |      8732 |   23468 |     2 | NARDEAGA, S/N     | ARAMAIO           | 945445340         | N      |             10035 | 01160             | SERVICIO VASCO DE |                 1 |

| 118044  | ARTZINIEGA                                            |      8669 |   22808 |     2 | PLAZA DE ARRIBA,  | ARTZINIEGA        | 945396563         | N      |             10040 | 01474              | SERVICIO VASCO DE |                 1 |

| 117944  | DURANA                                                |      8664 |   25350 |     2 | PLAZA DE LA       | DURANA            | 945385001         | N      |             10088 | 01520             | SERVICIO VASCO DE |                 1 |

| 117938  | ARAIA                                                 |      8664 |   22758 |     2 | SANSARREKA        | ARAIA             | 945304741         | N      |             10091 | 01250             | SERVICIO VASCO DE |                 1 |

| 118045  | AIARA - RESPALDIZA                                    |      8669 |   22808 |     2 | Bº DE LA IGLESIA, | RESPALDIZA        | 945399332         | N      |             10105 | 01476             | SERVICIO VASCO DE |                 1 |

| 125927  | LUIAONDO                                              |      8669 |   22808 |     2 | LATORRE KALEA, Nº | LUIAONDO          | 945393864         | N      |             10105 | 01479              | SERVICIO VASCO DE |                 1 |

| 117939  | OZAETA                                                |      8664 |   22758 |     2 | C/ BOILAR, Nº 12  | BARRUNDIA         | 945385003         | N      |             10133 | 01206              | SERVICIO VASCO DE |                 1 |

| 117970  | BERANTEVILLA                                          |      8664 |   25349 |     2 | CL MAYOR, Nº 34   | BERANTEVILLA      | 945385004         | N      |             10148 | 01211             | SERVICIO VASCO DE |                 1 |

| 117942  | BERNEDO                                               |      8664 |   22759 |     2 | C/ LA SARREA, Nº  | BERNEDO           | 945378405         | N      |             10164 | 01118              | SERVICIO VASCO DE |                 1 |

| 117943  | KANPEZU-CAMPEZO                                       |      8664 |   22759 |     1 | JUNTAS GENERALES, | SANTA CRUZ DE     | 945415345         | N      |             10170 | 01110             | SERVICIO VASCO DE |                 1 |

| 117948  | GOPEGI                                                |      8664 |   22763 |     2 | UDALETXEKO        | GOPEGI            | 945385020         | N      |             10186 | 01138              | SERVICIO VASCO DE |                 1 |

| 117949  | ZUAZO DE KUARTANGO                                    |      8664 |   22763 |     2 | ZUAZO DE          | ZUHATZU KUARTANGO | 945385021         | N      |             10203 | 1430              | SERVICIO VASCO DE |                 1 |

| 117955  | ELCIEGO                                               |      9082 |   23441 |     2 | LAS ESCUELAS, S/N | ELCIEGO           | 945606299         | N      |             10225 | 01340             | SERVICIO VASCO DE |                 1 |

| 125921  | ELVILLAR                                              |      9082 |   23441 |     2 | PLAZA DE SANTA    | ELVILLAR/BILAR    | 945604002         | N      |             10231 | 01309             | SERVICIO VASCO DE |                 1 |

| 117971  | LABASTIDA                                             |      9082 |   23441 |     1 | LA PIÑUELA, Nº 2  | LABASTIDA         | 945331258         | N      |             10284 | 01330             | SERVICIO VASCO DE |                 1 |

| 117956  | LAGUARDIA                                             |      9082 |   23441 |     1 | PLAZA DE LA       | LAGUARDIA         | 945600184         | N      |             10318 | 01300             | SERVICIO VASCO DE |                 1 |

| 117957  | LANCIEGO/LANTZIEGO                                    |      9082 |   23441 |     2 | PLAZA DE LA       | LANCIEGO/LANTZIEG | 945628262         | N      |             10323 | 01308             | SERVICIO VASCO DE |                 1 |

| 117958  | LA PUEBLA DE LABARCA                                  |      9082 |   23441 |     2 | TEJERIAS, S/N     | LA PUEBLA DE      | 945627296         | N      |             10339 | 01306             | SERVICIO VASCO DE |                 1 |

| 117959  | LEZA                                                  |      9082 |   23441 |     2 | CL MAYOR, Nº 4    | LEZA              | 945605066         | N      |             10344 | 01309             | SERVICIO VASCO DE |                 1 |

| 118092  | LAUDIO                                                |      8669 |   23454 |     1 | ZUMALAKARREGUI,   | LAUDIO/LLODIO     | 946007480         | N      |             10360 | 1400              | SERVICIO VASCO DE |                 1 |

| 117941  | MAEZTU                                                |      8664 |   22759 |     2 | CL HERRERÍA, S/N  | MAEZTU/MAESTU     | 945410010         | N      |             10376 | 01120             | SERVICIO VASCO DE |                 1 |

| 117960  | MOREDA                                                |      9082 |   23441 |     2 | CL LAS CUEVAS, Nº | MOREDA DE ÁLAVA   | 945622895         | N      |             10395 | 01322             | SERVICIO VASCO DE |                 1 |

| 118093  | OKONDO                                                |      8669 |   23454 |     2 | C/ CARLOS         | OKONDO            | 945898097         | N      |             10421 | 1409              | SERVICIO VASCO DE |                 1 |

| 117961  | OION                                                  |      9082 |   23441 |     1 | LOS FUEROS, S/N   | OYÓN-OION         | 945622155         | N      |             10437 | 01320             | SERVICIO VASCO DE |                 1 |

| 117972  | PEÑACERRADA-URIZAHARRA                                |      8664 |   25349 |     2 | PLAZA DE LOS      | PEÑACERRADA-URIZA | 945367006         | N      |             10442 | 01212             | SERVICIO VASCO DE |                 1 |

| 117950  | POBES                                                 |      8664 |   22763 |     2 | AYUNTAMIENTO, S/N | POBES             | 945385010         | N      |             10468 | 1420              | SERVICIO VASCO DE |                 1 |

| 117975  | RIVABELLOSA                                           |      8664 |   25349 |     2 | PARRALES, Nº 10   | RIVABELLOSA       | 945331258         | N      |             10474 | 01213             | SERVICIO VASCO DE |                 1 |

| 117968  | SALINAS DE AÑANA                                      |      8664 |   25348 |     2 | PLAZA MIGUEL DIAZ | SALINAS DE AÑANA  | 945385016         | N      |             10493 | 01426             | SERVICIO VASCO DE |                 1 |

| 117940  | SALVATIERRA-AGURAIN                                   |      8664 |   22758 |     1 | CTRA. DE ZUAZO,   | AGURAIN/SALVATIER | 945300023         | N      |             10513 | 01200             | SERVICIO VASCO DE |                 1 |

| 117951  | IZARRA                                                |      8664 |   22763 |     2 | LOGORRI, Nº 1     | IZARRA            | 945385008         | N      |             10549 | 1440              | SERVICIO VASCO DE |                 1 |

| 117966  | ESPEJO                                                |      8664 |   25348 |     1 | CR BILBAO, S/N    | ESPEJO            | 945351011         | N      |             10552 | 01423             | SERVICIO VASCO DE |                 1 |

| 117969  | VILLANUEVA DE VALDEGOVIA                              |      8664 |   25348 |     2 | EL LLANO, S/N     | VILLANUEVA DE     | 945385018         | N      |             10552 | 01426             | SERVICIO VASCO DE |                 1 |

| 117962  | VILLABUENA DE ÁLAVA-ESKUERNAGA                        |      9082 |   23441 |     2 | MAYOR, Nº 35      | VILLABUENA DE     | 945609011         | N      |             10571 | 01307             | SERVICIO VASCO DE |                 1 |

| 117945  | LEGUTIANO                                             |      8664 |   25350 |     1 | GORBEA, Nº 2      | LEGUTIO           | 945455017         | N      |             10587 | 01170             | SERVICIO VASCO DE |                 1 |

| 117931  | ABETXUKO                                              |      8664 |   22750 |     1 | C/ CRISTO, Nº 4   | VITORIA-GASTEIZ   | 945278900         | N      |             10590 | 1013              | SERVICIO VASCO DE |                 1 |

| 117932  | CASCO VIEJO VITORIA-GASTEIZ                           |      8664 |   23437 |     1 | CORRERÍA, Nº 108  | VITORIA-GASTEIZ   | 945006795         | S      |             10590 | 1001              | SERVICIO VASCO DE |                 1 |

| 117933  | GAZALBIDE-TXAGORRITXU                                 |      8664 |   22754 |     1 | C/ CHILE, Nº 9    | VITORIA-GASTEIZ   | 945006660         | S      |             10590 | 1009              | SERVICIO VASCO DE |                 1 |

| 117934  | HABANA - CUBA                                         |      8664 |   22755 |     1 | C/ CUBA, Nº 7     | VITORIA-GASTEIZ   | 945006785         | S      |             10590 | 1012              | SERVICIO VASCO DE |                 1 |

| 117935  | LAKUA-ARRIAGA                                         |      8664 |   22756 |     1 | JULIAN DE ARRESE, | VITORIA-GASTEIZ   | 945294010         | S      |             10590 | 1010              | SERVICIO VASCO DE |                 1 |

| 117936  | LAKUABIZKARRA                                         |      8664 |   22757 |     1 | DUQUE DE          | VITORIA-GASTEIZ   | 945006800         | S      |             10590 | 1010              | SERVICIO VASCO DE |                 1 |

| 117953  | OLAGUIBEL                                             |      8664 |   22764 |     1 | OLAGUIBEL, Nº 31  | VITORIA-GASTEIZ   | 945007900         | S      |             10590 | 1004              | SERVICIO VASCO DE |                 1 |

| 117954  | OLARIZU                                               |      8664 |   22765 |     1 | HERACLIO          | VITORIA-GASTEIZ   | 945006810         | N      |             10590 | 1006              | SERVICIO VASCO DE |                 1 |

| 117963  | SAN MARTÍN                                            |      8664 |   22767 |     1 | PINTOR TEODORO    | VITORIA-GASTEIZ   | 945006600         | N      |             10590 | 1008              | SERVICIO VASCO DE |                 1 |

| 117964  | SANSOMENDI                                            |      8664 |   22768 |     1 | PAULA MONTAL, Nº  | VITORIA-GASTEIZ   | 945006780         | S      |             10590 | 1010              | SERVICIO VASCO DE |                 1 |

| 117973  | ARANBIZKARRA I                                        |      8664 |   22751 |     1 | SIERRAS ALAVESAS, | VITORIA-GASTEIZ   | 945006840         | S      |             10590 | 1002              | SERVICIO VASCO DE |                 1 |

| 117974  | ARANBIZKARRA II                                       |      8664 |   22752 |     1 | BURGOS, Nº 23     | VITORIA-GASTEIZ   | 945006850         | S      |             10590 | 1002              | SERVICIO VASCO DE |                 1 |

| 117977  | ZARAMAGA                                              |      8664 |   23442 |     1 | PUERTO AZÁCETA,   | VITORIA-GASTEIZ   | 945006790         | S      |             10590 | 1013              | SERVICIO VASCO DE |                 1 |

| 132186  | SALBURUA                                              |      8664 |   25352 |     1 | AV DE PRAGA, Nº 2 | VITORIA-GASTEIZ   | 945294050         | S      |             10590 | 01003             | SERVICIO VASCO DE |                 1 |

| 132187  | ZABALGANA                                             |      8664 |   25353 |     1 | AV DE LA          | VITORIA-GASTEIZ   | 945294070         | S      |             10590 | 01015             | SERVICIO VASCO DE |                 1 |

| 125922  | YÉCORA                                                |      9082 |   23441 |     2 | CL SUR, Nº 6      | YÉCORA            | 945601754         | N      |             10604 | 01322             | SERVICIO VASCO DE |                 1 |

| 117976  | ZAMBRANA                                              |      8664 |   25349 |     2 | CR LOGROÑO, S/N   | ZAMBRANA          | 945385019         | N      |             10626 | 01212             | SERVICIO VASCO DE |                 1 |

| 117952  | MURGIA                                                |      8664 |   22763 |     1 | CTRA. DOMAIQUIA,  | MURGIA            | 945430030         | N      |             10632 | 1130              | SERVICIO VASCO DE |                 1 |

| 125920  | NANCLARES DE OCA                                      |      8664 |   23438 |     1 | PARQUE TRES DE    | NANCLARES DE OCA  | 945371120         | N      |             19015 | 1230              | SERVICIO VASCO DE |                 1 |

| 117965  | BERGÜENDA                                             |      8664 |   25348 |     2 | LA IGLESIA, Nº 5  | BERGONDA/BERGÜEND | 945385005         | N      |             19020 | 01423             | SERVICIO VASCO DE |                 1 |

| 117967  | SALCEDO-COMUNIÓN                                      |      8664 |   25348 |     2 | BAJOS DEL         | COMUNIÓN/KOMUNIOI | 945385015         | N      |             19020 | 1213              | SERVICIO VASCO DE |                 1 |

| 122433  | ABENGIBRE                                             |      8882 |   21674 |     2 | C/ FUENSANTA, Nº  | ABENGIBRE         | 967471002         | N      |             20019 | 2250              | SERVICIO DE SALUD |                 1 |

| 122422  | ALATOZ                                                |      8882 |   21673 |     2 | CL LOS BARRACOS,  | ALATOZ            | 967402311         | N      |             20024 | 02152             | SERVICIO DE SALUD |                 1 |

| 123600  | ZONA I - HOSPITAL                                     |      8882 |   21658 |     1 | AV DOCTOR JOSE    | ALBACETE          | 967244517         | S      |             20030 | 2006              | SERVICIO DE SALUD |                 1 |

| 123601  | ZONA II - MUNICIPAL                                   |      8882 |   21659 |     1 | AVDA. RAMON Y     | ALBACETE          | 967241263         | S      |             20030 | 2005              | SERVICIO DE SALUD |                 1 |

| 123602  | ZONA III - VILLACERRADA                               |      8882 |   21660 |     1 | PLAZA DE LA       | ALBACETE          | 967236256         | S      |             20030 | 2001              | SERVICIO DE SALUD |                 1 |

| 123603  | ZONA IV - RESIDENCIA                                  |      8882 |   21661 |     1 | C/ SEMINARIO, Nº  | ALBACETE          | 967503018         | S      |             20030 | 2006              | SERVICIO DE SALUD |                 1 |

| 123605  | AGUAS NUEVAS                                          |      8882 |   23077 |     2 | C/ PASICO, Nº 1   | AGUAS NUEVAS      | 967273256         | N      |             20030 | 2049              | SERVICIO DE SALUD |                 1 |

| 123606  | LOS ANGUIJES                                          |      8882 |   23077 |     2 | CL DE LA VIÑA,    | LOS ANGUIJES      | -                 | N      |             20030 | 02140             | SERVICIO DE SALUD |                 1 |

| 123607  | ARGAMASON                                             |      8882 |   23077 |     2 | CR POZUELO, S/N   | ARGAMASON         | 967580700         | N      |             20030 | 02328             | SERVICIO DE SALUD |                 1 |

| 123608  | EL SALOBRAL                                           |      8882 |   23077 |     2 | CR PEÑAS, Nº 11   | EL SALOBRAL       | 967271470         | N      |             20030 | 02140             | SERVICIO DE SALUD |                 1 |

| 123609  | SANTA ANA                                             |      8882 |   23077 |     2 | AV DEL PRÍNCIPE,  | SANTA ANA         | 967270296         | N      |             20030 | 02328             | SERVICIO DE SALUD |                 1 |

| 123610  | ZONA V - A y B                                        |      8882 |   23077 |     1 | CL PROFESOR       | ALBACETE          | 967504692         | S      |             20030 | 02006             | SERVICIO DE SALUD |                 1 |

| 123611  | ZONA VI                                               |      8882 |   21664 |     1 | C/ AZORIN, S/N    | ALBACETE          | 967241551         | S      |             20030 | 02001             | SERVICIO DE SALUD |                 1 |

| 123612  | TINAJEROS                                             |      8882 |   21664 |     2 | CL DEPORTES, S/N  | TINAJEROS         | -                 | N      |             20030 | 02155             | SERVICIO DE SALUD |                 1 |

