CODCNH	NOMBRE	DIRECCION	TELEFONO	TELEFONO2	TELEFAX	CODMU	MUNICIPIOS	CODPROV	PROVINCIAS	CODAUTO	COMUNIDADES	CODPOSTAL	NCAMAS	CODFI	FINALIDAD ASISITENCIAL	CODPAT	DEPENDENCIA PATRIMONIAL	CODFU	DEPENDENCIA FUNCIONAL	ACREDOCENT	ESCOMPLE	FORCOMPLE	CODIDCOM	ALTA	CERRADO	CAPITAL	CIERREFECH	CONCIERTO	EMAIL	TAC	RM	GAM	HEM	ASD	LIT	BCO	ALI	SPECT	PET	MAMOS	DO	DIAL
010035	RED DE SALUD MENTAL DE ARABA (HOSPITAL PSIQUIµTRICO DE ARABA)	µLAVA, 43	945006555		945006587	010590	Vitoria-Gasteiz	01	µLAVA	16	PA÷S VASCO	01006	207	6	PSIQUIµTRICO	6	COMUNIDAD AUT‡NOMA	4	SERVICIO VASCO DE SALUD-OSAKIDETZA	N	N	N		N	N	S		N	SECRETARIA.GERENCIA@osakidetza.eus	0	0	0	0	0	0	0	0	0	0	0	0	0
010040	HOSPITAL SAN JOSê	BEATO TOMµS DE ZUMµRRAGA, 10	945140900		945145709	010590	Vitoria-Gasteiz	01	µLAVA	16	PA÷S VASCO	01008	63	12	MêDICO-QUIRÈRGICO	14	PRIVADO NO BENêFICO	23	PRIVADO NO BENêFICO	N	N	N		N	N	S		N	diazdecorcueram@vithas.es	1	1	0	1	1	0	0	0	0	0	1	1	1
010053	HOSPITAL QUIR‡NSALUD VITORIA	ESPERANZA, 3	945252500		945279260	010590	Vitoria-Gasteiz	01	µLAVA	16	PA÷S VASCO	01002	26	1	GENERAL	14	PRIVADO NO BENêFICO	23	PRIVADO NO BENêFICO	N	N	N		N	N	S		S	josecarlos.mellado@quironsalud.es	1	2	0	0	0	0	0	0	0	0	1	1	0
010066	HOSPITAL DE CUIDADOS SAN ONOFRE, S.L. (HOSPITAL DE CUIDADOS SAN ONOFRE)	SALVATIERRABIDE, 9	945142100		945143318	010590	Vitoria-Gasteiz	01	µLAVA	16	PA÷S VASCO	01007	82	13	GERIATR÷A Y/O LARGA ESTANCIA	14	PRIVADO NO BENêFICO	23	PRIVADO NO BENêFICO	N	N	N		N	N	S		S	info@hospitalsanonofre.com	0	0	0	0	0	0	0	0	0	0	0	0	0
010088	HOSPITAL DE LEZA	CTRA. VITORIA - LOGRO•O, KM. 59	945006900	945006876	945006901	010318	Laguardia	01	µLAVA	16	PA÷S VASCO	01309	63	1	GENERAL	6	COMUNIDAD AUT‡NOMA	4	SERVICIO VASCO DE SALUD-OSAKIDETZA	N	N	N		N	N	N		N	hospital.leza@osakidetza.eus	0	0	0	0	0	0	0	0	0	0	0	0	0
010090	HOSPITAL UNIVERSITARIO DE ARABA (SEDE TXAGORRITXU Y SEDE SANTIAGO)	JOSê ATXOTEGUI, S/N	945007000	945007007	945007359	010590	Vitoria-Gasteiz	01	µLAVA	16	PA÷S VASCO	01009	811	1	GENERAL	1	SEGURIDAD SOCIAL	4	SERVICIO VASCO DE SALUD-OSAKIDETZA	S	N	N		N	N	S		N		4	0	2	2	3	1	0	2	1	1	3	1	57
020019	COMPLEJO HOSPITALARIO UNIVERSITARIO DE ALBACETE	HERMANOS FALC‡, 37	967597100	967597179	967243952	020030	Albacete	02	ALBACETE	08	CASTILLA-LA MANCHA	02006	705	1	GENERAL	1	SEGURIDAD SOCIAL	31	SERVICIO DE SALUD DE CASTILLA-LA MANCHA-SESCAM	S	S	N		N	N	S		N		4	1	0	1	1	1	0	2	0	0	2	1	16
020030	HOSPITAL GENERAL UNIVERSITARIO DE ALBACETE	HERMANOS FALC‡, 37	967597100	967597179	967243952	020030	Albacete	02	ALBACETE	08	CASTILLA-LA MANCHA	02006	0	1	GENERAL	1	SEGURIDAD SOCIAL	31	SERVICIO DE SALUD DE CASTILLA-LA MANCHA-SESCAM	S	N	S	020019	N	N	S		N		0	0	0	0	0	0	0	0	0	0	0	0	0
020061	CL÷NICA SANTA CRISTINA ALBACETE	PêREZ GALD‡S, 7	967223300		967507790	020030	Albacete	02	ALBACETE	08	CASTILLA-LA MANCHA	02003	42	1	GENERAL	14	PRIVADO NO BENêFICO	23	PRIVADO NO BENêFICO	N	N	N		N	N	S		S	svillanueva@clinicasantacristina.es	1	2	0	0	0	0	0	0	0	0	0	0	0
020096	HOSPITAL DE HELL÷N	JUAN RAM‡N JIMêNEZ, 40	967309500	967309517	967304611	020371	Hell°n	02	ALBACETE	08	CASTILLA-LA MANCHA	02400	135	1	GENERAL	1	SEGURIDAD SOCIAL	31	SERVICIO DE SALUD DE CASTILLA-LA MANCHA-SESCAM	S	N	N		N	N	N		N	gai.hellin@sescam.jccm.es	1	1	0	0	0	0	0	0	0	0	1	0	0
020100	QUIRONSALUD HOSPITAL ALBACETE	PLAZA DEL MADRO•O, 11	967247100		967245183	020030	Albacete	02	ALBACETE	08	CASTILLA-LA MANCHA	02008	65	1	GENERAL	14	PRIVADO NO BENêFICO	23	PRIVADO NO BENêFICO	N	N	N		N	N	S		S	albacete@quironsalud.es	1	2	1	1	0	0	0	0	0	0	1	0	0
020117	HOSPITAL UNIVERSITARIO NUESTRA SE•ORA DEL PERPETUO SOCORRO	SEMINARIO, 4	967597799		967597711	020030	Albacete	02	ALBACETE	08	CASTILLA-LA MANCHA	02006	0	1	GENERAL	1	SEGURIDAD SOCIAL	31	SERVICIO DE SALUD DE CASTILLA-LA MANCHA-SESCAM	S	N	S	020019	N	N	S		N		0	0	0	0	0	0	0	0	0	0	0	0	0
020136	HOSPITAL GENERAL DE ALMANSA	AVDA. ADOLFO SUµREZ, S/N	967339526	967339529	967339546	020096	Almansa	02	ALBACETE	08	CASTILLA-LA MANCHA	02640	93	1	GENERAL	6	COMUNIDAD AUT‡NOMA	31	SERVICIO DE SALUD DE CASTILLA-LA MANCHA-SESCAM	N	N	N		N	N	N		N	gai.almansa@sescam.jccm.es	1	0	0	0	0	0	0	0	0	0	2	0	0
020147	HOSPITAL GENERAL DE VILLAROBLEDO	AVENIDA MIGUEL DE CERVANTES, S/N	967133000		967133002	020812	Villarrobledo	02	ALBACETE	08	CASTILLA-LA MANCHA	02600	114	1	GENERAL	6	COMUNIDAD AUT‡NOMA	31	SERVICIO DE SALUD DE CASTILLA-LA MANCHA-SESCAM	N	N	N		N	N	N		N		1	0	0	0	0	0	0	0	0	0	1	0	0
020158	"CENTRO DE ATENCI‡N A LA SALUD MENTAL ""LA MILAGROSA"""	TRAVES÷A DE LA IGUALDAD, S/N	967192350		967248989	020030	Albacete	02	ALBACETE	08	CASTILLA-LA MANCHA	02006	0	6	PSIQUIµTRICO	7	DIPUTACI‡N O CABILDO	31	SERVICIO DE SALUD DE CASTILLA-LA MANCHA-SESCAM	S	N	S	020019	N	N	S		N		0	0	0	0	0	0	0	0	0	0	0	0	0
030015	HOSPITAL GENERAL UNIVERSITARIO DE ALICANTE	AVENIDA PINTOR BAEZA, 12	965933000		965245971	030149	Alicante/Alacant	03	ALICANTE	10	COMUNIDAD VALENCIANA	03010	794	1	GENERAL	6	COMUNIDAD AUT‡NOMA	5	CONSELLERIA DE SANIDAD. G. VALENCIANA	S	N	N		N	N	S		N	mena_lui@gva.es	3	2	0	2	5	1	0	0	0	0	2	1	32
030036	CL÷NICA VISTAHERMOSA GRUPO HLA	AVENIDA DENIA, 103	965268000		965262405	030149	Alicante/Alacant	03	ALICANTE	10	COMUNIDAD VALENCIANA	03015	106	1	GENERAL	14	PRIVADO NO BENêFICO	23	PRIVADO NO BENêFICO	S	N	N		N	N	S		S	katja.smudde@grupohla.com	1	2	0	1	1	0	0	0	0	0	1	1	22
030041	VITHAS HOSPITAL PERPETUO INTERNACIONAL	PLAZA DOCTOR G‡MEZ ULLA, 15	965201100		965144890	030149	Alicante/Alacant	03	ALICANTE	10	COMUNIDAD VALENCIANA	03013	103	1	GENERAL	14	PRIVADO NO BENêFICO	23	PRIVADO NO BENêFICO	N	N	N		N	N	S		S	perpetuosocorro@perpetuosocorro.nehos.com	1	1	1	1	0	0	0	0	0	0	1	1	10
030067	HOSPITAL VIRGEN DE LOS LIRIOS	POL÷GONO CARAMAXEL, S/N	965537400		965537448	030092	Alcoy/Alcoi	03	ALICANTE	10	COMUNIDAD VALENCIANA	03804	305	1	GENERAL	6	COMUNIDAD AUT‡NOMA	5	CONSELLERIA DE SANIDAD. G. VALENCIANA	S	N	N		N	N	N		N	falip_ros@gva.es	1	0	0	0	0	0	0	0	0	0	1	1	38
030089	SANATORIO SAN JORGE S.L.	CALLE OLIVER, 55	965330400		965330400	030092	Alcoy/Alcoi	03	ALICANTE	10	COMUNIDAD VALENCIANA	03802	26	1	GENERAL	14	PRIVADO NO BENêFICO	23	PRIVADO NO BENêFICO	N	N	N		N	N	N		S	administracion@sanatoriosanjorge.com	1	0	0	0	0	0	0	0	0	0	1	1	0
030092	HOSPITAL CL÷NICA BENIDORM	AVENIDA ALFONSO PUCHADES, 8	965853850		965864345	030319	Benidorm	03	ALICANTE	10	COMUNIDAD VALENCIANA	03501	166	1	GENERAL	14	PRIVADO NO BENêFICO	23	PRIVADO NO BENêFICO	S	N	N		N	N	N		S	hospital@clinicabenidorm.com	2	2	1	1	1	0	0	1	1	1	1	1	26
030128	HOSPITAL SAN CARLOS DE DENIA GRUPO HLA	PARTIDA MADRIGUERES SUD, 8	965781550		965789172	030633	DÇnia	03	ALICANTE	10	COMUNIDAD VALENCIANA	03700	31	1	GENERAL	14	PRIVADO NO BENêFICO	23	PRIVADO NO BENêFICO	N	N	N		N	N	N		N	pedro.esteban@grupohla.com	1	1	0	0	0	0	0	0	0	0	1	1	0
030152	HOSPITAL GENERAL UNIVERSITARIO DE ELCHE	CAM÷ ALMAZARA, 11	966616900		966616707	030651	Elche/Elx	03	ALICANTE	10	COMUNIDAD VALENCIANA	03203	492	1	GENERAL	6	COMUNIDAD AUT‡NOMA	5	CONSELLERIA DE SANIDAD. G. VALENCIANA	S	N	N		N	N	N		N	secgerencia_elx@gva.es	2	2	0	1	0	1	0	1	0	0	2	1	30
030165	HOSPITAL GENERAL UNIVERSITARIO DE ELDA-VIRGEN DE LA SALUD	CARRETERA SAX, S/N	966989000	966989010	965398173	030664	Elda	03	ALICANTE	10	COMUNIDAD VALENCIANA	03600	513	1	GENERAL	6	COMUNIDAD AUT‡NOMA	5	CONSELLERIA DE SANIDAD. G. VALENCIANA	S	N	N		N	N	N		N	izquierdo_alf@gva.es	2	1	0	0	0	0	0	0	0	0	2	1	34
030187	HOSPITAL SANT VICENT DEL RASPEIG	CALLE LILLO JUAN, 137	965907700		965907703	031225	San Vicente del Raspeig/Sant Vicent del Raspeig	03	ALICANTE	10	COMUNIDAD VALENCIANA	03690	179	13	GERIATR÷A Y/O LARGA ESTANCIA	6	COMUNIDAD AUT‡NOMA	5	CONSELLERIA DE SANIDAD. G. VALENCIANA	N	N	N		N	N	N		N	hospitalsanvicente@gva.es	1	0	0	0	0	0	0	0	0	0	0	0	0
030190	SANATORIO SAN FRANCISCO DE BORJA FONTILLES	CARRETERA ORBA-VALL DE LAGUAR, KM 4	965583350		965583376	031376	Vall de Laguar, la	03	ALICANTE	10	COMUNIDAD VALENCIANA	03791	96	13	GERIATR÷A Y/O LARGA ESTANCIA	13	OTRO PRIVADO BENêFICO	22	OTRO PRIVADO-BENêFICO	N	N	N		N	N	N		N	fontilles@fontilles.org	0	0	0	0	0	0	0	0	0	0	0	0	0
030204	HOSPITAL MARINA BAIXA DE LA VILA JOIOSA	AVENIDA ALCALDE EN JAUME BOTELLA MAYOR, 7	966859800		966859900	031395	Villajoyosa/Vila Joiosa, la	03	ALICANTE	10	COMUNIDAD VALENCIANA	03570	286	1	GENERAL	6	COMUNIDAD AUT‡NOMA	5	CONSELLERIA DE SANIDAD. G. VALENCIANA	S	N	N		N	N	N		S	louis_ros@gva.es	2	0	0	0	0	0	0	0	0	0	1	0	9
030211	HOSPITAL VEGA BAJA DE ORIHUELA	CARRETERA ORIHUELA - ALMORAD÷, S/N	966749000		966749069	030993	Orihuela	03	ALICANTE	10	COMUNIDAD VALENCIANA	03314	361	1	GENERAL	6	COMUNIDAD AUT‡NOMA	5	CONSELLERIA DE SANIDAD. G. VALENCIANA	S	N	N		N	N	N		N		2	1	0	0	0	0	0	0	0	0	1	0	0
030226	HOSPITAL INTERNACIONAL MEDIMAR, S.A.	AVENIDA DENIA, 78	965162200		965159038	030149	Alicante/Alacant	03	ALICANTE	10	COMUNIDAD VALENCIANA	03016	66	1	GENERAL	14	PRIVADO NO BENêFICO	23	PRIVADO NO BENêFICO	N	N	N		N	N	S		N	info@hospitalmedimar.com	1	1	1	1	0	1	0	0	0	1	1	1	0
030232	HOSPITAL PSIQUIµTRICO PENITENCIARIO DE FONTCALENT	COMPLEJO CENTRO PENITENCIARIO FONTCALENT, 1	965102222	965101230	965101761	030149	Alicante/Alacant	03	ALICANTE	10	COMUNIDAD VALENCIANA	03113	432	6	PSIQUIµTRICO	4	MINISTERIO DE INTERIOR	14	ADMINISTRACI‡N PENITENCIARIA	N	N	N		N	N	S		N	director.alicantep@dgip.mir.es	0	0	0	0	0	0	0	0	0	0	0	0	0
