UNIDAD;COMUNIDAD AUTONOMA;PROVINCIA;LOCALIDAD;DOMICILIO;CODIGO POSTAL;TELEFONO;OBSERVACIONES
A. R. S. (JEFATURA);MADRID;MADRID;MADRID;C/ BATALLA DEL SALADO, 35;28045;915146900;
ACADEMIA DE EL ESCORIAL;MADRID;MADRID;SAN LORENZO DE EL ESCORIAL;CTRA. DE GUADARRAMA KM. 33;28200;918969538-918906011-918906001;
ACADEMIA DE OFICIALES GUA. CIVIL;MADRID;MADRID;ARANJUEZ;C/ PRINCESA, S/N;28300;918912145;
ACUARTELAMIENTO DE BARAJAS;MADRID;MADRID;BARAJAS;CAMINO DEL CUARTEL, 4;28042;917470055 EXT.12;
AGRUPACION DE TRAFICO;MADRID;MADRID;MADRID;C/ EMILIO MU—OZ, 41;28003;915357846;
ASOCIACION PRO- HUERFANOS;MADRID;MADRID;MADRID;C/ PRINCIPE DE VERGARA, 248;28016;913440037;
C.O.S.;MADRID;MADRID;TRES CANTOS;C/ SECTOR ESCULTORES, 10;28760;918061010;
C.O.S.-U.P.R.O.S.E.;MADRID;MADRID;MADRID;C/ BATALLA DEL SALADO, 35;28045;915146935;
1™ COMPA—ÕA DE SEGURIDAD PENITENCIARIA;MADRID;MADRID;MADRID;C/ BATALLA DEL SALADO, 35;28045;915146900 EXT. 44236;
DTO. SECC. SEG. C.P. MADRID III (VALDEMORO);MADRID;MADRID;VALDEMORO;CRT™. PINTO-SAN MARTIN DE DE LA VEGA KM 5;28340;916921427;
DTO. SECC. SEG. C.P. MADRID IV (NAVALCARNERO);MADRID;MADRID;NAVALCARNERO;CRT™.EXTREMADURA 27,800;28600;918113788;
DTO. SECC. SEG. C.P. MADRID VI (ARANJUEZ);MADRID;MADRID;ARANJUEZ;CRT™  N-400 KM 28;28300;918099032;
DTO. SECC. SEG. C.P. MADRID VII (ESTREMERA);MADRID;MADRID;ESTREMERA;CRT™  N-241 KM 5,750;28595;918750042;
DTO. SECC. SEG. C.P. MADRID I Y MADRID III (ALCAL¡) ;MADRID;MADRID;ALCALA DE HENARES;CTR™. ALCALA MECO, KM. 4.500;28805;918804011-918807711;
DTO. SECC. SEG. C.P. MADRID V (SOTO DEL REAL) ;MADRID;MADRID;SOTO DEL REAL;CTR™. M-609 KM 3,400;28791;918447777;
1™ SECCI”N CIA CONDUCCIONES (LEGANES);MADRID;MADRID;LEGANES;C/ PUIG ADAM, 6;28914;916882739;
DTO. BANCO DE ESPA—A ;MADRID;MADRID;MADRID;C/ ALCALA, 50;28014;913385112;
DTO. EDIFICIO AUXILIAR BANCO ESPA—A ;MADRID;MADRID;MADRID;C/ ALCAL¡, 522;28027;913386760-913386761;
SECCION CASA DE LA MONEDA DE EDIFICIOS PUBLICOS;MADRID;MADRID;MADRID;C/ JORGE JUAN, 106;28009;915666549;
SECCION DE TRANSPORTES  (CIA. CONDUCCIONES ESPECIALES);MADRID;MADRID;VALDEMORO;AVDA. DE MADRID, 2;28340;915142519;
SECCI”N DEL EMAD (DEFENSA);MADRID;MADRID;MADRID;C/ VITRUVIO, 1;28006;917455122;
SECCION SEGURIDAD PRINCIPE DE VERGARA;MADRID;MADRID;MADRID; C/ PRINCIPE DE VERGARA 246;28016;915142585;
