AREF;C_INE;C_COMUNI;CODI;CCAA_C_COMUNI;NOM_COMUNI;C_PROVIN;PROVINCIA;CODIGOYNOMBREPROV;C_TIPOFICH;MUNINENOMBRE;ULT_REVISION;UURBANAS;V_CATASTRAL;V_CONSTRUCCION;V_SUELO;SUPERF_URB;PARCELAS_URB;UU_ALMACEN;V_CAT_ALMACEN;UU_COMERCIAL;V_CAT_COMERCIAL;UU_CULTURAL;V_CAT_CULTURAL;UU_HOSTELERIA;V_CAT_HOSTELERIA;UU_INDUSTRIAL;V_CAT_INDUSTRIAL;UU_DEPORTIVO;V_CAT_DEPORTIVO;UU_SOLAR;V_CAT_SOLAR;UU_OFICINAS;V_CAT_OFICINAS;UU_SINGULAR;V_CAT_SINGULAR;UU_RELIGIOSO;V_CAT_RELIGIOSO;UU_ESPECTACULOS;V_CAT_ESPECTACULOS;UU_RES;V_CAT_RES;UU_SANIDAD;V_CAT_SANIDAD
2019;02001;06;022001;08;Castilla - La Mancha;02;Albacete;02 Albacete;0;Abengibre;1,990;786;21,468,226;16,657,370;4,810,856;302,079;779;13;175,536;3;29,411;2;333,522;1;135,391;169;3,644,526;1;2,866;107;836,296;2;79,637;2;519,581;1;73,320;0;0;482;14,496,564;1;576,497
2019;02002;06;022002;08;Castilla - La Mancha;02;Albacete;02 Albacete;0;Alatoz;2,012;945;22,380,314;18,086,385;4,293,929;339,890;873;41;554,471;2;27,061;1;221,853;1;44,110;140;1,373,720;4;511,697;175;1,736,820;2;81,012;2;500,208;2;79,018;0;0;574;17,234,864;1;15,481
2019;02003;06;022900;08;Castilla - La Mancha;02;Albacete;02 Albacete;0;Albacete;2,006;140,300;9,805,101,717;4,442,807,716;5,362,294,001;29,660,602;20,272;38,983;740,153,687;6,164;905,858,159;179;301,230,216;84;78,608,893;4,363;627,615,564;300;146,741,088;2,687;249,278,437;1,756;264,866,316;42;108,514,522;56;22,438,466;9;18,213,307;85,498;6,103,101,797;178;238,226,066
2019;02004;06;022004;08;Castilla - La Mancha;02;Albacete;02 Albacete;0;Albatana;2,007;820;13,025,855;10,040,227;2,985,628;372,491;785;22;124,175;2;108,706;1;91,455;1;20,223;87;997,199;5;551,695;203;1,145,598;1;48,139;1;57,576;1;14,448;1;36,856;495;9,829,783;0;0
2019;02005;06;022005;08;Castilla - La Mancha;02;Albacete;02 Albacete;0;Alborea;2,009;1,016;28,230,114;17,489,472;10,740,643;200,096;906;87;706,207;7;146,662;2;218,106;4;421,247;102;1,420,172;4;194,029;78;1,520,074;3;76,569;1;80,860;1;100,419;0;0;726;23,307,520;1;38,248
2019;02006;06;022006;08;Castilla - La Mancha;02;Albacete;02 Albacete;0;Alcadozo;1,994;986;21,137,674;15,551,690;5,585,984;359,015;966;46;326,361;3;31,156;2;17,123;0;0;201;2,252,173;5;687,034;147;718,940;1;99,548;1;28,048;5;238,245;1;203,757;573;16,404,771;1;130,517
2019;02007;06;022007;08;Castilla - La Mancha;02;Albacete;02 Albacete;0;Alcalá del Júcar;2,012;2,183;54,157,911;40,894,173;13,263,738;394,154;1,831;543;4,382,382;26;1,221,819;6;607,703;24;2,826,704;130;2,402,767;16;1,485,054;174;1,458,141;1;117,431;3;447,414;6;316,992;0;0;1,251;38,713,353;3;178,150
2019;02008;06;022008;08;Castilla - La Mancha;02;Albacete;02 Albacete;0;Alcaraz;2,007;1,954;81,449,098;47,003,129;34,445,969;523,175;1,692;79;971,187;15;511,707;8;4,745,956;23;3,267,828;324;5,545,460;6;841,928;228;4,458,566;3;195,344;6;2,656,010;7;1,011,171;1;701,439;1,250;52,746,419;4;3,796,083
2019;02009;06;022009;08;Castilla - La Mancha;02;Albacete;02 Albacete;0;Almansa;1,996;19,721;618,342,135;441,053,337;177,288,797;5,068,208;6,118;4,635;40,425,390;434;25,155,920;19;12,862,902;25;8,654,410;737;63,450,479;49;5,721,331;639;14,223,198;119;9,946,004;8;1,703,637;7;904,015;3;831,976;13,031;419,614,319;15;14,848,553
2019;02010;06;022010;08;Castilla - La Mancha;02;Albacete;02 Albacete;0;Alpera;2,007;1,980;79,311,985;45,899,494;33,412,491;745,765;1,651;92;1,472,121;24;1,512,375;4;1,716,119;2;359,929;200;6,419,721;3;1,410,095;331;8,680,245;2;121,279;1;165,022;2;168,639;0;0;1,318;56,403,741;1;882,697
2019;02011;06;022011;08;Castilla - La Mancha;02;Albacete;02 Albacete;0;Ayna;1,994;1,832;26,472,860;18,988,138;7,484,722;270,929;1,635;91;797,114;9;156,327;7;704,460;5;1,052,154;378;2,263,005;8;511,073;290;738,168;0;0;0;0;8;301,299;0;0;1,033;19,748,754;3;200,503
2019;02012;06;022012;08;Castilla - La Mancha;02;Albacete;02 Albacete;0;Balazote;1,996;2,005;75,537,491;62,741,124;12,796,367;652,199;1,427;245;1,939,863;17;810,605;4;2,276,610;3;56,008;288;17,524,281;8;1,065,146;178;1,130,663;10;691,825;3;624,714;3;237,106;1;49,063;1,243;48,833,820;2;297,788
2019;02013;06;022013;08;Castilla - La Mancha;02;Albacete;02 Albacete;0;Balsa de Ves;2,007;689;13,643,572;10,214,719;3,428,854;224,602;686;29;295,854;0;0;2;71,948;1;133,490;126;1,172,394;2;368,727;100;1,090,370;1;119,108;1;64,046;4;94,409;0;0;422;10,209,925;1;23,303
2019;02014;06;022014;08;Castilla - La Mancha;02;Albacete;02 Albacete;0;Ballestero (El);1,990;669;18,229,413;12,668,257;5,561,156;479,808;624;11;112,936;4;104,523;5;217,266;5;359,879;104;2,112,222;4;482,096;104;1,150,957;1;10,053;1;39,378;3;122,285;1;30,861;422;13,100,171;4;386,784
2019;02015;06;022015;08;Castilla - La Mancha;02;Albacete;02 Albacete;0;Barrax;1,994;1,869;66,039,602;47,317,217;18,722,386;1,140,524;1,687;194;2,588,610;8;262,160;1;234,234;5;591,670;163;10,219,251;5;1,755,755;313;5,582,997;8;426,945;2;52,780;4;476,968;2;340,051;1,162;43,189,745;2;318,436
2019;02016;06;022016;08;Castilla - La Mancha;02;Albacete;02 Albacete;0;Bienservida;1,990;1,141;25,742,578;18,952,963;6,789,615;296,771;1,020;91;899,429;7;237,863;4;456,846;3;200,840;107;1,588,633;3;302,300;117;1,095,308;2;41,928;3;85,902;2;40,492;1;120,566;800;20,500,124;1;172,347
2019;02017;06;022017;08;Castilla - La Mancha;02;Albacete;02 Albacete;0;Bogarra;2,010;1,902;42,961,245;32,563,664;10,397,580;213,701;1,625;424;3,778,728;21;466,044;7;1,189,259;6;329,103;47;655,508;2;223,749;183;1,911,661;2;11,603;1;79,711;1;125,241;0;0;1,207;34,107,609;1;83,030
2019;02018;06;022018;08;Castilla - La Mancha;02;Albacete;02 Albacete;0;Bonete;1,990;991;27,554,012;16,918,338;10,635,674;552,195;808;56;548,611;15;338,430;2;278,388;4;171,155;145;3,794,290;6;973,739;105;1,788,307;4;75,414;4;302,046;1;61,228;1;130,497;648;19,091,907;0;0
2019;02019;06;022019;08;Castilla - La Mancha;02;Albacete;02 Albacete;0;Bonillo (El);2,007;2,504;103,678,033;75,356,980;28,321,053;680,141;2,178;115;1,529,745;20;961,447;4;3,087,756;11;1,158,132;305;7,673,539;4;1,181,501;234;5,069,018;3;183,843;2;293,136;2;28,084;1;1,006,663;1,801;79,709,526;2;1,795,644
2019;02020;06;022020;08;Castilla - La Mancha;02;Albacete;02 Albacete;0;Carcelén;2,011;750;21,315,033;12,975,222;8,339,811;172,367;717;123;1,492,192;3;42,039;1;136,054;4;260,117;15;268,377;0;0;101;1,539,491;2;47,867;2;320,503;1;40,262;1;68,301;496;17,080,871;1;18,960
2019;02021;06;022021;08;Castilla - La Mancha;02;Albacete;02 Albacete;0;Casas de Juan Núñez;2,008;1,102;46,495,854;27,242,664;19,253,190;423,428;974;31;480,076;10;368,453;2;564,639;4;314,878;121;3,416,187;4;933,629;152;5,852,630;5;282,117;1;158,575;1;52,633;0;0;768;33,360,024;3;712,012
2019;02022;06;022022;08;Castilla - La Mancha;02;Albacete;02 Albacete;0;Casas de Lázaro;2,012;772;14,350,087;11,625,280;2,724,807;218,062;741;163;1,130,092;0;0;4;109,650;0;0;34;442,486;5;152,443;117;552,096;0;0;2;65,436;3;79,630;0;0;442;11,751,445;2;66,809
2019;02023;06;022023;08;Castilla - La Mancha;02;Albacete;02 Albacete;0;Casas de Ves;2,014;984;31,666,294;25,859,003;5,807,291;288,579;951;44;759,976;7;330,774;1;119,674;1;42,674;96;2,360,916;1;327,290;67;585,646;1;41,848;1;91,445;1;37,664;1;19,534;763;26,948,854;0;0
