,postal_code,cities_es/province
0,01240,alegria_dulantzi/araba
1,01193,alegria_dulantzi/araba
2,01450,amurrio/araba
3,01468,amurrio/araba
4,01470,amurrio/araba
5,01160,aramaio/araba
6,01165,aramaio/araba
7,01169,aramaio/araba
8,01474,artziniega/araba
9,01478,artziniega/araba
10,01211,arminon/araba
11,01220,arminon/araba
12,01510,arratzua_ubarrundia/araba
13,01520,arratzua_ubarrundia/araba
14,01250,asparrena/araba
15,01260,asparrena/araba
16,01208,asparrena/araba
17,01408,ayala/araba
19,01476,ayala/araba
20,01477,ayala/araba
22,01479,ayala/araba
23,01307,banos_de_ebro/araba
24,01206,barrundia/araba
28,01212,berantevilla/araba
29,01118,bernedo/araba
30,01128,bernedo/araba
31,01194,bernedo/araba
32,01216,bernedo/araba
33,01110,campezo/araba
34,01117,campezo/araba
36,01138,zigoitia/araba
37,01196,zigoitia/araba
38,01308,kripan/araba
39,01439,kuartango/araba
40,01430,kuartango/araba
41,01192,elburgo/araba
43,01340,elciego/araba
44,01309,elvillar/araba
47,01207,iruraiz_gauna/araba
48,01012,vitoria_gasteiz/araba
50,01330,labastida/araba
55,01300,laguardia/araba
56,01321,laguardia/araba
58,01306,lapuebla_de_labarca/araba
60,01400,llodio/araba
61,01120,arraia_maeztu/araba
63,01129,arraia_maeztu/araba
64,01322,moreda_de_alava/araba
66,01409,okondo/araba
67,01320,oyon_oion/araba
72,01213,ribera_alta/araba
74,01420,ribera_alta/araba
75,01423,ribera_alta/araba
76,01426,ribera_alta/araba
77,01428,ribera_alta/araba
82,01200,agurain/araba
87,01440,urkabustaiz/araba
88,01449,urkabustaiz/araba
92,01427,valdegovia/araba
97,01170,legutio/araba
98,01171,legutio/araba
99,01003,vitoria_gasteiz/araba
103,01195,vitoria_gasteiz/araba
104,01013,vitoria_gasteiz/araba
108,01191,vitoria_gasteiz/araba
109,01015,vitoria_gasteiz/araba
110,01010,vitoria_gasteiz/araba
111,01009,vitoria_gasteiz/araba
112,01008,vitoria_gasteiz/araba
113,01007,vitoria_gasteiz/araba
114,01006,vitoria_gasteiz/araba
115,01004,vitoria_gasteiz/araba
117,01002,vitoria_gasteiz/araba
118,01001,vitoria_gasteiz/araba
119,01005,vitoria_gasteiz/araba
123,01139,zuia/araba
125,01130,zuia/araba
127,01230,iruna_de_oca/araba
132,02250,abengibre/albacete
133,02152,alatoz/albacete
135,02140,albacete/albacete
136,02155,albacete/albacete
137,02328,albacete/albacete
138,02512,albacete/albacete
139,02071,albacete/albacete
140,02511,albacete/albacete
141,02008,albacete/albacete
142,02006,albacete/albacete
143,02005,albacete/albacete
