,ine_code,cities_es/province
0,01001,alegria_dulantzi/araba
2,01002,amurrio/araba
5,01003,aramaio/araba
8,01004,artziniega/araba
10,01006,arminon/araba
12,01008,arratzua_ubarrundia/araba
14,01009,asparrena/araba
17,01010,ayala/araba
18,01010,amurrio/araba
21,01010,artziniega/araba
23,01011,banos_de_ebro/araba
24,01013,barrundia/araba
25,01013,asparrena/araba
26,01014,arminon/araba
28,01014,berantevilla/araba
29,01016,bernedo/araba
33,01017,campezo/araba
35,01017,bernedo/araba
36,01018,zigoitia/araba
38,01019,kripan/araba
39,01020,kuartango/araba
41,01021,elburgo/araba
42,01021,alegria_dulantzi/araba
43,01022,elciego/araba
44,01023,elvillar/araba
45,01027,alegria_dulantzi/araba
46,01027,barrundia/araba
47,01027,iruraiz_gauna/araba
48,01028,vitoria_gasteiz/araba
49,01028,berantevilla/araba
50,01028,labastida/araba
51,01030,bernedo/araba
52,01030,arminon/araba
53,01031,elvillar/araba
54,01031,kripan/araba
55,01031,laguardia/araba
57,01032,kripan/araba
58,01033,lapuebla_de_labarca/araba
59,01034,elvillar/araba
60,01036,llodio/araba
61,01037,arraia_maeztu/araba
62,01037,bernedo/araba
64,01039,moreda_de_alava/araba
65,01041,elvillar/araba
66,01042,okondo/araba
67,01043,oyon_oion/araba
68,01043,moreda_de_alava/araba
69,01044,berantevilla/araba
70,01044,bernedo/araba
71,01044,arminon/araba
72,01046,ribera_alta/araba
73,01046,arminon/araba
78,01047,ribera_alta/araba
79,01047,arminon/araba
80,01049,ribera_alta/araba
82,01051,agurain/araba
83,01051,iruraiz_gauna/araba
84,01052,banos_de_ebro/araba
85,01053,iruraiz_gauna/araba
86,01053,asparrena/araba
87,01054,urkabustaiz/araba
89,01054,amurrio/araba
90,01055,ribera_alta/araba
92,01055,valdegovia/araba
94,01056,campezo/araba
95,01057,banos_de_ebro/araba
96,01058,arratzua_ubarrundia/araba
97,01058,legutio/araba
99,01059,vitoria_gasteiz/araba
100,01059,arratzua_ubarrundia/araba
102,01059,zigoitia/araba
105,01059,bernedo/araba
106,01059,alegria_dulantzi/araba
107,01059,elburgo/araba
120,01060,moreda_de_alava/araba
121,01061,asparrena/araba
122,01062,berantevilla/araba
123,01063,zuia/araba
124,01063,amurrio/araba
126,01901,vitoria_gasteiz/araba
127,01901,iruna_de_oca/araba
128,01901,ribera_alta/araba
130,01902,ribera_alta/araba
132,02001,abengibre/albacete
133,02002,alatoz/albacete
135,02003,albacete/albacete
149,02004,albatana/albacete
150,02005,alborea/albacete
152,02006,alcadozo/albacete
153,02007,alcala_del_jucar/albacete
158,02008,alcaraz/albacete
161,02009,almansa/albacete
162,02010,alpera/albacete
163,02011,alcadozo/albacete
164,02011,ayna/albacete
168,02012,balazote/albacete
169,02013,balsa_de_ves/albacete
170,02013,alcala_del_jucar/albacete
171,02014,el_ballestero/albacete
172,02015,barrax/albacete
173,02016,bienservida/albacete
174,02017,bogarra/albacete
176,02017,ayna/albacete
178,02018,bonete/albacete
180,02019,el_bonillo/albacete
181,02020,carcelen/albacete
182,02021,casas_de_juan_nunez/albacete
183,02022,casas_de_lazaro/albacete
184,02023,casas_de_ves/albacete
185,02024,casas_ibanez/albacete
186,02025,caudete/albacete
187,02026,cenizate/albacete
188,02027,corral_rubio/albacete
189,02028,cotillas/albacete
190,02029,chinchilla_de_monte_aragon/albacete
196,02030,elche_de_la_sierra/albacete
200,02031,ferez/albacete
201,02032,fuensanta/albacete
202,02033,fuente_alamo/albacete
203,02034,fuentealbilla/albacete
206,02035,la_gineta/albacete
207,02036,golosalvo/albacete
208,02037,hellin/albacete
214,02038,la_herrera/albacete
215,02039,alpera/albacete
216,02039,higueruela/albacete
217,02040,hoya_gonzalo/albacete
218,02041,jorquera/albacete
219,02041,fuentealbilla/albacete
220,02042,letur/albacete
221,02043,lezuza/albacete
223,02044,alcadozo/albacete
224,02044,lietor/albacete
226,02045,madrigueras/albacete
227,02046,mahora/albacete
228,02047,alcaraz/albacete
229,02048,minaya/albacete
230,02049,bogarra/albacete
231,02049,elche_de_la_sierra/albacete
232,02049,molinicos/albacete
233,02050,montalvos/albacete
234,02051,montealegre_del_castillo/albacete
235,02052,motilleja/albacete
236,02053,munera/albacete
237,02054,navas_de_jorquera/albacete
238,02055,nerpio/albacete
245,02056,ontur/albacete
246,02057,ossa_de_montiel/albacete
247,02058,paterna_del_madera/albacete
252,02059,penascosa/albacete
253,02059,alcaraz/albacete
254,02060,penas_de_san_pedro/albacete
257,02061,chinchilla_de_monte_aragon/albacete
258,02062,povedilla/albacete
259,02063,pozohondo/albacete
261,02063,lietor/albacete
262,02064,pozo_lorente/albacete
263,02065,pozuelo/albacete
264,02066,fuentealbilla/albacete
265,02067,paterna_del_madera/albacete
266,02067,riopar/albacete
269,02068,robledo/albacete
271,02069,la_roda/albacete
272,02069,barrax/albacete
273,02070,salobre/albacete
274,02071,san_pedro/albacete
275,02072,socovos/albacete
277,02073,tarazona_de_la_mancha/albacete
278,02073,la_gineta/albacete
279,02074,tobarra/albacete
282,02075,valdeganga/albacete
283,02076,vianos/albacete
284,02077,balsa_de_ves/albacete
285,02078,villalgordo_del_jucar/albacete
286,02079,villamalea/albacete
287,02080,villapalacios/albacete
288,02081,villarrobledo/albacete
289,02081,munera/albacete
290,02082,alborea/albacete
