,cities_es,cities,province_es,province,ccaa_es,ccaa,cities_es/province
0,alegria_dulantzi,alegria_dulantzi,alava,araba,pais_vasco,pais_vasco,alegria_dulantzi/araba
2,amurrio,amurrio,alava,araba,pais_vasco,pais_vasco,amurrio/araba
5,aramaio,aramaio,alava,araba,pais_vasco,pais_vasco,aramaio/araba
8,artziniega,artziniega,alava,araba,pais_vasco,pais_vasco,artziniega/araba
10,arminon,arminon,alava,araba,pais_vasco,pais_vasco,arminon/araba
12,arratzua_ubarrundia,arratzua_ubarrundia,alava,araba,pais_vasco,pais_vasco,arratzua_ubarrundia/araba
14,asparrena,asparrena,alava,araba,pais_vasco,pais_vasco,asparrena/araba
17,ayala,aiara,alava,araba,pais_vasco,pais_vasco,ayala/araba
23,banos_de_ebro,manueta,alava,araba,pais_vasco,pais_vasco,banos_de_ebro/araba
24,barrundia,barrundia,alava,araba,pais_vasco,pais_vasco,barrundia/araba
28,berantevilla,berantevilla,alava,araba,pais_vasco,pais_vasco,berantevilla/araba
29,bernedo,bernedo,alava,araba,pais_vasco,pais_vasco,bernedo/araba
33,campezo,kanpezu,alava,araba,pais_vasco,pais_vasco,campezo/araba
36,zigoitia,zigoitia,alava,araba,pais_vasco,pais_vasco,zigoitia/araba
38,kripan,kripan,alava,araba,pais_vasco,pais_vasco,kripan/araba
39,kuartango,kuartango,alava,araba,pais_vasco,pais_vasco,kuartango/araba
41,elburgo,burgelu,alava,araba,pais_vasco,pais_vasco,elburgo/araba
43,elciego,elciego,alava,araba,pais_vasco,pais_vasco,elciego/araba
44,elvillar,bilar,alava,araba,pais_vasco,pais_vasco,elvillar/araba
47,iruraiz_gauna,iruraiz_gauna,alava,araba,pais_vasco,pais_vasco,iruraiz_gauna/araba
48,vitoria_gasteiz,vitoria_gasteiz,alava,araba,pais_vasco,pais_vasco,vitoria_gasteiz/araba
50,labastida,bastida,alava,araba,pais_vasco,pais_vasco,labastida/araba
55,laguardia,laguardia,alava,araba,pais_vasco,pais_vasco,laguardia/araba
58,lapuebla_de_labarca,lapuebla_de_labarca,alava,araba,pais_vasco,pais_vasco,lapuebla_de_labarca/araba
60,llodio,laudio,alava,araba,pais_vasco,pais_vasco,llodio/araba
61,arraia_maeztu,arraia_maeztu,alava,araba,pais_vasco,pais_vasco,arraia_maeztu/araba
64,moreda_de_alava,moreda_araba,alava,araba,pais_vasco,pais_vasco,moreda_de_alava/araba
66,okondo,okondo,alava,araba,pais_vasco,pais_vasco,okondo/araba
67,oyon_oion,oyon_oion,alava,araba,pais_vasco,pais_vasco,oyon_oion/araba
72,ribera_alta,erriberagoitia,alava,araba,pais_vasco,pais_vasco,ribera_alta/araba
82,agurain,salvatierra,alava,araba,pais_vasco,pais_vasco,agurain/araba
87,urkabustaiz,urkabustaiz,alava,araba,pais_vasco,pais_vasco,urkabustaiz/araba
92,valdegovia,gaubea,alava,araba,pais_vasco,pais_vasco,valdegovia/araba
97,legutio,legutio,alava,araba,pais_vasco,pais_vasco,legutio/araba
123,zuia,zuia,alava,araba,pais_vasco,pais_vasco,zuia/araba
127,iruna_de_oca,iruna_oka,alava,araba,pais_vasco,pais_vasco,iruna_de_oca/araba
132,abengibre,abengibre,albacete,albacete,castilla_la_mancha,castilla_la_mancha,abengibre/albacete
133,alatoz,alatoz,albacete,albacete,castilla_la_mancha,castilla_la_mancha,alatoz/albacete
135,albacete,albacete,albacete,albacete,castilla_la_mancha,castilla_la_mancha,albacete/albacete
149,albatana,albatana,albacete,albacete,castilla_la_mancha,castilla_la_mancha,albatana/albacete
150,alborea,alborea,albacete,albacete,castilla_la_mancha,castilla_la_mancha,alborea/albacete
152,alcadozo,alcadozo,albacete,albacete,castilla_la_mancha,castilla_la_mancha,alcadozo/albacete
153,alcala_del_jucar,alcala_del_jucar,albacete,albacete,castilla_la_mancha,castilla_la_mancha,alcala_del_jucar/albacete
158,alcaraz,alcaraz,albacete,albacete,castilla_la_mancha,castilla_la_mancha,alcaraz/albacete
161,almansa,almansa,albacete,albacete,castilla_la_mancha,castilla_la_mancha,almansa/albacete
162,alpera,alpera,albacete,albacete,castilla_la_mancha,castilla_la_mancha,alpera/albacete
164,ayna,ayna,albacete,albacete,castilla_la_mancha,castilla_la_mancha,ayna/albacete
168,balazote,balazote,albacete,albacete,castilla_la_mancha,castilla_la_mancha,balazote/albacete
169,balsa_de_ves,balsa_de_ves,albacete,albacete,castilla_la_mancha,castilla_la_mancha,balsa_de_ves/albacete
171,el_ballestero,el_ballestero,albacete,albacete,castilla_la_mancha,castilla_la_mancha,el_ballestero/albacete
172,barrax,barrax,albacete,albacete,castilla_la_mancha,castilla_la_mancha,barrax/albacete
173,bienservida,bienservida,albacete,albacete,castilla_la_mancha,castilla_la_mancha,bienservida/albacete
174,bogarra,bogarra,albacete,albacete,castilla_la_mancha,castilla_la_mancha,bogarra/albacete
178,bonete,bonete,albacete,albacete,castilla_la_mancha,castilla_la_mancha,bonete/albacete
180,el_bonillo,el_bonillo,albacete,albacete,castilla_la_mancha,castilla_la_mancha,el_bonillo/albacete
181,carcelen,carcelen,albacete,albacete,castilla_la_mancha,castilla_la_mancha,carcelen/albacete
182,casas_de_juan_nunez,casas_de_juan_nunez,albacete,albacete,castilla_la_mancha,castilla_la_mancha,casas_de_juan_nunez/albacete
183,casas_de_lazaro,casas_de_lazaro,albacete,albacete,castilla_la_mancha,castilla_la_mancha,casas_de_lazaro/albacete
184,casas_de_ves,casas_de_ves,albacete,albacete,castilla_la_mancha,castilla_la_mancha,casas_de_ves/albacete
185,casas_ibanez,casas_ibanez,albacete,albacete,castilla_la_mancha,castilla_la_mancha,casas_ibanez/albacete
186,caudete,caudete,albacete,albacete,castilla_la_mancha,castilla_la_mancha,caudete/albacete
187,cenizate,cenizate,albacete,albacete,castilla_la_mancha,castilla_la_mancha,cenizate/albacete
188,corral_rubio,corral_rubio,albacete,albacete,castilla_la_mancha,castilla_la_mancha,corral_rubio/albacete
189,cotillas,cotillas,albacete,albacete,castilla_la_mancha,castilla_la_mancha,cotillas/albacete
190,chinchilla_de_monte_aragon,chinchilla_de_monte_aragon,albacete,albacete,castilla_la_mancha,castilla_la_mancha,chinchilla_de_monte_aragon/albacete
196,elche_de_la_sierra,elche_de_la_sierra,albacete,albacete,castilla_la_mancha,castilla_la_mancha,elche_de_la_sierra/albacete
200,ferez,ferez,albacete,albacete,castilla_la_mancha,castilla_la_mancha,ferez/albacete
201,fuensanta,fuensanta,albacete,albacete,castilla_la_mancha,castilla_la_mancha,fuensanta/albacete
