,cities_es,cities,province_es,province,ccaa_es,ccaa,cities_es/province,provincia_original,municipio_original
0,alegria_dulantzi,alegria_dulantzi,alava,araba,pais_vasco,pais_vasco,alegria_dulantzi/araba,Araba/Álava,Alegría-Dulantzi
1,amurrio,amurrio,alava,araba,pais_vasco,pais_vasco,amurrio/araba,Araba/Álava,Amurrio
2,aramaio,aramaio,alava,araba,pais_vasco,pais_vasco,aramaio/araba,Araba/Álava,Aramaio
3,artziniega,artziniega,alava,araba,pais_vasco,pais_vasco,artziniega/araba,Araba/Álava,Artziniega
4,arminon,arminon,alava,araba,pais_vasco,pais_vasco,arminon/araba,Araba/Álava,Armiñón
5,arratzua_ubarrundia,arratzua_ubarrundia,alava,araba,pais_vasco,pais_vasco,arratzua_ubarrundia/araba,Araba/Álava,Arratzua-Ubarrundia
6,asparrena,asparrena,alava,araba,pais_vasco,pais_vasco,asparrena/araba,Araba/Álava,Asparrena
7,ayala,aiara,alava,araba,pais_vasco,pais_vasco,ayala/araba,,
8,banos_de_ebro,manueta,alava,araba,pais_vasco,pais_vasco,banos_de_ebro/araba,,
9,barrundia,barrundia,alava,araba,pais_vasco,pais_vasco,barrundia/araba,Araba/Álava,Barrundia
10,berantevilla,berantevilla,alava,araba,pais_vasco,pais_vasco,berantevilla/araba,Araba/Álava,Berantevilla
11,bernedo,bernedo,alava,araba,pais_vasco,pais_vasco,bernedo/araba,Araba/Álava,Bernedo
12,campezo,kanpezu,alava,araba,pais_vasco,pais_vasco,campezo/araba,,
13,zigoitia,zigoitia,alava,araba,pais_vasco,pais_vasco,zigoitia/araba,Araba/Álava,Zigoitia
14,kripan,kripan,alava,araba,pais_vasco,pais_vasco,kripan/araba,Araba/Álava,Kripan
15,kuartango,kuartango,alava,araba,pais_vasco,pais_vasco,kuartango/araba,Araba/Álava,Kuartango
16,elburgo,burgelu,alava,araba,pais_vasco,pais_vasco,elburgo/araba,,
17,elciego,elciego,alava,araba,pais_vasco,pais_vasco,elciego/araba,Araba/Álava,Elciego
18,elvillar,bilar,alava,araba,pais_vasco,pais_vasco,elvillar/araba,,
19,iruraiz_gauna,iruraiz_gauna,alava,araba,pais_vasco,pais_vasco,iruraiz_gauna/araba,Araba/Álava,Iruraiz-Gauna
20,vitoria_gasteiz,vitoria_gasteiz,alava,araba,pais_vasco,pais_vasco,vitoria_gasteiz/araba,Araba/Álava,Vitoria-Gasteiz
21,labastida,bastida,alava,araba,pais_vasco,pais_vasco,labastida/araba,Araba/Álava,Labastida/Bastida
22,laguardia,laguardia,alava,araba,pais_vasco,pais_vasco,laguardia/araba,Araba/Álava,Laguardia
23,lapuebla_de_labarca,lapuebla_de_labarca,alava,araba,pais_vasco,pais_vasco,lapuebla_de_labarca/araba,Araba/Álava,Lapuebla de Labarca
24,llodio,laudio,alava,araba,pais_vasco,pais_vasco,llodio/araba,Araba/Álava,Laudio/Llodio
25,arraia_maeztu,arraia_maeztu,alava,araba,pais_vasco,pais_vasco,arraia_maeztu/araba,Araba/Álava,Arraia-Maeztu
26,moreda_de_alava,moreda_araba,alava,araba,pais_vasco,pais_vasco,moreda_de_alava/araba,,
27,okondo,okondo,alava,araba,pais_vasco,pais_vasco,okondo/araba,Araba/Álava,Okondo
28,oyon_oion,oyon_oion,alava,araba,pais_vasco,pais_vasco,oyon_oion/araba,Araba/Álava,Oyón-Oion
29,ribera_alta,erriberagoitia,alava,araba,pais_vasco,pais_vasco,ribera_alta/araba,Araba/Álava,Erriberagoitia/Ribera Alta
30,agurain,salvatierra,alava,araba,pais_vasco,pais_vasco,agurain/araba,,
31,urkabustaiz,urkabustaiz,alava,araba,pais_vasco,pais_vasco,urkabustaiz/araba,Araba/Álava,Urkabustaiz
32,valdegovia,gaubea,alava,araba,pais_vasco,pais_vasco,valdegovia/araba,,
33,legutio,legutio,alava,araba,pais_vasco,pais_vasco,legutio/araba,Araba/Álava,Legutio
34,zuia,zuia,alava,araba,pais_vasco,pais_vasco,zuia/araba,Araba/Álava,Zuia
35,iruna_de_oca,iruna_oka,alava,araba,pais_vasco,pais_vasco,iruna_de_oca/araba,Araba/Álava,Iruña Oka/Iruña de Oca
36,abengibre,abengibre,albacete,albacete,castilla_la_mancha,castilla_la_mancha,abengibre/albacete,Albacete,Abengibre
37,alatoz,alatoz,albacete,albacete,castilla_la_mancha,castilla_la_mancha,alatoz/albacete,Albacete,Alatoz
38,albacete,albacete,albacete,albacete,castilla_la_mancha,castilla_la_mancha,albacete/albacete,Albacete,Albacete
39,albatana,albatana,albacete,albacete,castilla_la_mancha,castilla_la_mancha,albatana/albacete,Albacete,Albatana
40,alborea,alborea,albacete,albacete,castilla_la_mancha,castilla_la_mancha,alborea/albacete,Albacete,Alborea
41,alcadozo,alcadozo,albacete,albacete,castilla_la_mancha,castilla_la_mancha,alcadozo/albacete,Albacete,Alcadozo
42,alcala_del_jucar,alcala_del_jucar,albacete,albacete,castilla_la_mancha,castilla_la_mancha,alcala_del_jucar/albacete,Albacete,Alcalá del Júcar
43,alcaraz,alcaraz,albacete,albacete,castilla_la_mancha,castilla_la_mancha,alcaraz/albacete,Albacete,Alcaraz
44,almansa,almansa,albacete,albacete,castilla_la_mancha,castilla_la_mancha,almansa/albacete,Albacete,Almansa
45,alpera,alpera,albacete,albacete,castilla_la_mancha,castilla_la_mancha,alpera/albacete,Albacete,Alpera
46,ayna,ayna,albacete,albacete,castilla_la_mancha,castilla_la_mancha,ayna/albacete,Albacete,Ayna
47,balazote,balazote,albacete,albacete,castilla_la_mancha,castilla_la_mancha,balazote/albacete,Albacete,Balazote
48,balsa_de_ves,balsa_de_ves,albacete,albacete,castilla_la_mancha,castilla_la_mancha,balsa_de_ves/albacete,Albacete,Balsa de Ves
49,el_ballestero,el_ballestero,albacete,albacete,castilla_la_mancha,castilla_la_mancha,el_ballestero/albacete,Albacete,El Ballestero
50,barrax,barrax,albacete,albacete,castilla_la_mancha,castilla_la_mancha,barrax/albacete,Albacete,Barrax
51,bienservida,bienservida,albacete,albacete,castilla_la_mancha,castilla_la_mancha,bienservida/albacete,Albacete,Bienservida
52,bogarra,bogarra,albacete,albacete,castilla_la_mancha,castilla_la_mancha,bogarra/albacete,Albacete,Bogarra
53,bonete,bonete,albacete,albacete,castilla_la_mancha,castilla_la_mancha,bonete/albacete,Albacete,Bonete
54,el_bonillo,el_bonillo,albacete,albacete,castilla_la_mancha,castilla_la_mancha,el_bonillo/albacete,Albacete,El Bonillo
55,carcelen,carcelen,albacete,albacete,castilla_la_mancha,castilla_la_mancha,carcelen/albacete,Albacete,Carcelén
56,casas_de_juan_nunez,casas_de_juan_nunez,albacete,albacete,castilla_la_mancha,castilla_la_mancha,casas_de_juan_nunez/albacete,Albacete,Casas de Juan Núñez
57,casas_de_lazaro,casas_de_lazaro,albacete,albacete,castilla_la_mancha,castilla_la_mancha,casas_de_lazaro/albacete,Albacete,Casas de Lázaro
58,casas_de_ves,casas_de_ves,albacete,albacete,castilla_la_mancha,castilla_la_mancha,casas_de_ves/albacete,Albacete,Casas de Ves
59,casas_ibanez,casas_ibanez,albacete,albacete,castilla_la_mancha,castilla_la_mancha,casas_ibanez/albacete,Albacete,Casas-Ibáñez
60,caudete,caudete,albacete,albacete,castilla_la_mancha,castilla_la_mancha,caudete/albacete,Albacete,Caudete
61,cenizate,cenizate,albacete,albacete,castilla_la_mancha,castilla_la_mancha,cenizate/albacete,Albacete,Cenizate
62,corral_rubio,corral_rubio,albacete,albacete,castilla_la_mancha,castilla_la_mancha,corral_rubio/albacete,Albacete,Corral-Rubio
63,cotillas,cotillas,albacete,albacete,castilla_la_mancha,castilla_la_mancha,cotillas/albacete,Albacete,Cotillas
64,chinchilla_de_monte_aragon,chinchilla_de_monte_aragon,albacete,albacete,castilla_la_mancha,castilla_la_mancha,chinchilla_de_monte_aragon/albacete,Albacete,Chinchilla de Monte-Aragón
65,elche_de_la_sierra,elche_de_la_sierra,albacete,albacete,castilla_la_mancha,castilla_la_mancha,elche_de_la_sierra/albacete,Albacete,Elche de la Sierra
66,ferez,ferez,albacete,albacete,castilla_la_mancha,castilla_la_mancha,ferez/albacete,Albacete,Férez
67,fuensanta,fuensanta,albacete,albacete,castilla_la_mancha,castilla_la_mancha,fuensanta/albacete,Albacete,Fuensanta
68,fuente_alamo,fuente_alamo,albacete,albacete,castilla_la_mancha,castilla_la_mancha,fuente_alamo/albacete,Albacete,Fuente-Álamo
69,fuentealbilla,fuentealbilla,albacete,albacete,castilla_la_mancha,castilla_la_mancha,fuentealbilla/albacete,Albacete,Fuentealbilla
70,la_gineta,la_gineta,albacete,albacete,castilla_la_mancha,castilla_la_mancha,la_gineta/albacete,Albacete,La Gineta
71,golosalvo,golosalvo,albacete,albacete,castilla_la_mancha,castilla_la_mancha,golosalvo/albacete,Albacete,Golosalvo
72,hellin,hellin,albacete,albacete,castilla_la_mancha,castilla_la_mancha,hellin/albacete,Albacete,Hellín
73,la_herrera,la_herrera,albacete,albacete,castilla_la_mancha,castilla_la_mancha,la_herrera/albacete,Albacete,La Herrera
74,higueruela,higueruela,albacete,albacete,castilla_la_mancha,castilla_la_mancha,higueruela/albacete,Albacete,Higueruela
75,hoya_gonzalo,hoya_gonzalo,albacete,albacete,castilla_la_mancha,castilla_la_mancha,hoya_gonzalo/albacete,Albacete,Hoya-Gonzalo
76,jorquera,jorquera,albacete,albacete,castilla_la_mancha,castilla_la_mancha,jorquera/albacete,Albacete,Jorquera
77,letur,letur,albacete,albacete,castilla_la_mancha,castilla_la_mancha,letur/albacete,Albacete,Letur
78,lezuza,lezuza,albacete,albacete,castilla_la_mancha,castilla_la_mancha,lezuza/albacete,Albacete,Lezuza
79,lietor,lietor,albacete,albacete,castilla_la_mancha,castilla_la_mancha,lietor/albacete,Albacete,Liétor
80,madrigueras,madrigueras,albacete,albacete,castilla_la_mancha,castilla_la_mancha,madrigueras/albacete,Albacete,Madrigueras
81,mahora,mahora,albacete,albacete,castilla_la_mancha,castilla_la_mancha,mahora/albacete,Albacete,Mahora
82,minaya,minaya,albacete,albacete,castilla_la_mancha,castilla_la_mancha,minaya/albacete,Albacete,Minaya
83,molinicos,molinicos,albacete,albacete,castilla_la_mancha,castilla_la_mancha,molinicos/albacete,Albacete,Molinicos
84,montalvos,montalvos,albacete,albacete,castilla_la_mancha,castilla_la_mancha,montalvos/albacete,Albacete,Montalvos
85,montealegre_del_castillo,montealegre_del_castillo,albacete,albacete,castilla_la_mancha,castilla_la_mancha,montealegre_del_castillo/albacete,Albacete,Montealegre del Castillo
86,motilleja,motilleja,albacete,albacete,castilla_la_mancha,castilla_la_mancha,motilleja/albacete,Albacete,Motilleja
87,munera,munera,albacete,albacete,castilla_la_mancha,castilla_la_mancha,munera/albacete,Albacete,Munera
88,navas_de_jorquera,navas_de_jorquera,albacete,albacete,castilla_la_mancha,castilla_la_mancha,navas_de_jorquera/albacete,Albacete,Navas de Jorquera
89,nerpio,nerpio,albacete,albacete,castilla_la_mancha,castilla_la_mancha,nerpio/albacete,Albacete,Nerpio
90,ontur,ontur,albacete,albacete,castilla_la_mancha,castilla_la_mancha,ontur/albacete,Albacete,Ontur
91,ossa_de_montiel,ossa_de_montiel,albacete,albacete,castilla_la_mancha,castilla_la_mancha,ossa_de_montiel/albacete,Albacete,Ossa de Montiel
92,paterna_del_madera,paterna_del_madera,albacete,albacete,castilla_la_mancha,castilla_la_mancha,paterna_del_madera/albacete,Albacete,Paterna del Madera
93,penascosa,penascosa,albacete,albacete,castilla_la_mancha,castilla_la_mancha,penascosa/albacete,Albacete,Peñascosa
94,penas_de_san_pedro,penas_de_san_pedro,albacete,albacete,castilla_la_mancha,castilla_la_mancha,penas_de_san_pedro/albacete,Albacete,Peñas de San Pedro
95,povedilla,povedilla,albacete,albacete,castilla_la_mancha,castilla_la_mancha,povedilla/albacete,Albacete,Povedilla
96,pozohondo,pozohondo,albacete,albacete,castilla_la_mancha,castilla_la_mancha,pozohondo/albacete,Albacete,Pozohondo
97,pozo_lorente,pozo_lorente,albacete,albacete,castilla_la_mancha,castilla_la_mancha,pozo_lorente/albacete,Albacete,Pozo-Lorente
98,pozuelo,pozuelo,albacete,albacete,castilla_la_mancha,castilla_la_mancha,pozuelo/albacete,Albacete,Pozuelo
99,riopar,riopar,albacete,albacete,castilla_la_mancha,castilla_la_mancha,riopar/albacete,Albacete,Riópar
100,robledo,robledo,albacete,albacete,castilla_la_mancha,castilla_la_mancha,robledo/albacete,Albacete,Robledo
101,la_roda,la_roda,albacete,albacete,castilla_la_mancha,castilla_la_mancha,la_roda/albacete,Albacete,La Roda
102,salobre,salobre,albacete,albacete,castilla_la_mancha,castilla_la_mancha,salobre/albacete,Albacete,Salobre
103,san_pedro,san_pedro,albacete,albacete,castilla_la_mancha,castilla_la_mancha,san_pedro/albacete,Albacete,San Pedro
104,socovos,socovos,albacete,albacete,castilla_la_mancha,castilla_la_mancha,socovos/albacete,Albacete,Socovos
105,tarazona_de_la_mancha,tarazona_de_la_mancha,albacete,albacete,castilla_la_mancha,castilla_la_mancha,tarazona_de_la_mancha/albacete,Albacete,Tarazona de la Mancha
106,tobarra,tobarra,albacete,albacete,castilla_la_mancha,castilla_la_mancha,tobarra/albacete,Albacete,Tobarra
107,valdeganga,valdeganga,albacete,albacete,castilla_la_mancha,castilla_la_mancha,valdeganga/albacete,Albacete,Valdeganga
108,vianos,vianos,albacete,albacete,castilla_la_mancha,castilla_la_mancha,vianos/albacete,Albacete,Vianos
109,villalgordo_del_jucar,villalgordo_del_jucar,albacete,albacete,castilla_la_mancha,castilla_la_mancha,villalgordo_del_jucar/albacete,Albacete,Villalgordo del Júcar
110,villamalea,villamalea,albacete,albacete,castilla_la_mancha,castilla_la_mancha,villamalea/albacete,Albacete,Villamalea
111,villapalacios,villapalacios,albacete,albacete,castilla_la_mancha,castilla_la_mancha,villapalacios/albacete,Albacete,Villapalacios
112,villarrobledo,villarrobledo,albacete,albacete,castilla_la_mancha,castilla_la_mancha,villarrobledo/albacete,Albacete,Villarrobledo
113,villaverde_de_guadalimar,villaverde_de_guadalimar,albacete,albacete,castilla_la_mancha,castilla_la_mancha,villaverde_de_guadalimar/albacete,Albacete,Villaverde de Guadalimar
114,viveros,viveros,albacete,albacete,castilla_la_mancha,castilla_la_mancha,viveros/albacete,Albacete,Viveros
