municipio,total_bib
Adeje,5
Arafo,1
Arona,7
Barlovento,1
Breña Alta,1
Candelaria,8
El Paso,1
El Rosario,2
El Sauzal,1
El Tanque,1
Fasnia,2
Fuencaliente de la Palma,1
Garachico,2
Granadilla de Abona,2
Guía de Isora,1
Güímar,1
Icod de los Vinos,1
La Guancha,1
La Matanza de Acentejo,1
La Orotava,1
La Victoria de Acentejo,1
Los Llanos de Aridane,1
Los Realejos,1
Los Silos,1
Puerto de la Cruz,1
Puntagorda,1
Puntallana,1
San Andrés y Sauces,1
San Cristóbal de La Laguna,1
San Miguel de Abona,1
San Sebastián de la Gomera,1
Santa Cruz de la Palma,2
Santa Cruz de Tenerife,5
Santa Úrsula,2
Santiago del Teide,3
Tacoronte,1
Tazacorte,1
Tegueste,1
Tijarafe,1
Vallehermoso,1
Valverde,1
Vilaflor de Chasna,1
Villa de Mazo,1
Aguilar de Campoo,1
Alar del Rey,1
Astudillo,1
Baltanás,1
Barruelo de Santullán,1
Carrión de los Condes,1
Cervera de Pisuerga,1
Cisneros,1
Dueñas,1
Frómista,1
Guardo,1
Herrera de Pisuerga,1
Osorno la Mayor,1
Palencia,6
Paredes de Nava,1
Saldaña,1
Santibáñez de la Peña,1
Torquemada,1
Velilla del Río Carrión,1
Venta de Baños,1
Villada,1
Villamuriel de Cerrato,1
Villarramiel,1
Agaete,1
Agüimes,6
Antigua,1
Arrecife,3
Artenara,1
Arucas,1
Betancuria,3
Firgas,1
Gáldar,1
Ingenio,2
La Aldea de San Nicolás,1
La Oliva,2
Las Palmas de Gran Canaria,15
Mogán,2
Moya,1
Pájara,2
Puerto del Rosario,2
San Bartolomé,2
San Bartolomé de Tirajana,1
Santa Brígida,1
Santa Lucía de Tirajana,9
Santa María de Guía de Gran Canaria,1
Teguise,1
Tejeda,1
Telde,4
Teror,1
Tías,2
Tinajo,1
Tuineje,2
Valleseco,1
Valsequillo de Gran Canaria,1
Vega de San Mateo,1
Allande,1
Aller,3
Amieva,1
Avilés,5
Belmonte de Miranda,1
Bimenes,1
Boal,1
Cabrales,1
Cabranes,1
Candamo,1
Cangas de Onís,1
Cangas del Narcea,1
Caravia,1
Carreño,1
Castrillón,2
Castropol,2
Coaña,1
Colunga,1
Corvera de Asturias,4
Cudillero,2
Degaña,1
El Franco,1
Gijón,12
Gozón,1
Grado,1
Grandas de Salime,1
Illano,1
Langreo,3
Las Regueras,1
Laviana,3
Lena,3
Llanera,2
Llanes,4
Mieres,4
Morcín,1
Muros de Nalón,2
Nava,1
Navia,2
Noreña,1
Onís,1
Oviedo,12
Parres,1
Peñamellera Baja,1
Piloña,1
Ponga,1
Pravia,1
Proaza,1
Quirós,1
Ribadedeva,1
Ribadesella,1
Ribera de Arriba,1
Riosa,1
Salas,1
San Martín de Oscos,1
San Martín del Rey Aurelio,3
San Tirso de Abres,1
Sariego,1
Siero,7
Sobrescobio,2
Somiedo,1
Soto del Barco,2
Tapia de Casariego,1
Taramundi,1
Teverga,1
Tineo,2
Valdés,1
Vegadeo,1
Villaviciosa,1
A Arnoia,1
A Bola,1
A Gudiña,1
A Mezquita,1
A Pobra de Trives,1
A Rúa,1
A Veiga,1
Allariz,1
Avión,1
Baltar,1
Bande,1
Barbadás,1
Beariz,1
Castrelo de Miño,1
Castrelo do Val,1
Castro Caldelas,1
Celanova,1
Cortegada,1
Entrimo,1
Esgos,1
Leiro,1
Maceda,1
Monterrei,1
Muíños,1
Nogueira de Ramuín,1
O Barco de Valdeorras,1
O Carballiño,1
O Pereiro de Aguiar,1
Os Blancos,1
Ourense,4
Quintela de Leirado,1
Rairiz de Veiga,1
Ramirás,1
Ribadavia,1
Riós,1
Rubiá,1
San Cibrao das Viñas,1
San Cristovo de Cea,1
Verín,1
Viana do Bolo,1
Vilamarín,1
Vilamartín de Valdeorras,1
Vilar de Barrio,1
Vilar de Santos,1
Vilariño de Conso,1
Xinzo de Limia,1
Xunqueira de Ambía,1
Xunqueira de Espadanedo,1
A Cañiza,2
A Estrada,1
A Guarda,1
A Illa de Arousa,1
A Lama,1
Arbo,1
Baiona,1
Barro,1
Bueu,3
Caldas de Reis,1
Cambados,5
Campo Lameiro,1
Cangas,5
Catoira,1
Cerdedo-Cotobade,3
Covelo,1
Crecente,1
Cuntis,1
Forcarei,1
Gondomar,1
Lalín,1
Marín,2
Meaño,1
Ablitas,1
Aibar/Oibar,1
Allo,1
Altsasu/Alsasua,1
Andosilla,1
Añorbe,1
Ansoáin/Antsoain,1
Aoiz/Agoitz,1
Aranguren,1
Arguedas,1
Arróniz,1
Artajona,1
Azagra,1
Barañáin/Barañain,1
Baztan,1
Meis,1
Moaña,3
Mondariz,1
Mondariz-Balneario,1
Moraña,1
Mos,1
Nigrán,1
O Grove,2
O Porriño,1
O Rosal,1
Pazos de Borbén,1
Poio,1
