,municipio_limpio,ccaa,provincia,total_bibliotecas
0,alaior,illes_balears,illes_balears,1
1,alaro,illes_balears,illes_balears,1
2,alcudia,illes_balears,illes_balears,1
3,algaida,illes_balears,illes_balears,1
4,andratx,illes_balears,illes_balears,1
5,arta,illes_balears,illes_balears,2
6,banyalbufar,illes_balears,illes_balears,1
7,binissalem,illes_balears,illes_balears,1
8,buger,illes_balears,illes_balears,1
9,bunyola,illes_balears,illes_balears,1
10,calvia,illes_balears,illes_balears,7
11,campanet,illes_balears,illes_balears,1
12,campos,illes_balears,illes_balears,1
13,capdepera,illes_balears,illes_balears,2
14,ciutadella_de_menorca,illes_balears,illes_balears,1
15,consell,illes_balears,illes_balears,1
16,deia,illes_balears,illes_balears,1
17,eivissa,illes_balears,illes_balears,5
18,es_castell,illes_balears,illes_balears,1
19,es_mercadal,illes_balears,illes_balears,2
20,es_migjorn_gran,illes_balears,illes_balears,1
21,esporles,illes_balears,illes_balears,1
22,felanitx,illes_balears,illes_balears,2
23,ferreries,illes_balears,illes_balears,1
24,formentera,illes_balears,illes_balears,2
25,fornalutx,illes_balears,illes_balears,1
26,inca,illes_balears,illes_balears,1
27,lloret_de_vistalegre,illes_balears,illes_balears,1
28,lloseta,illes_balears,illes_balears,1
29,llubi,illes_balears,illes_balears,1
30,llucmajor,illes_balears,illes_balears,2
31,manacor,illes_balears,illes_balears,3
32,mancor_de_la_vall,illes_balears,illes_balears,1
33,mao_mahon,illes_balears,illes_balears,1
34,maria_de_la_salut,illes_balears,illes_balears,1
35,marratxi,illes_balears,illes_balears,2
36,montuiri,illes_balears,illes_balears,1
37,muro,illes_balears,illes_balears,1
38,palma,illes_balears,illes_balears,22
39,petra,illes_balears,illes_balears,1
40,pollenca,illes_balears,illes_balears,2
41,porreres,illes_balears,illes_balears,1
42,puigpunyent,illes_balears,illes_balears,1
43,sa_pobla,illes_balears,illes_balears,1
44,sant_antoni_de_portmany,illes_balears,illes_balears,1
45,sant_joan,illes_balears,illes_balears,1
46,sant_joan_de_labritja,illes_balears,illes_balears,2
47,sant_josep_de_sa_talaia,illes_balears,illes_balears,4
48,sant_llorenc_des_cardassar,illes_balears,illes_balears,3
49,sant_lluis,illes_balears,illes_balears,1
50,santa_eugenia,illes_balears,illes_balears,1
51,santa_eularia_des_riu,illes_balears,illes_balears,4
52,santa_margalida,illes_balears,illes_balears,2
53,santa_maria_del_cami,illes_balears,illes_balears,1
54,santanyi,illes_balears,illes_balears,2
55,selva,illes_balears,illes_balears,2
56,sencelles,illes_balears,illes_balears,1
57,ses_salines,illes_balears,illes_balears,2
58,sineu,illes_balears,illes_balears,1
59,soller,illes_balears,illes_balears,1
60,son_servera,illes_balears,illes_balears,2
61,valldemossa,illes_balears,illes_balears,1
62,vilafranca_de_bonany,illes_balears,illes_balears,1
63,alcala_de_los_gazules,andalucia,cadiz,1
64,alcala_del_valle,andalucia,cadiz,1
65,algar,andalucia,cadiz,1
66,algeciras,andalucia,cadiz,3
67,algodonales,andalucia,cadiz,1
68,arcos_de_la_frontera,andalucia,cadiz,3
69,barbate,andalucia,cadiz,2
70,benalup_casas_viejas,andalucia,cadiz,1
71,benaocaz,andalucia,cadiz,1
72,bornos,andalucia,cadiz,2
73,cadiz,andalucia,cadiz,5
74,chiclana_de_la_frontera,andalucia,cadiz,1
75,chipiona,andalucia,cadiz,1
76,conil_de_la_frontera,andalucia,cadiz,1
77,el_bosque,andalucia,cadiz,1
78,el_gastor,andalucia,cadiz,1
79,el_puerto_de_santa_maria,andalucia,cadiz,1
80,espera,andalucia,cadiz,1
81,grazalema,andalucia,cadiz,2
82,jerez_de_la_frontera,andalucia,cadiz,10
83,jimena_de_la_frontera,andalucia,cadiz,1
84,la_linea_de_la_concepcion,andalucia,cadiz,1
85,los_barrios,andalucia,cadiz,2
86,medina_sidonia,andalucia,cadiz,1
87,olvera,andalucia,cadiz,1
88,paterna_de_rivera,andalucia,cadiz,1
89,prado_del_rey,andalucia,cadiz,1
90,puerto_real,andalucia,cadiz,1
91,puerto_serrano,andalucia,cadiz,1
92,rota,andalucia,cadiz,2
93,san_fernando,andalucia,cadiz,2
94,san_jose_del_valle,andalucia,cadiz,1
95,san_roque,andalucia,cadiz,5
96,sanlucar_de_barrameda,andalucia,cadiz,1
97,setenil_de_las_bodegas,andalucia,cadiz,1
98,tarifa,andalucia,cadiz,2
99,torre_alhaquime,andalucia,cadiz,1
100,trebujena,andalucia,cadiz,1
101,ubrique,andalucia,cadiz,1
102,vejer_de_la_frontera,andalucia,cadiz,1
103,villamartin,andalucia,cadiz,1
104,zahara,andalucia,cadiz,1
105,adra,andalucia,almeria,3
106,albanchez,andalucia,almeria,1
107,alboloduy,andalucia,almeria,1
108,albox,andalucia,almeria,1
109,alcolea,andalucia,almeria,1
110,alcontar,andalucia,almeria,1
111,alhama_de_almeria,andalucia,almeria,1
112,almeria,andalucia,almeria,5
113,antas,andalucia,almeria,1
114,armuna_de_almanzora,andalucia,almeria,1
115,bacares,andalucia,almeria,1
116,balanegra,andalucia,almeria,1
117,benahadux,andalucia,almeria,1
118,bentarique,andalucia,almeria,1
119,berja,andalucia,almeria,1
120,canjayar,andalucia,almeria,1
121,cantoria,andalucia,almeria,2
122,carboneras,andalucia,almeria,1
123,chercos,andalucia,almeria,1
124,chirivel,andalucia,almeria,1
125,cobdar,andalucia,almeria,1
126,cuevas_del_almanzora,andalucia,almeria,2
127,dalias,andalucia,almeria,1
128,el_ejido,andalucia,almeria,5
129,finana,andalucia,almeria,1
130,fines,andalucia,almeria,1
131,gador,andalucia,almeria,1
132,garrucha,andalucia,almeria,1
133,huercal_de_almeria,andalucia,almeria,1
134,huercal_overa,andalucia,almeria,1
135,illar,andalucia,almeria,1
136,instincion,andalucia,almeria,1
137,la_mojonera,andalucia,almeria,1
138,laujar_de_andarax,andalucia,almeria,1
139,lijar,andalucia,almeria,1
140,lubrin,andalucia,almeria,1
141,lucar,andalucia,almeria,2
142,macael,andalucia,almeria,1
143,maria,andalucia,almeria,1
144,mojacar,andalucia,almeria,1
145,nijar,andalucia,almeria,5
146,olula_del_rio,andalucia,almeria,1
147,oria,andalucia,almeria,1
148,pechina,andalucia,almeria,1
149,pulpi,andalucia,almeria,1
150,purchena,andalucia,almeria,1
151,rioja,andalucia,almeria,1
152,roquetas_de_mar,andalucia,almeria,3
153,senes,andalucia,almeria,1
154,seron,andalucia,almeria,1
155,somontin,andalucia,almeria,1
156,sorbas,andalucia,almeria,1
157,tabernas,andalucia,almeria,1
158,taberno,andalucia,almeria,1
159,terque,andalucia,almeria,1
160,tijola,andalucia,almeria,1
161,turre,andalucia,almeria,1
162,urracal,andalucia,almeria,1
163,velez_blanco,andalucia,almeria,1
164,velez_rubio,andalucia,almeria,1
165,vera,andalucia,almeria,1
166,viator,andalucia,almeria,1
167,vicar,andalucia,almeria,6
168,zurgena,andalucia,almeria,1
