,codigo_postal,municipio_limpio,provincia,num_colegios_privados,num_colegios_publicos
0,00000,a_coruna,a_coruna,6.0,
1,00000,a_pontenova,lugo,,1.0
2,00000,abad,pontevedra,1.0,
3,00000,alivia,a_coruna,,1.0
4,00000,aranda_de_duero,burgos,,1.0
5,00000,arroyo_de_la_encomienda,valladolid,,1.0
6,00000,betanzos,a_coruna,1.0,
7,00000,biduido_de_arriba,a_coruna,1.0,
8,00000,boecillo,valladolid,,1.0
9,00000,caceres,caceres,,1.0
10,00000,cambados,pontevedra,,1.0
11,00000,ceo,pontevedra,,1.0
12,00000,ciudad_real,ciudad_real,1.0,
13,00000,doninos_de_salamanca,salamanca,,1.0
14,00000,el_barraco,avila,,1.0
15,00000,fisterra,a_coruna,1.0,
16,00000,fontan,a_coruna,,1.0
17,00000,garrida,pontevedra,1.0,
18,00000,guadalajara,guadalajara,1.0,
19,00000,laguna_de_duero,valladolid,,1.0
20,00000,lugo,lugo,4.0,
21,00000,o_barco,ourense,,1.0
22,00000,o_carballino,ourense,1.0,
23,00000,ourense,ourense,2.0,
24,00000,parque_montouto,a_coruna,1.0,
25,00000,pedrajas_de_san_esteban,valladolid,,1.0
26,00000,penaranda_de_bracamonte,salamanca,,1.0
27,00000,penarredonda,a_coruna,1.0,
28,00000,portobravo,a_coruna,,1.0
29,00000,rabade,lugo,,1.0
30,00000,renedo_de_esgueva,valladolid,,1.0
31,00000,salamanca,salamanca,,1.0
32,00000,santiago_de_compostela,a_coruna,1.0,
33,00000,silleda,pontevedra,1.0,
34,00000,soria,soria,,1.0
35,00000,toledo,toledo,1.0,
36,00000,tudela_de_duero,valladolid,,1.0
37,00000,valladolid,valladolid,,1.0
38,00000,venta_de_banos,palencia,,1.0
39,00000,verin,ourense,1.0,
40,00000,vigo,pontevedra,8.0,
41,00000,vilanova_de_arousa,pontevedra,1.0,
42,00000,villamuriel_de_cerrato,palencia,,1.0
43,00000,xove,lugo,,1.0
44,00000,zaratan,valladolid,,1.0
45,01000,vitoria_gasteiz,araba,3.0,1.0
46,01001,vitoria_gasteiz,araba,1.0,3.0
47,01002,vitoria_gasteiz,araba,3.0,11.0
48,01003,vitoria_gasteiz,araba,3.0,8.0
49,01004,vitoria_gasteiz,araba,1.0,1.0
50,01005,vitoria_gasteiz,araba,7.0,
51,01006,vitoria_gasteiz,araba,6.0,7.0
52,01007,krispina,araba,1.0,
53,01007,vitoria_gasteiz,araba,9.0,4.0
54,01008,vitoria_gasteiz,araba,5.0,4.0
55,01009,vitoria_gasteiz,araba,1.0,5.0
56,01010,vitoria_gasteiz,araba,4.0,19.0
57,01012,vitoria_gasteiz,araba,1.0,5.0
58,01013,abetxuko,araba,1.0,
59,01013,gamarra_mayor,araba,,1.0
60,01013,vitoria_gasteiz,araba,1.0,7.0
61,01015,vitoria_gasteiz,araba,4.0,7.0
62,01085,vitoria_gasteiz,araba,,1.0
63,01110,santa_cruz_de_campezo,araba,,3.0
64,01118,bernedo,araba,,1.0
65,01120,maeztu,araba,,2.0
66,01130,murgia,araba,,2.0
67,01138,gopegi,araba,,2.0
68,01139,sarria,araba,,1.0
69,01160,ibarra,araba,,2.0
70,01170,legutio,araba,,3.0
71,01190,ehari,araba,,1.0
72,01192,arkauti,araba,,1.0
73,01193,trokoniz,araba,1.0,
74,01200,agurain,araba,1.0,5.0
75,01206,ozaeta,araba,,1.0
76,01208,albeiz,araba,,1.0
77,01211,berantevilla,araba,,1.0
78,01213,rivabellosa,araba,,1.0
79,01220,manzanos,araba,1.0,
80,01230,nanclares_de_la_oca,araba,1.0,3.0
81,01240,alegria_dulantzi,araba,,3.0
82,01250,araia,araba,,2.0
83,01300,laguardia,araba,,3.0
84,01306,lapuebla_de_labarca,araba,1.0,
85,01307,banos_de_ebro,araba,1.0,
86,01307,samaniego,araba,1.0,1.0
87,01307,villabuena_de_alava,araba,1.0,
88,01308,lanciego,araba,,1.0
89,01320,oyon_oion,araba,1.0,2.0
90,01330,labastida,araba,2.0,2.0
91,01340,elciego,araba,,2.0
92,01400,laudio,araba,4.0,8.0
93,01409,irabien,araba,,2.0
94,01420,pobes,araba,,1.0
95,01426,villanueva_de_valdegovia,araba,,2.0
96,01440,izarra,araba,,3.0
97,01470,amurrio,araba,3.0,6.0
98,01474,artziniega,araba,1.0,2.0
99,01477,menagarai,araba,1.0,
100,01477,quejana,araba,,1.0
101,01477,zuaza,araba,,1.0
102,01520,durana,araba,,2.0
