,municipio_limpio,ccaa,num_universidades_privadas,num_universidades_publicas,num_tit_uni_privadas,num_tit_uni_publicas
0,albacete,castilla_la_mancha,,1.0,,52.0
1,alcala_de_henares,madrid,1.0,1.0,5.0,114.0
2,alcobendas,comunitat_valenciana,1.0,,6.0,
3,alcobendas,madrid,3.0,,26.0,
4,alcorcon,madrid,,1.0,,21.0
5,alcoy,comunitat_valenciana,,1.0,,12.0
6,alfara_del_patriarca,comunitat_valenciana,1.0,,61.0,
7,algeciras,andalucia,,1.0,,13.0
8,almaden,castilla_la_mancha,,1.0,,5.0
9,almendralejo,extremadura,,1.0,,6.0
10,almeria,andalucia,,1.0,,101.0
11,almunia_de_dona_godina,aragon,,1.0,,4.0
12,altea,comunitat_valenciana,,1.0,,3.0
13,alzira,comunitat_valenciana,1.0,,9.0,
14,antequera,andalucia,,1.0,,2.0
15,aranjuez,madrid,,3.0,,12.666666666666666
16,aretxabaleta,pais_vasco,1.0,,1.0,
17,arrasate,pais_vasco,1.0,,16.0,
18,arucas,canarias,,1.0,,2.0
19,avila,castilla_y_leon,1.0,1.0,25.0,11.0
20,badajoz,extremadura,,1.0,,59.0
21,barcelona,cataluna,5.0,7.0,49.4,79.85714285714286
22,barcelona,navarra,1.0,,6.0,
23,bejar,castilla_y_leon,,1.0,,7.0
24,belmez,andalucia,,1.0,,4.0
25,bilbao,pais_vasco,2.0,1.0,43.5,22.0
26,boadilla_del_monte,madrid,1.0,1.0,40.0,9.0
27,bormujos,andalucia,,1.0,,5.0
28,burgos,castilla_y_leon,1.0,1.0,16.0,60.0
29,burjassot,comunitat_valenciana,1.0,1.0,10.0,54.0
30,caceres,extremadura,,1.0,,78.0
31,cadiz,andalucia,,1.0,,54.0
32,cartagena,murcia,,2.0,,26.5
33,castelldefels,cataluna,,1.0,,13.0
34,castellon_de_la_plana,comunitat_valenciana,1.0,2.0,8.0,49.5
35,catarroja,comunitat_valenciana,,2.0,,4.5
36,cerdanyola_del_valles,cataluna,,1.0,,251.0
37,ceuta,andalucia,,1.0,,7.0
38,ciempozuelos,madrid,1.0,,4.0,
39,ciudad_real,castilla_la_mancha,,1.0,,54.0
40,collado_villalba,madrid,1.0,,65.0,
41,colmenarejo,madrid,,1.0,,6.0
42,comillas,cantabria,,1.0,,2.0
43,cordoba,andalucia,1.0,1.0,14.0,109.0
44,coruna,aragon,1.0,,4.0,
45,coruna,galicia,,1.0,,116.0
46,cuenca,castilla_la_mancha,,1.0,,26.0
47,donostia,navarra,1.0,,14.0,
48,donostia,pais_vasco,2.0,1.0,9.5,24.0
49,eibar,pais_vasco,,1.0,,1.0
50,eivissa,balears,,1.0,,1.0
51,elche,comunitat_valenciana,1.0,1.0,17.0,48.0
52,elda,comunitat_valenciana,,1.0,,1.0
53,elgoibar,pais_vasco,,1.0,,1.0
54,escorial,madrid,,1.0,,3.0
55,eskoriatza,pais_vasco,1.0,,6.0,
56,ferrol,galicia,,1.0,,27.0
57,fuenlabrada,madrid,,1.0,,58.0
58,gandia,comunitat_valenciana,,1.0,,8.0
59,getafe,madrid,,1.0,,60.0
60,gijon,asturias,,1.0,,26.0
61,girona,cataluna,,1.0,,100.0
62,godella,comunitat_valenciana,1.0,,14.0,
63,granada,andalucia,,1.0,,226.0
64,guadalajara,madrid,,1.0,,10.0
65,hernani,pais_vasco,1.0,,4.0,
66,huelva,andalucia,,1.0,,74.0
67,huesca,aragon,,1.0,,16.0
68,igualada,cataluna,,1.0,,3.0
69,irun,pais_vasco,1.0,,2.0,
70,jaen,andalucia,,1.0,,104.0
71,jerez_de_la_frontera,andalucia,,1.0,,18.0
72,leganes,madrid,,1.0,,40.0
73,leioa,pais_vasco,,1.0,,191.0
74,leon,castilla_y_leon,,1.0,,96.0
75,linares,andalucia,,1.0,,13.0
76,linea_de_la_concepcion,andalucia,,1.0,,2.0
77,lleida,cataluna,,1.0,,106.0
78,logrono,rioja,1.0,1.0,75.0,41.0
79,lorca,murcia,,1.0,,2.0
80,lugo,galicia,,1.0,,39.0
81,madrid,castilla_y_leon,2.0,,12.5,
82,madrid,madrid,5.0,6.0,46.6,130.33333333333334
83,madrid,navarra,1.0,,8.0,
84,malaga,andalucia,,1.0,,170.0
85,manresa,cataluna,1.0,2.0,8.0,10.0
86,marin,galicia,,1.0,,1.0
87,mataro,cataluna,,2.0,,11.0
88,melilla,andalucia,,1.0,,13.0
89,merida,extremadura,,1.0,,8.0
90,mieres,asturias,,1.0,,9.0
91,mollet_del_valles,cataluna,,1.0,,1.0
92,mostoles,madrid,,1.0,,134.0
93,municipio_no_perteneciente_a_la_ue,navarra,1.0,,1.0,
94,murcia,murcia,1.0,1.0,83.0,155.0
95,oleiros,galicia,,1.0,,4.0
96,onati,pais_vasco,1.0,,9.0,
97,ontinyent,comunitat_valenciana,,1.0,,5.0
98,ordizia,pais_vasco,1.0,,1.0,
99,orihuela,comunitat_valenciana,,1.0,,13.0
100,orotava,canarias,1.0,,14.0,
101,osuna,andalucia,,1.0,,8.0
102,ourense,galicia,,1.0,,35.0
103,oviedo,asturias,,1.0,,131.0
104,palencia,castilla_y_leon,,1.0,,19.0
105,palma_de_mallorca,balears,,1.0,,104.0
106,palma_de_mallorca,madrid,1.0,,8.0,
107,palmas_de_gran_canaria,canarias,,1.0,,92.0
108,palos_de_la_frontera,andalucia,,1.0,,16.0
109,pamplona,navarra,1.0,1.0,94.0,62.0
110,plasencia,extremadura,,1.0,,4.0
111,ponferrada,castilla_y_leon,,1.0,,7.0
112,pontevedra,galicia,,1.0,,24.0
113,portugalete,pais_vasco,,1.0,,4.0
114,pozuelo_de_alarcon,madrid,1.0,2.0,40.0,37.0
115,puerto_de_la_cruz,canarias,,1.0,,1.0
116,puerto_del_rosario,canarias,,1.0,,1.0
117,puerto_real,andalucia,,1.0,,64.0
118,reus,cataluna,,1.0,,21.0
119,ronda,andalucia,,1.0,,1.0
120,rozas_de_madrid,madrid,1.0,,6.0,
121,salamanca,castilla_y_leon,1.0,1.0,22.0,183.0
122,saldes,cataluna,,1.0,,2.0
123,salt,cataluna,,1.0,,3.0
124,san_cristobal_de_la_laguna,canarias,,1.0,,101.0
125,san_javier,murcia,,2.0,,2.0
126,san_vicente_del_raspeig,comunitat_valenciana,,1.0,,127.0
127,sant_cugat_del_valles,cataluna,1.0,2.0,11.0,5.5
128,sant_joan_d_alacant,comunitat_valenciana,,1.0,,18.0
129,sant_pol_de_mar,cataluna,,1.0,,1.0
130,santa_cruz_de_bezana,castilla_y_leon,1.0,,1.0,
131,santa_cruz_de_tenerife,canarias,,1.0,,2.0
132,santa_maria_de_guia_de_gran_canaria,canarias,1.0,,7.0,
133,santander,cantabria,1.0,1.0,22.0,85.0
134,santiago_de_compostela,galicia,,1.0,,138.0
135,segovia,castilla_y_leon,1.0,1.0,18.0,14.0
136,sevilla,andalucia,1.0,3.0,39.0,126.0
137,soria,castilla_y_leon,,1.0,,14.0
138,talavera_de_la_reina,castilla_la_mancha,,1.0,,7.0
139,tarragona,cataluna,,1.0,,93.0
140,teguise,canarias,,1.0,,2.0
141,terrassa,cataluna,,3.0,,14.333333333333334
142,teruel,aragon,,1.0,,10.0
143,toledo,castilla_la_mancha,,1.0,,35.0
144,torrelavega,cantabria,,1.0,,6.0
145,torrent,comunitat_valenciana,1.0,,14.0,
146,tortosa,cataluna,,1.0,,3.0
147,tudela,navarra,,1.0,,2.0
148,ubeda,andalucia,,1.0,,2.0
149,valencia,comunitat_valenciana,4.0,3.0,30.0,111.66666666666667
150,valencia,madrid,1.0,,6.0,
151,valladolid,castilla_y_leon,2.0,1.0,12.5,123.0
152,vic,cataluna,1.0,,56.0,
153,vigo,galicia,,1.0,,93.0
154,vila_seca,cataluna,,1.0,,7.0
155,vilablareix,cataluna,,1.0,,3.0
156,vilanova_i_la_geltru,cataluna,,1.0,,9.0
157,villagonzalo_de_tormes,castilla_y_leon,,1.0,,1.0
158,villanueva_de_gallego,aragon,1.0,,22.0,
159,villanueva_de_la_canada,madrid,2.0,,66.0,
160,villaviciosa_de_odon,madrid,1.0,,140.0,
161,vitoria_gasteiz,pais_vasco,,1.0,,23.0
162,xativa,comunitat_valenciana,1.0,,4.0,
163,zamora,castilla_y_leon,,1.0,,13.0
164,zaragoza,aragon,1.0,1.0,1.0,141.0
