,cp,num_centros_salud
0,01001,1
1,01002,2
2,01003,1
3,01004,1
4,01006,1
5,01008,1
6,01009,1
7,01010,3
8,01012,1
9,01013,2
10,01015,1
11,01110,1
12,01118,1
13,01120,1
14,01130,1
15,01138,1
16,01160,1
17,01170,1
18,01200,1
19,01206,1
20,01211,1
21,01212,2
22,01213,2
23,01230,1
24,01240,1
25,01250,1
26,01300,1
27,01306,1
28,01307,1
29,01308,1
30,01309,2
31,01320,1
32,01322,2
33,01330,1
34,01340,1
35,01400,1
36,01409,1
37,01420,1
38,01423,2
39,01426,2
40,01427,1
41,01430,1
42,01440,1
43,01470,1
44,01474,1
45,01476,1
46,01479,1
47,01520,1
48,02001,2
49,02003,1
50,02005,1
51,02006,5
52,02049,1
53,02100,1
54,02110,1
55,02120,1
56,02124,2
57,02125,2
58,02127,2
59,02129,2
60,02130,1
61,02136,1
62,02138,1
63,02140,2
64,02141,1
65,02142,2
66,02150,1
67,02151,1
68,02152,1
69,02153,1
70,02154,2
71,02155,1
72,02156,1
73,02160,1
74,02161,2
75,02162,1
76,02200,1
77,02210,1
78,02211,2
79,02212,1
80,02213,2
81,02214,5
82,02215,3
83,02220,1
84,02230,1
85,02240,1
86,02246,1
87,02247,1
88,02248,1
89,02249,4
90,02250,1
91,02253,1
92,02260,1
93,02270,1
94,02300,1
95,02310,1
96,02311,1
97,02313,1
98,02314,2
99,02315,1
100,02316,2
101,02320,1
102,02326,2
103,02327,1
104,02328,2
105,02329,1
106,02340,3
107,02350,1
108,02360,1
109,02400,2
110,02409,5
111,02410,1
112,02420,1
113,02430,1
114,02434,4
115,02435,1
116,02436,1
117,02437,1
118,02439,2
119,02440,1
120,02448,5
121,02449,5
122,02450,1
123,02460,2
124,02461,1
125,02462,1
126,02480,2
127,02484,1
128,02485,4
129,02486,2
130,02487,1
131,02489,3
132,02490,1
133,02499,2
134,02500,1
135,02510,1
136,02512,2
137,02513,3
138,02520,2
139,02530,3
140,02534,1
141,02536,3
142,02600,1
143,02610,1
144,02611,1
145,02612,1
146,02614,1
147,02620,1
148,02630,1
149,02636,1
150,02637,1
151,02638,1
152,02639,1
153,02640,1
154,02650,1
155,02651,1
156,02652,1
157,02653,1
158,02660,1
159,02690,1
160,02691,1
161,02692,2
162,02693,2
163,02694,1
164,02695,1
165,02696,1
166,03001,1
167,03002,1
168,03005,1
169,03007,4
170,03008,2
171,03009,1
172,03010,3
173,03011,1
174,03013,1
175,03015,3
176,03016,1
177,03100,1
178,03108,1
179,03109,1
180,03110,2
181,03111,1
182,03112,1
183,03113,1
184,03130,6
185,03139,2
186,03140,2
187,03150,1
188,03158,2
189,03159,1
190,03160,1
191,03169,1
192,03170,3
193,03177,3
194,03178,1
195,03179,2
196,03181,1
197,03183,1
198,03185,1
199,03187,1
200,03188,2
201,03189,1
202,03190,1
203,03191,3
204,03193,1
205,03194,1
206,03195,2
207,03201,3
208,03202,1
209,03203,1
210,03204,1
211,03205,1
212,03206,1
213,03292,1
214,03293,1
215,03294,1
216,03295,1
217,03296,1
218,03300,6
219,03310,1
220,03311,1
221,03312,2
222,03313,2
223,03314,2
224,03315,2
225,03316,1
226,03317,2
227,03320,1
228,03322,1
229,03330,1
230,03339,1
231,03340,1
232,03348,1
233,03349,1
234,03350,1
235,03360,1
236,03369,1
237,03370,2
238,03380,1
239,03390,1
240,03400,4
241,03409,1
242,03410,1
243,03420,1
244,03430,1
245,03440,2
246,03450,1
247,03460,1
248,03469,1
249,03501,1
250,03502,3
251,03509,2
252,03510,1
253,03516,1
254,03517,5
255,03518,2
256,03520,1
257,03530,3
258,03540,2
259,03550,1
260,03560,3
261,03569,1
262,03570,2
263,03578,1
264,03579,2
265,03580,2
266,03590,3
267,03600,3
268,03610,2
269,03630,1
270,03638,1
271,03640,2
272,03650,1
273,03660,1
274,03668,1
275,03669,2
276,03670,1
277,03680,1
278,03688,2
279,03689,2
280,03690,3
281,03698,1
282,03699,1
283,03700,5
284,03710,3
285,03720,2
286,03723,1
287,03724,1
288,03725,1
289,03726,1
290,03727,1
291,03728,1
292,03729,2
293,03730,3
294,03740,1
295,03750,1
296,03759,1
297,03760,1
298,03769,3
299,03770,1
300,03778,1
301,03779,1
302,03780,1
303,03786,2
304,03787,3
305,03788,4
306,03789,1
307,03790,1
308,03791,3
309,03792,2
310,03793,1
311,03794,1
312,03795,2
313,03801,2
314,03802,2
315,03804,1
316,03810,1
317,03811,2
318,03812,3
319,03813,3
320,03814,2
321,03815,1
322,03816,1
323,03820,1
324,03827,3
325,03828,4
326,03829,1
327,03830,1
328,03837,1
329,03838,1
330,03840,1
331,03841,1
332,03850,1
333,03860,1
334,04001,1
335,04002,2
336,04004,1
337,04006,1
338,04007,3
339,04008,2
340,04009,4
341,04100,1
342,04110,1
343,04113,2
344,04114,2
345,04115,1
346,04116,4
347,04117,5
348,04118,2
349,04120,3
350,04130,2
351,04140,1
352,04149,5
353,04150,1
354,04151,2
355,04160,1
356,04200,1
357,04210,1
358,04211,1
359,04212,3
360,04213,1
361,04230,3
362,04240,1
363,04250,1
364,04260,1
365,04270,1
366,04271,9
367,04275,2
368,04276,4
369,04277,1
370,04278,1
371,04279,1
372,04280,2
373,04288,1
374,04289,1
375,04400,1
376,04409,2
377,04410,1
378,04420,1
379,04430,1
380,04431,1
381,04440,1
382,04450,1
383,04458,3
384,04459,1
385,04460,1
386,04470,1
387,04479,4
388,04480,1
389,04500,1
390,04510,1
391,04520,1
392,04530,2
393,04531,1
394,04532,1
395,04540,1
396,04549,1
397,04550,1
398,04558,1
399,04560,1
400,04567,1
401,04568,2
402,04569,2
403,04600,2
404,04610,1
405,04616,1
406,04617,1
407,04619,3
408,04620,1
409,04628,1
410,04629,1
411,04630,2
412,04638,2
413,04639,1
414,04640,1
415,04647,4
416,04648,1
417,04650,1
418,04660,1
419,04661,1
420,04691,1
421,04692,1
422,04693,2
423,04700,4
424,04710,1
425,04711,1
426,04712,1
427,04713,1
428,04715,2
429,04716,1
430,04717,1
431,04720,3
432,04727,1
433,04728,1
434,04729,1
435,04738,6
436,04740,3
437,04741,1
438,04743,1
439,04745,1
440,04746,1
441,04750,1
442,04760,1
443,04768,1
444,04769,1
445,04770,2
446,04779,1
447,04800,1
448,04810,2
449,04811,1
450,04813,3
451,04815,1
452,04820,1
453,04825,2
454,04830,1
455,04838,1
456,04839,2
457,04850,1
458,04857,1
459,04859,3
460,04860,1
461,04867,1
462,04869,1
463,04870,1
464,04877,1
465,04878,2
466,04879,1
467,04880,1
468,04887,3
469,04888,2
470,04889,1
471,04890,1
472,04897,1
473,04898,1
474,05001,2
475,05003,3
476,05100,1
477,05110,2
478,05111,1
479,05113,1
480,05114,1
481,05115,2
482,05120,5
483,05122,2
484,05123,2
485,05130,4
486,05131,3
487,05132,4
488,05133,1
489,05134,3
490,05140,5
491,05141,6
492,05143,2
493,05145,5
494,05146,7
495,05147,5
496,05148,1
497,05149,2
498,05150,2
499,05151,3
500,05153,5
501,05154,4
502,05160,2
503,05162,1
504,05163,3
505,05164,3
506,05165,4
507,05166,2
508,05190,2
509,05191,2
510,05192,3
511,05193,3
512,05194,4
513,05195,2
514,05196,1
515,05197,3
516,05198,1
517,05200,1
518,05210,1
519,05211,4
520,05212,5
521,05213,1
522,05214,1
523,05215,4
524,05216,5
525,05217,5
526,05220,1
527,05229,4
528,05230,1
529,05239,1
530,05240,1
531,05250,1
532,05260,1
533,05267,1
534,05268,3
535,05270,1
536,05280,1
537,05289,3
538,05290,2
539,05291,2
540,05292,4
541,05296,4
542,05298,3
543,05299,2
544,05300,2
545,05301,1
546,05309,5
547,05310,1
548,05320,1
549,05350,2
550,05357,10
551,05358,5
552,05369,1
553,05370,2
554,05380,2
555,05400,2
556,05412,1
557,05413,4
558,05414,1
559,05415,1
560,05416,1
561,05417,1
562,05418,2
563,05420,1
564,05427,2
565,05428,1
566,05429,2
567,05430,1
568,05440,1
569,05450,1
570,05460,1
571,05461,1
572,05470,1
573,05480,2
574,05490,1
575,05492,1
576,05500,2
577,05510,1
578,05514,7
579,05515,2
580,05516,4
581,05520,6
582,05530,3
583,05540,5
584,05560,8
585,05571,4
586,05580,7
587,05591,1
588,05592,4
589,05593,1
590,05600,1
591,05610,1
592,05619,4
593,05620,1
594,05621,4
595,05630,5
596,05631,6
597,05633,1
598,05634,2
599,05635,2
600,05690,5
601,05691,4
602,05692,3
603,05693,4
604,05694,2
605,05695,1
606,05696,3
607,05697,6
608,06001,1
609,06002,1
610,06006,1
611,06007,1
612,06008,2
613,06010,2
614,06011,1
615,06100,1
616,06105,1
617,06106,1
618,06107,1
619,06108,1
620,06109,2
621,06110,1
622,06120,1
623,06129,1
624,06130,1
625,06131,1
626,06132,1
627,06133,1
628,06134,1
629,06140,1
630,06150,1
631,06160,1
632,06170,2
633,06171,1
634,06172,1
635,06173,1
636,06174,1
637,06175,1
638,06176,2
639,06177,1
640,06178,1
641,06180,1
642,06181,1
643,06182,1
644,06183,1
645,06184,1
646,06185,1
647,06186,1
648,06187,1
649,06190,1
650,06191,1
651,06192,1
652,06194,1
653,06195,2
654,06196,3
655,06197,2
656,06200,2
657,06207,1
658,06208,1
659,06209,1
660,06210,1
661,06220,1
662,06225,1
663,06226,1
664,06227,1
665,06228,1
666,06229,1
667,06230,1
668,06240,1
669,06249,1
670,06250,1
671,06260,1
672,06270,1
673,06280,1
674,06290,1
675,06291,1
676,06292,1
677,06293,1
678,06300,1
679,06310,1
680,06320,1
681,06329,1
682,06330,1
683,06340,1
684,06350,1
685,06360,1
686,06370,1
687,06378,1
688,06380,1
689,06389,3
690,06390,1
691,06391,1
692,06393,1
693,06394,1
694,06400,2
695,06410,4
696,06411,2
697,06412,3
698,06413,1
699,06420,1
700,06427,1
701,06428,1
702,06429,1
703,06430,1
704,06439,1
705,06440,1
706,06441,1
707,06442,1
708,06443,1
709,06444,1
710,06445,1
711,06450,1
712,06458,1
713,06459,1
714,06460,1
715,06468,1
716,06469,1
717,06470,1
718,06473,1
719,06474,1
720,06475,1
721,06476,1
722,06477,1
723,06478,1
724,06479,1
725,06480,1
726,06486,1
727,06487,1
728,06488,1
729,06489,1
730,06498,1
731,06499,1
732,06500,1
733,06510,1
734,06518,1
735,06600,1
736,06610,1
737,06611,2
738,06612,1
739,06613,1
740,06614,1
741,06615,1
742,06620,1
743,06630,1
744,06640,1
745,06650,1
746,06655,1
747,06656,1
748,06657,1
