,cp,municipio_limpio,provincia,uds_guardia_civil
0,10003,caceres,caceres,1
1,1010,vitoria,alava,1
2,10100,miajadas,caceres,1
3,10110,madrigalejo,caceres,1
4,10120,logrosan,caceres,1
5,10129,berzocana,caceres,1
6,10130,zorita,caceres,1
7,10132,almoharin,caceres,1
8,10134,campo_lugar,caceres,1
9,10136,ca_amero,caceres,1
10,10137,alia,caceres,1
11,10140,guadalupe,caceres,1
12,10160,alcuescar,caceres,1
13,10162,casas_de_don_antonio,caceres,1
14,10163,aldea_del_cano,caceres,1
15,10170,montanchez,caceres,1
16,10180,valdefuentes,caceres,1
17,10181,sierra_de_fuentes,caceres,1
18,10184,torremocha,caceres,1
19,10190,casar_de_caceres,caceres,1
20,10191,santiago_del_campo,caceres,1
21,10193,talavan,caceres,1
22,10194,monroy,caceres,1
23,10200,trujillo,caceres,1
24,10210,madro_era,caceres,1
25,10252,torrecilla_de_la_tiesa,caceres,1
26,10280,ibahernando,caceres,1
27,10300,navalmoral_de_la_mata,caceres,1
28,10310,talayuela,caceres,1
29,10330,villar_del_pedroso,caceres,1
30,10332,valdelacasa_de_tajo,caceres,1
31,10335,peraleda_de_la_mata,caceres,1
32,10340,casta_ar_de_ibor,caceres,1
33,10350,almaraz_de_tajo,caceres,1
34,10370,deleitosa,caceres,1
35,10400,jaraiz_de_la_vera,caceres,1
36,10450,jarandilla_de_la_vera,caceres,1
37,10470,villanueva_de_la_vera,caceres,1
38,10500,valencia_de_alcantara,caceres,1
39,10510,santiago_de_alcantara,caceres,1
40,10512,herrera_de_alcantara,caceres,1
41,10520,casatejada,caceres,1
42,10530,serradilla,caceres,1
43,10550,aliseda,caceres,1
44,10570,salorino,caceres,1
45,10600,plasencia,caceres,1
46,10612,jerte,caceres,1
47,10613,navaconcejo,caceres,1
48,10616,casas_del_casta_ar,caceres,1
49,10620,caminomorisco,caceres,1
50,10626,nunomoral,caceres,1
51,10640,casar_de_palomero,caceres,1
52,10650,ahigal,caceres,1
53,10680,malpartida_de_plasencia,caceres,1
54,10694,torrejon_el_rubio,caceres,1
55,10700,hervas,caceres,1
56,10710,zarza_de_granadilla,caceres,1
57,10800,coria,caceres,1
58,10810,montehermoso,caceres,1
59,10812,villanueva_de_la_sierra,caceres,1
60,10830,torrejoncillo,caceres,1
61,10840,moraleja,caceres,1
62,10850,hoyos,caceres,1
63,10860,gata,caceres,1
64,10870,ceclavin,caceres,1
65,10880,zarza_la_mayor,caceres,1
66,10890,valverde_del_fresno,caceres,1
67,10892,san_martin_de_trevejo,caceres,1
68,10895,cilleros,caceres,1
69,10900,arroyo_de_la_luz,caceres,1
70,10910,malpartida_de_caceres,caceres,1
71,10930,navas_del_madro_o,caceres,1
72,10940,garrovillas,caceres,1
73,10950,brozas,caceres,1
74,10980,alcantara,caceres,1
75,11007,cadiz,cadiz,1
76,11011,cadiz,cadiz,1
77,11071,cadiz,cadiz,1
78,1110,santa_cruz_de_campezo,alava,1
79,11130,chiclana_de_la_frontera,cadiz,1
80,11140,conil_de_la_frontera,cadiz,1
81,11150,vejer_de_la_frontera,cadiz,1
82,11160,barbate,cadiz,1
83,11170,casas_viejas,cadiz,1
84,11170,medina_sidonia,cadiz,1
85,11178,paterna_de_rivera,cadiz,1
86,11180,alcala_de_los_gazules,cadiz,1
87,11201,algeciras,cadiz,1
88,11202,algeciras,cadiz,1
89,11207,algeciras,cadiz,1
