ccaa_prov,municipio,total_bib
Illes Balears - Illes Balears,Alaior,1
Illes Balears - Illes Balears,Alaró,1
Illes Balears - Illes Balears,Alcúdia,1
Illes Balears - Illes Balears,Algaida,1
Illes Balears - Illes Balears,Andratx,1
Illes Balears - Illes Balears,Artà,2
Illes Balears - Illes Balears,Banyalbufar,1
Illes Balears - Illes Balears,Binissalem,1
Illes Balears - Illes Balears,Búger,1
Illes Balears - Illes Balears,Bunyola,1
Illes Balears - Illes Balears,Calvià,7
Illes Balears - Illes Balears,Campanet,1
Illes Balears - Illes Balears,Campos,1
Illes Balears - Illes Balears,Capdepera,2
Illes Balears - Illes Balears,Ciutadella de Menorca,1
Illes Balears - Illes Balears,Consell,1
Illes Balears - Illes Balears,Deià,1
Illes Balears - Illes Balears,Eivissa,5
Illes Balears - Illes Balears,Es Castell,1
Illes Balears - Illes Balears,Es Mercadal,2
Illes Balears - Illes Balears,Es Migjorn Gran,1
Illes Balears - Illes Balears,Esporles,1
Illes Balears - Illes Balears,Felanitx,2
Illes Balears - Illes Balears,Ferreries,1
Illes Balears - Illes Balears,Formentera,2
Illes Balears - Illes Balears,Fornalutx,1
Illes Balears - Illes Balears,Inca,1
Illes Balears - Illes Balears,Lloret de Vistalegre,1
Illes Balears - Illes Balears,Lloseta,1
Illes Balears - Illes Balears,Llubí,1
Illes Balears - Illes Balears,Llucmajor,2
Illes Balears - Illes Balears,Manacor,3
Illes Balears - Illes Balears,Mancor de la Vall,1
Illes Balears - Illes Balears,Maó-Mahón,1
Illes Balears - Illes Balears,Maria de la Salut,1
Illes Balears - Illes Balears,Marratxí,2
Illes Balears - Illes Balears,Montuïri,1
Illes Balears - Illes Balears,Muro,1
Illes Balears - Illes Balears,Palma,22
Illes Balears - Illes Balears,Petra,1
Illes Balears - Illes Balears,Pollença,2
Illes Balears - Illes Balears,Porreres,1
Illes Balears - Illes Balears,Puigpunyent,1
Illes Balears - Illes Balears,Sa Pobla,1
Illes Balears - Illes Balears,Sant Antoni de Portmany,1
Illes Balears - Illes Balears,Sant Joan,1
Illes Balears - Illes Balears,Sant Joan de Labritja,2
Illes Balears - Illes Balears,Sant Josep de sa Talaia,4
Illes Balears - Illes Balears,Sant Llorenç des Cardassar,3
Illes Balears - Illes Balears,Sant Lluís,1
Illes Balears - Illes Balears,Santa Eugènia,1
Illes Balears - Illes Balears,Santa Eulària des Riu,4
Illes Balears - Illes Balears,Santa Margalida,2
Illes Balears - Illes Balears,Santa María del Camí,1
Illes Balears - Illes Balears,Santanyí,2
Illes Balears - Illes Balears,Selva,2
Illes Balears - Illes Balears,Sencelles,1
Illes Balears - Illes Balears,Ses Salines,2
Illes Balears - Illes Balears,Sineu,1
Illes Balears - Illes Balears,Sóller,1
Illes Balears - Illes Balears,Son Servera,2
Illes Balears - Illes Balears,Valldemossa,1
Illes Balears - Illes Balears,Vilafranca de Bonany,1
Andalucía - Cádiz,Alcalá de los Gazules,1
Andalucía - Cádiz,Alcalá del Valle,1
Andalucía - Cádiz,Algar,1
Andalucía - Cádiz,Algeciras,3
Andalucía - Cádiz,Algodonales,1
Andalucía - Cádiz,Arcos de la Frontera,3
Andalucía - Cádiz,Barbate,2
Andalucía - Cádiz,Benalup-Casas Viejas,1
Andalucía - Cádiz,Benaocaz,1
Andalucía - Cádiz,Bornos,2
Andalucía - Cádiz,Cádiz,5
Andalucía - Cádiz,Chiclana de la Frontera,1
Andalucía - Cádiz,Chipiona,1
Andalucía - Cádiz,Conil de la Frontera,1
Andalucía - Cádiz,El Bosque,1
Andalucía - Cádiz,El Gastor,1
Andalucía - Cádiz,El Puerto de Santa María,1
Andalucía - Cádiz,Espera,1
Andalucía - Cádiz,Grazalema,2
Andalucía - Cádiz,Jerez de la Frontera,10
Andalucía - Cádiz,Jimena de la Frontera,1
Andalucía - Cádiz,La Línea de la Concepción,1
Andalucía - Cádiz,Los Barrios,2
Andalucía - Cádiz,Medina Sidonia,1
Andalucía - Cádiz,Olvera,1
Andalucía - Cádiz,Paterna de Rivera,1
Andalucía - Cádiz,Prado del Rey,1
Andalucía - Cádiz,Puerto Real,1
Andalucía - Cádiz,Puerto Serrano,1
Andalucía - Cádiz,Rota,2
Andalucía - Cádiz,San Fernando,2
Andalucía - Cádiz,San José del Valle,1
Andalucía - Cádiz,San Roque,5
Andalucía - Cádiz,Sanlúcar de Barrameda,1
Andalucía - Cádiz,Setenil de las Bodegas,1
Andalucía - Cádiz,Tarifa,2
Andalucía - Cádiz,Torre Alháquime,1
Andalucía - Cádiz,Trebujena,1
Andalucía - Cádiz,Ubrique,1
Andalucía - Cádiz,Vejer de la Frontera,1
Andalucía - Cádiz,Villamartín,1
Andalucía - Cádiz,Zahara,1
Andalucía - Almería,Adra,3
Andalucía - Almería,Albanchez,1
Andalucía - Almería,Alboloduy,1
Andalucía - Almería,Albox,1
Andalucía - Almería,Alcolea,1
Andalucía - Almería,Alcóntar,1
Andalucía - Almería,Alhama de Almería,1
Andalucía - Almería,Almería,5
Andalucía - Almería,Antas,1
Andalucía - Almería,Armuña de Almanzora,1
Andalucía - Almería,Bacares,1
Andalucía - Almería,Balanegra,1
Andalucía - Almería,Benahadux,1
Andalucía - Almería,Bentarique,1
Andalucía - Almería,Berja,1
Andalucía - Almería,Canjáyar,1
Andalucía - Almería,Cantoria,2
Andalucía - Almería,Carboneras,1
Andalucía - Almería,Chercos,1
Andalucía - Almería,Chirivel,1
Andalucía - Almería,Cóbdar,1
Andalucía - Almería,Cuevas del Almanzora,2
Andalucía - Almería,Dalías,1
Andalucía - Almería,El Ejido,5
Andalucía - Almería,Fiñana,1
Andalucía - Almería,Fines,1
Andalucía - Almería,Gádor,1
Andalucía - Almería,Garrucha,1
Andalucía - Almería,Huércal de Almería,1
Andalucía - Almería,Huércal-Overa,1
Andalucía - Almería,Íllar,1
Andalucía - Almería,Instinción,1
Andalucía - Almería,La Mojonera,1
