Curso/Cohorte;"Comunidad autónoma";Universidad;"Tipo de universidad";"Presencialidad  de la universidad";"Modalidad  de la unidad";"Tipo de unidad";"Código unidad";Unidad;"Municipio  de la unidad";"Número de titulaciones (Ciclo, Grado,  Máster y Doctorado)";Estudiantes Matriculados (Ciclo, Grado, Máster y Doctorado);Estudiantes Egresados (Ciclo, Grado y Máster)
2017-2018;Andalucía;Almería;Pública;Presencial;Centros Adscritos;Privado;04007797;Centro de Trabajo Social;ALMERÍA;1;391;86
2017-2018;Andalucía;Almería;Pública;Presencial;Centros Propios;Público;04008081;Facultad de Ciencias Económicas y Empresariales;ALMERÍA;14;2,509;395
2017-2018;Andalucía;Almería;Pública;Presencial;Centros Propios;Público;04008091;Facultad de Derecho;ALMERÍA;7;1,492;280
2017-2018;Andalucía;Almería;Pública;Presencial;Centros Propios;Público;04008479;Centro de Postgrado y Formación Continua;ALMERÍA;4;321;224
2017-2018;Andalucía;Almería;Pública;Presencial;Escuela de doctorado;Público;04008510;Escuela Internacional de Doctorado de la Universidad de Almería (EIDUAL);ALMERÍA;14;922;
2017-2018;Andalucía;Almería;Pública;Presencial;Centros Propios;Público;04008522;Escuela Superior de Ingeniería;ALMERÍA;17;1,910;201
2017-2018;Andalucía;Almería;Pública;Presencial;Centros Propios;Público;04008534;Facultad de Ciencias Experimentales;ALMERÍA;10;926;115
2017-2018;Andalucía;Almería;Pública;Presencial;Centros Propios;Público;04008546;Facultad de Ciencias de la Educación;ALMERÍA;12;2,577;628
2017-2018;Andalucía;Almería;Pública;Presencial;Centros Propios;Público;04008558;Facultad de Ciencias de la Salud;ALMERÍA;6;1,004;280
2017-2018;Andalucía;Almería;Pública;Presencial;Centros Propios;Público;04008561;Facultad de Humanidades;ALMERÍA;10;846;147
2017-2018;Andalucía;Almería;Pública;Presencial;Centros Propios;Público;04008571;Facultad de Psicología;ALMERÍA;6;814;207
2017-2018;Andalucía;Cádiz;Pública;Presencial;Centros Propios;Público;11006516;Escuela Politécnica Superior;ALGECIRAS;9;669;129
2017-2018;Andalucía;Cádiz;Pública;Presencial;Centros Propios;Público;11006528;Facultad de Ciencias Económicas y Empresariales;CÁDIZ;7;1,263;206
2017-2018;Andalucía;Cádiz;Pública;Presencial;Centros Propios;Público;11006531;Escuela Superior de Ingeniería;PUERTO REAL;17;2,567;319
2017-2018;Andalucía;Cádiz;Pública;Presencial;Centros Propios;Público;11006541;Escuela de Ingeniería Naval y Oceánica;PUERTO REAL;2;329;32
